nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,17,Cardinals,1,1,3,6,1,5,7,4,5
2,2015,17,Falcons,15,21,6,17,9,14,15,16,15
3,2015,17,Ravens,24,23,8,24,14,22,17,11,10
4,2015,17,Bills,16,12,27,1,11,16,23,15,20
5,2015,17,Panthers,2,2,25,2,10,9,6,5,4
6,2015,17,Bears,25,22,23,12,20,20,4,27,16
7,2015,17,Bengals,6,4,13,14,13,1,20,7,11
8,2015,17,Browns,30,29,17,19,23,29,19,32,26
9,2015,17,Cowboys,29,31,29,9,28,15,5,22,12
10,2015,17,Broncos,4,20,16,18,19,4,1,2,1
11,2015,17,Lions,23,18,9,31,18,25,14,19,17
12,2015,17,Packers,8,13,26,10,24,10,13,21,19
13,2015,17,Texans,14,24,18,16,21,12,3,14,3
14,2015,17,Colts,18,25,21,30,29,26,28,24,28
15,2015,17,Jaguars,26,11,10,20,16,31,29,13,25
16,2015,17,Chiefs,7,9,28,7,25,2,12,12,8
17,2015,17,Dolphins,27,27,22,27,27,24,24,30,27
18,2015,17,Vikings,11,15,31,5,26,6,9,18,14
19,2015,17,Patriots,3,3,2,29,4,8,11,8,7
20,2015,17,Saints,20,7,1,22,2,32,31,31,31
21,2015,17,Giants,21,6,7,26,12,30,32,25,32
22,2015,17,Jets,5,10,11,11,8,7,16,1,6
23,2015,17,Raiders,13,16,15,25,22,21,27,9,22
24,2015,17,Eagles,19,17,14,15,15,28,26,29,30
25,2015,17,Steelers,9,5,5,13,3,11,30,6,23
26,2015,17,Chargers,28,26,4,32,6,19,10,23,18
27,2015,17,49ers,31,32,30,21,31,18,25,28,29
28,2015,17,Seahawks,10,8,19,3,5,3,2,3,2
29,2015,17,Rams,17,30,32,8,32,13,21,20,21
30,2015,17,Buccaneers,22,19,20,4,7,23,18,10,9
31,2015,17,Titans,32,28,24,28,30,27,8,17,13
32,2015,17,Redskins,12,14,12,23,17,17,22,26,24
