nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,03,Cardinals,3,9,11,20,14,12,6,28,9
2,2016,03,Falcons,17,1,4,5,1,28,29,22,30
3,2016,03,Ravens,13,24,21,26,25,4,3,8,2
4,2016,03,Bills,30,15,32,9,30,17,22,15,23
5,2016,03,Panthers,4,12,19,3,7,18,5,11,3
6,2016,03,Bears,26,30,23,30,27,24,10,30,16
7,2016,03,Bengals,8,25,7,27,11,20,13,19,15
8,2016,03,Browns,32,26,25,4,16,26,24,18,25
9,2016,03,Cowboys,18,11,16,6,8,10,23,10,22
10,2016,03,Broncos,5,4,20,14,21,9,4,27,7
11,2016,03,Lions,20,7,3,16,4,27,16,21,21
12,2016,03,Packers,9,13,29,17,28,16,28,1,13
13,2016,03,Texans,6,32,27,13,24,7,1,26,5
14,2016,03,Colts,23,6,9,23,12,30,27,13,24
15,2016,03,Jaguars,27,27,12,31,26,25,7,20,8
16,2016,03,Chiefs,11,17,22,21,23,6,11,24,11
17,2016,03,Dolphins,29,21,10,25,18,15,18,31,28
18,2016,03,Vikings,7,20,28,32,31,3,9,7,6
19,2016,03,Patriots,1,5,26,1,15,5,19,12,17
01,2016,03,Saints,24,10,1,28,3,31,25,32,31
21,2016,03,Giants,12,22,5,19,6,11,15,5,10
22,2016,03,Jets,14,23,18,7,10,21,21,3,14
23,2016,03,Raiders,16,8,8,2,2,22,32,29,32
24,2016,03,Eagles,15,2,17,10,13,1,8,2,4
25,2016,03,Steelers,2,19,14,18,22,14,31,4,27
26,2016,03,Chargers,19,3,15,12,17,19,30,6,26
27,2016,03,49ers,30,14,30,11,29,23,14,23,20
28,2016,03,Seahawks,10,28,13,15,19,2,2,9,1
29,2016,03,Rams,28,29,31,22,32,13,17,16,18
30,2016,03,Buccaneers,22,16,6,24,9,32,20,14,19
31,2016,03,Titans,21,31,24,8,20,8,12,17,12
32,2016,03,Redskins,25,18,2,29,5,29,26,25,29
