screenname,hits,viewPicks,pickList,pickGames,playerWeekly,playerTls,hof,hom,teamStatDia,teamScrsStat,teadmDisc,teamDisc,takeSurvey,nflnews
AirDreamer,81,11,9,5,9,14,9,4,9,1,3,1,1,5
Alaskan Fisherman,7,0,0,2,1,2,2,0,0,0,0,0,0,0
Beach Bum,5,1,0,4,0,0,0,0,0,0,0,0,0,0
Blue Grass Bombers,5,0,0,1,0,1,0,0,3,0,0,0,0,0
Blue Lion,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Blue Lioness,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Clammer,9,0,0,6,0,3,0,0,0,0,0,0,0,0
Classic JAG,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Daffy Duck,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Dr Joy,4,0,0,3,1,0,0,0,0,0,0,0,0,0
Exploding Brain,10,0,0,2,0,1,0,0,7,0,0,0,0,0
FL King of Pickleball,3,0,0,1,1,0,0,0,1,0,0,0,0,0
Ginger,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Goalie29,3,0,0,1,0,1,0,0,0,0,1,0,0,0
GrammyGrams,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Hawk Eye,406,62,279,5,24,25,1,0,10,0,0,0,0,0
Hoosier Daddy,3,0,0,2,0,1,0,0,0,0,0,0,0,0
Hygenius,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Island Girl,5,0,0,4,0,1,0,0,0,0,0,0,0,0
Jack Straw,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Lady Luck,8,0,0,6,0,2,0,0,0,0,0,0,0,0
Mouse Girl,15,0,0,1,0,1,0,0,13,0,0,0,0,0
PatrickR,4,0,0,4,0,0,0,0,0,0,0,0,0,0
Peaceful Gardener,23,3,0,7,5,5,0,0,3,0,0,0,0,0
Red Bird,6,0,0,2,0,2,0,0,2,0,0,0,0,0
Red Gorillaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RunningCat,3,0,0,3,0,0,0,0,0,0,0,0,0,0
SandyLand,3,0,0,3,0,0,0,0,0,0,0,0,0,0
SandyR,3,0,0,3,0,0,0,0,0,0,0,0,0,0
SandyT,3,0,0,3,0,0,0,0,0,0,0,0,0,0
ScottT,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Smokey SouWester,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Sunshine,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Super Brawler,27,2,13,6,0,5,0,0,1,0,0,0,0,0
Sville 5,42,10,1,8,6,7,1,0,9,0,0,0,0,0
TampaJK,27,0,0,10,1,3,0,0,13,0,0,0,0,0
TampaVK,12,0,0,6,2,1,0,0,3,0,0,0,0,0
Team Remington,9,4,0,3,0,1,1,0,0,0,0,0,0,0
The Juice Is Loose,5,1,0,2,0,2,0,0,0,0,0,0,0,0
TheDoberMan,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Toothfairy,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Wildcat Wonder,65,7,4,23,4,12,1,2,3,4,2,0,0,3
