screenname,tdate,hits,viewPicks,pickList,pickGames,playerWeekly,playerTls,hof,hom,teamStatDia,teamScrsStat,teadmDisc,teamDisc,takeSurvey,nflnews
AirDreamer,2022-11-03,5,0,0,2,0,0,0,1,2,0,0,0,0,0
AirDreamer,2022-11-04,9,2,0,0,0,2,3,1,1,0,0,0,0,0
AirDreamer,2022-11-05,2,1,0,0,0,0,1,0,0,0,0,0,0,0
AirDreamer,2022-11-06,2,0,0,0,0,2,0,0,0,0,0,0,0,0
AirDreamer,2022-11-07,9,0,0,0,3,3,2,0,0,1,0,0,0,0
AirDreamer,2022-11-08,22,4,5,1,3,4,1,0,1,0,2,0,0,1
AirDreamer,2022-11-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AirDreamer,2022-11-10,4,1,1,0,1,1,0,0,0,0,0,0,0,0
AirDreamer,2022-11-11,11,2,3,1,1,1,1,1,0,0,1,0,0,0
AirDreamer,2022-11-12,16,1,0,1,1,1,1,1,5,0,0,1,1,3
Alaskan Fisherman,2022-11-03,3,0,0,1,0,1,1,0,0,0,0,0,0,0
Alaskan Fisherman,2022-11-08,3,0,0,0,1,1,1,0,0,0,0,0,0,0
Alaskan Fisherman,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-04,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Grass Bombers,2022-11-13,5,0,0,1,0,1,0,0,3,0,0,0,0,0
Blue Lion,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lion,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lioness,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lioness,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Clammer,2022-11-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Clammer,2022-11-08,4,0,0,1,0,3,0,0,0,0,0,0,0,0
Clammer,2022-11-10,4,0,0,4,0,0,0,0,0,0,0,0,0,0
Classic JAG,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Classic JAG,2022-11-09,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Daffy Duck,2022-11-08,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Dr Joy,2022-11-02,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Dr Joy,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Exploding Brain,2022-11-03,4,0,0,1,0,0,0,0,3,0,0,0,0,0
Exploding Brain,2022-11-10,6,0,0,1,0,1,0,0,4,0,0,0,0,0
FL King of Pickleball,2022-11-07,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FL King of Pickleball,2022-11-10,2,0,0,1,0,0,0,0,1,0,0,0,0,0
Ginger,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Goalie29,2022-11-08,3,0,0,1,0,1,0,0,0,0,1,0,0,0
GrammyGrams,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GrammyGrams,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-03,14,7,0,1,2,3,1,0,0,0,0,0,0,0
Hawk Eye,2022-11-04,5,4,0,0,0,1,0,0,0,0,0,0,0,0
