season,week,weekstart,weekend,gametypeid
2019,1,"Sep 5, 2019","Sep 10, 2019",2
2019,2,"Sep 12, 2019","Sep 17, 2019",2
2019,3,"Sep 19, 2019","Sep 24, 2019",2
2019,4,"Sep 26, 2019","Oct 1, 2019",2
2019,5,"Oct 3, 2019","Oct 8, 2019",2
2019,6,"Oct 10, 2019","Oct 15, 2019",2
2019,7,"Oct 17, 2019","Oct 22, 2019",2
2019,8,"Oct 24, 2019","Oct 29, 2019",2
2019,9,"Oct 31, 2019","Nov 5, 2019",2
2019,10,"Nov 7, 2019","Nov 12, 2019",2
2019,11,"Nov 14, 2019","Nov 19, 2019",2
2019,12,"Nov 21, 2019","Nov 26, 2019",2
2019,13,"Nov 28, 2019","Dec 3, 2019",2
2019,14,"Dec 5, 2019","Dec 10, 2019",2
2019,15,"Dec 12, 2019","Dec 17, 2019",2
2019,16,"Dec 19, 2019","Dec 24, 2019",2
2019,17,"Dec 26, 2019","Dec 31, 2019",2
2019,18,"Jan 2, 2020","Jan 7, 2020",3
2019,19,"Jan 9, 2019","Jan 14, 2020",3
2019,20,"Jan 16, 2020","Jan 21, 2020",3
2019,21,"Jan 30, 2020","Feb 4, 2020",3
