season,gametypeid,week,team
2019,2,4,49ers
2019,2,4,Jets
2019,2,5,Dolphins
2019,2,5,Lions
2019,2,6,Bears
2019,2,6,Bills
2019,2,6,Colts
2019,2,6,Raiders
2019,2,7,Browns
2019,2,7,Buccaneers
2019,2,7,Panthers
2019,2,7,Steelers
2019,2,8,Cowboys
2019,2,8,Ravens
2019,2,9,Bengals
2019,2,9,Falcons
2019,2,9,Rams
2019,2,9,Saints
2019,2,10,Broncos
2019,2,10,Eagles
2019,2,10,Jaguars
2019,2,10,Patriots
2019,2,10,Redskins
2019,2,10,Texans
2019,2,11,Giants
2019,2,11,Packers
2019,2,11,Seahawks
2019,2,11,Titans
2019,2,12,Cardinals
2019,2,12,Chargers
2019,2,12,Chiefs
2019,2,12,Vikings
