season,gameyear,gametypeid,week,day,date,time,network,awayteam,hometeam
2019,2019,2,1,Thu,Sept 5,8:20 PM,NBC,Packers,Bears
2019,2019,2,1,Sun,Sept 8,1:00 PM,FOX,Rams,Panthers
2019,2019,2,1,Sun,Sept 8,1:00 PM,FOX,Redskins,Eagles
2019,2019,2,1,Sun,Sept 8,1:00 PM,CBS,Bills,Jets
2019,2019,2,1,Sun,Sept 8,1:00 PM,FOX,Falcons,Vikings
2019,2019,2,1,Sun,Sept 8,1:00 PM,CBS,Ravens,Dolphins
2019,2019,2,1,Sun,Sept 8,1:00 PM,CBS,Chiefs,Jaguars
2019,2019,2,1,Sun,Sept 8,1:00 PM,CBS,Titans,Browns
2019,2019,2,1,Sun,Sept 8,4:05 PM,CBS,Colts,Chargers
2019,2019,2,1,Sun,Sept 8,4:05 PM,CBS,Bengals,Seahawks
2019,2019,2,1,Sun,Sept 8,4:25 PM,FOX,49ers,Buccaneers
2019,2019,2,1,Sun,Sept 8,4:25 PM,FOX,Giants,Cowboys
2019,2019,2,1,Sun,Sept 8,4:25 PM,FOX,Lions,Cardinals
2019,2019,2,1,Sun,Sept 8,8:20 PM,NBC,Steelers,Patriots
2019,2019,2,1,Mon,Sept 9,7:10 PM,ESPN,Texans,Saints
2019,2019,2,1,Mon,Sept 9,10:20 PM,ESPN,Broncos,Raiders
2019,2019,2,2,Thu,Sept 12,8:20 PM,NFL,Buccaneers,Panthers
2019,2019,2,2,Sun,Sept 15,1:00 PM,FOX,Cardinals,Ravens
2019,2019,2,2,Sun,Sept 15,1:00 PM,FOX,Cowboys,Redskins
2019,2019,2,2,Sun,Sept 15,1:00 PM,CBS,Colts,Titans
2019,2019,2,2,Sun,Sept 15,1:00 PM,FOX,Seahawks,Steelers
2019,2019,2,2,Sun,Sept 15,1:00 PM,CBS,Bills,Giants
2019,2019,2,2,Sun,Sept 15,1:00 PM,FOX,49ers,Bengals
2019,2019,2,2,Sun,Sept 15,1:00 PM,CBS,Chargers,Lions
2019,2019,2,2,Sun,Sept 15,1:00 PM,FOX,Vikings,Packers
2019,2019,2,2,Sun,Sept 15,1:00 PM,CBS,Jaguars,Texans
2019,2019,2,2,Sun,Sept 15,1:00 PM,CBS,Patriots,Dolphins
2019,2019,2,2,Sun,Sept 15,4:05 PM,CBS,Chiefs,Raiders
2019,2019,2,2,Sun,Sept 15,4:25 PM,FOX,Saints,Rams
2019,2019,2,2,Sun,Sept 15,4:25 PM,FOX,Bears,Broncos
2019,2019,2,2,Sun,Sept 15,8:20 PM,NBC,Eagles,Falcons
2019,2019,2,2,Mon,Sept 16,8:15 PM,ESPN,Browns,Jets
2019,2019,2,3,Thu,Sept 19,8:20 PM,NFL,Titans,Jaguars
2019,2019,2,3,Sun,Sept 22,1:00 PM,CBS,Bengals,Bills
2019,2019,2,3,Sun,Sept 22,1:00 PM,FOX,Lions,Eagles
2019,2019,2,3,Sun,Sept 22,1:00 PM,CBS,Jets,Patriots
2019,2019,2,3,Sun,Sept 22,1:00 PM,FOX,Raiders,Vikings
2019,2019,2,3,Sun,Sept 22,1:00 PM,CBS,Ravens,Chiefs
2019,2019,2,3,Sun,Sept 22,1:00 PM,CBS,Falcons,Colts
2019,2019,2,3,Sun,Sept 22,1:00 PM,FOX,Broncos,Packers
2019,2019,2,3,Sun,Sept 22,1:00 PM,FOX,Dolphins,Cowboys
2019,2019,2,3,Sun,Sept 22,4:05 PM,FOX,Giants,Buccaneers
2019,2019,2,3,Sun,Sept 22,4:05 PM,FOX,Panthers,Cardinals
2019,2019,2,3,Sun,Sept 22,4:25 PM,CBS,Steelers,49ers
2019,2019,2,3,Sun,Sept 22,4:25 PM,CBS,Saints,Seahawks
2019,2019,2,3,Sun,Sept 22,4:25 PM,CBS,Texans,Chargers
2019,2019,2,3,Sun,Sept 22,8:20 PM,NBC,Rams,Browns
2019,2019,2,3,Mon,Sept 23,8:15 PM,ESPN,Bears,Redskins
2019,2019,2,4,Thu,Sept 26,8:20 PM,FOX,Eagles,Packers
2019,2019,2,4,Sun,Sept 29,1:00 PM,CBS,Titans,Falcons
2019,2019,2,4,Sun,Sept 29,1:00 PM,FOX,Redskins,Giants
2019,2019,2,4,Sun,Sept 29,1:00 PM,CBS,Chargers,Dolphins
2019,2019,2,4,Sun,Sept 29,1:00 PM,CBS,Raiders,Colts
2019,2019,2,4,Sun,Sept 29,1:00 PM,FOX,Panthers,Texans
2019,2019,2,4,Sun,Sept 29,1:00 PM,FOX,Chiefs,Lions
2019,2019,2,4,Sun,Sept 29,1:00 PM,CBS,Browns,Ravens
2019,2019,2,4,Sun,Sept 29,1:00 PM,CBS,Patriots,Bills
2019,2019,2,4,Sun,Sept 29,4:05 PM,FOX,Buccaneers,Rams
2019,2019,2,4,Sun,Sept 29,4:05 PM,FOX,Seahawks,Cardinals
2019,2019,2,4,Sun,Sept 29,4:25 PM,CBS,Vikings,Bears
2019,2019,2,4,Sun,Sept 29,4:25 PM,CBS,Jaguars,Broncos
2019,2019,2,4,Sun,Sept 29,8:20 PM,NBC,Cowboys,Saints
2019,2019,2,4,Mon,Sept 30,8:15 PM,ESPN,Bengals,Steelers
2019,2019,2,5,Thu,Oct 3,8:20 PM,FOX,Rams,Seahawks
2019,2019,2,5,Sun,Oct 6,1:00 PM,CBS,Jaguars,Panthers
2019,2019,2,5,Sun,Oct 6,1:00 PM,CBS,Patriots,Redskins
2019,2019,2,5,Sun,Oct 6,1:00 PM,CBS,Bills,Titans
2019,2019,2,5,Sun,Oct 6,1:00 PM,CBS,Ravens,Steelers
2019,2019,2,5,Sun,Oct 6,1:00 PM,FOX,Cardinals,Bengals
2019,2019,2,5,Sun,Oct 6,1:00 PM,FOX,Falcons,Texans
2019,2019,2,5,Sun,Oct 6,1:00 PM,FOX,Buccaneers,Saints
2019,2019,2,5,Sun,Oct 6,1:00 PM,FOX,Vikings,Giants
2019,2019,2,5,Sun,Oct 6,1:00 PM,FOX,Bears,Raiders
2019,2019,2,5,Sun,Oct 6,1:00 PM,CBS,Jets,Eagles
2019,2019,2,5,Sun,Oct 6,4:05 PM,CBS,Broncos,Chargers
2019,2019,2,5,Sun,Oct 6,4:25 PM,FOX,Packers,Cowboys
2019,2019,2,5,Sun,Oct 6,8:20 PM,NBC,Colts,Chiefs
2019,2019,2,5,Mon,Oct 7,8:15 PM,ESPN,Browns,49ers
2019,2019,2,6,Thu,Oct 10,8:20 PM,FOX,Giants,Patriots
2019,2019,2,6,Sun,Oct 13,9:30 AM,NFL,Panthers,Buccaneers
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Redskins,Dolphins
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Eagles,Vikings
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Texans,Chiefs
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Saints,Jaguars
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Seahawks,Browns
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Bengals,Ravens
2019,2019,2,6,Sun,Oct 13,4:05 PM,FOX,49ers,Rams
2019,2019,2,6,Sun,Oct 13,4:05 PM,FOX,Falcons,Cardinals
2019,2019,2,6,Sun,Oct 13,4:25 PM,CBS,Cowboys,Jets
2019,2019,2,6,Sun,Oct 13,4:25 PM,CBS,Titans,Broncos
2019,2019,2,6,Sun,Oct 13,8:20 PM,NBC,Steelers,Chargers
