season,gametypeid,week,date,time,network,awayteam,hometeam
2019,2,1,9/5/19,8:20 PM,NBC,Packers,Bears
2019,2,1,9/8/19,1:00 PM,FOX,Rams,Panthers
2019,2,1,9/8/19,1:00 PM,FOX,Redskins,Eagles
2019,2,1,9/8/19,1:00 PM,CBS,Bills,Jets
2019,2,1,9/8/19,1:00 PM,FOX,Falcons,Vikings
2019,2,1,9/8/19,1:00 PM,CBS,Ravens,Dolphins
2019,2,1,9/8/19,1:00 PM,CBS,Chiefs,Jaguars
2019,2,1,9/8/19,1:00 PM,CBS,Titans,Browns
2019,2,1,9/8/19,4:05 PM,CBS,Colts,Chargers
2019,2,1,9/8/19,4:05 PM,CBS,Bengals,Seahawks
2019,2,1,9/8/19,4:25 PM,FOX,49ers,Buccaneers
2019,2,1,9/8/19,4:25 PM,FOX,Giants,Cowboys
2019,2,1,9/8/19,4:25 PM,FOX,Lions,Cardinals
2019,2,1,9/8/19,8:20 PM,NBC,Steelers,Patriots
2019,2,1,9/9/19,7:10 PM,ESPN,Texans,Saints
2019,2,1,9/9/19,10:20 PM,ESPN,Broncos,Raiders
2019,2,2,9/12/19,8:20 PM,NFL,Buccaneers,Panthers
2019,2,2,9/15/19,1:00 PM,FOX,Cardinals,Ravens
2019,2,2,9/15/19,1:00 PM,FOX,Cowboys,Redskins
2019,2,2,9/15/19,1:00 PM,CBS,Colts,Titans
2019,2,2,9/15/19,1:00 PM,FOX,Seahawks,Steelers
2019,2,2,9/15/19,1:00 PM,CBS,Bills,Giants
2019,2,2,9/15/19,1:00 PM,FOX,49ers,Bengals
2019,2,2,9/15/19,1:00 PM,CBS,Chargers,Lions
2019,2,2,9/15/19,1:00 PM,FOX,Vikings,Packers
2019,2,2,9/15/19,1:00 PM,CBS,Jaguars,Texans
2019,2,2,9/15/19,1:00 PM,CBS,Patriots,Dolphins
2019,2,2,9/15/19,4:05 PM,CBS,Chiefs,Raiders
2019,2,2,9/15/19,4:25 PM,FOX,Saints,Rams
2019,2,2,9/15/19,4:25 PM,FOX,Bears,Broncos
2019,2,2,9/15/19,8:20 PM,NBC,Eagles,Falcons
2019,2,2,9/16/19,8:15 PM,ESPN,Browns,Jets
2019,2,3,9/19/19,8:20 PM,NFL,Titans,Jaguars
2019,2,3,9/22/19,1:00 PM,CBS,Bengals,Bills
2019,2,3,9/22/19,1:00 PM,FOX,Lions,Eagles
2019,2,3,9/22/19,1:00 PM,CBS,Jets,Patriots
2019,2,3,9/22/19,1:00 PM,FOX,Raiders,Vikings
2019,2,3,9/22/19,1:00 PM,CBS,Ravens,Chiefs
2019,2,3,9/22/19,1:00 PM,CBS,Falcons,Colts
2019,2,3,9/22/19,1:00 PM,FOX,Broncos,Packers
2019,2,3,9/22/19,1:00 PM,FOX,Dolphins,Cowboys
2019,2,3,9/22/19,4:05 PM,FOX,Giants,Buccaneers
2019,2,3,9/22/19,4:05 PM,FOX,Panthers,Cardinals
2019,2,3,9/22/19,4:25 PM,CBS,Steelers,49ers
2019,2,3,9/22/19,4:25 PM,CBS,Saints,Seahawks
2019,2,3,9/22/19,4:25 PM,CBS,Texans,Chargers
2019,2,3,9/22/19,8:20 PM,NBC,Rams,Browns
2019,2,3,9/23/19,8:15 PM,ESPN,Bears,Redskins
2019,2,4,9/26/19,8:20 PM,FOX,Eagles,Packers
2019,2,4,9/29/19,1:00 PM,CBS,Titans,Falcons
2019,2,4,9/29/19,1:00 PM,FOX,Redskins,Giants
2019,2,4,9/29/19,1:00 PM,CBS,Chargers,Dolphins
2019,2,4,9/29/19,1:00 PM,CBS,Raiders,Colts
2019,2,4,9/29/19,1:00 PM,FOX,Panthers,Texans
2019,2,4,9/29/19,1:00 PM,FOX,Chiefs,Lions
2019,2,4,9/29/19,1:00 PM,CBS,Browns,Ravens
2019,2,4,9/29/19,1:00 PM,CBS,Patriots,Bills
2019,2,4,9/29/19,4:05 PM,FOX,Buccaneers,Rams
2019,2,4,9/29/19,4:05 PM,FOX,Seahawks,Cardinals
2019,2,4,9/29/19,4:25 PM,CBS,Vikings,Bears
2019,2,4,9/29/19,4:25 PM,CBS,Jaguars,Broncos
2019,2,4,9/29/19,8:20 PM,NBC,Cowboys,Saints
2019,2,4,9/30/19,8:15 PM,ESPN,Bengals,Steelers
2019,2,5,10/3/19,8:20 PM,FOX,Rams,Seahawks
2019,2,5,10/6/19,1:00 PM,CBS,Jaguars,Panthers
2019,2,5,10/6/19,1:00 PM,CBS,Patriots,Redskins
2019,2,5,10/6/19,1:00 PM,CBS,Bills,Titans
2019,2,5,10/6/19,1:00 PM,CBS,Ravens,Steelers
2019,2,5,10/6/19,1:00 PM,FOX,Cardinals,Bengals
2019,2,5,10/6/19,1:00 PM,FOX,Falcons,Texans
2019,2,5,10/6/19,1:00 PM,FOX,Buccaneers,Saints
2019,2,5,10/6/19,1:00 PM,FOX,Vikings,Giants
2019,2,5,10/6/19,1:00 PM,FOX,Bears,Raiders
2019,2,5,10/6/19,1:00 PM,CBS,Jets,Eagles
2019,2,5,10/6/19,4:05 PM,CBS,Broncos,Chargers
2019,2,5,10/6/19,4:25 PM,FOX,Packers,Cowboys
2019,2,5,10/6/19,8:20 PM,NBC,Colts,Chiefs
2019,2,5,10/7/19,8:15 PM,ESPN,Browns,49ers
2019,2,6,10/10/19,8:20 PM,FOX,Giants,Patriots
2019,2,6,10/13/19,9:30 AM,NFL,Panthers,Buccaneers
2019,2,6,10/13/19,1:00 PM,FOX,Redskins,Dolphins
2019,2,6,10/13/19,1:00 PM,FOX,Eagles,Vikings
2019,2,6,10/13/19,1:00 PM,CBS,Texans,Chiefs
2019,2,6,10/13/19,1:00 PM,CBS,Saints,Jaguars
2019,2,6,10/13/19,1:00 PM,FOX,Seahawks,Browns
2019,2,6,10/13/19,1:00 PM,CBS,Bengals,Ravens
2019,2,6,10/13/19,4:05 PM,FOX,49ers,Rams
2019,2,6,10/13/19,4:05 PM,FOX,Falcons,Cardinals
2019,2,6,10/13/19,4:25 PM,CBS,Cowboys,Jets
2019,2,6,10/13/19,4:25 PM,CBS,Titans,Broncos
