season,week,weekstart,weekend,gametypeid
2021,1,"Sep 9, 2021","Sep 14, 2021",2
2021,2,"Sep 16, 2021","Sep 21, 2021",2
2021,3,"Sep 23, 2021","Sep 28, 2021",2
2021,4,"Sep 30, 2021","Oct 5, 2021",2
2021,5,"Oct 7, 2021","Oct 12, 2021",2
2021,6,"Oct 14, 2021","Oct 19, 2021",2
2021,7,"Oct 21, 2021","Oct 26, 2021",2
2021,8,"Oct 28, 2021","Nov 2, 2021",2
2021,9,"Nov 4, 2021","Nov 9, 2021",2
2021,10,"Nov 11, 2021","Nov 16, 2021",2
2021,11,"Nov 18, 2021","Nov 23, 2021",2
2021,12,"Nov 25, 2021","Nov 30, 2021",2
2021,13,"Dec 2, 2021","Dec 7, 2021",2
2021,14,"Dec 9, 2021","Dec 14, 2021",2
2021,15,"Dec 16, 2021","Dec 21, 2021",2
2021,16,"Dec 23, 2021","Dec 28, 2021",2
2021,17,"Jan 2, 2021","Jan 4, 2021",2
2021,18,"Jan 9, 2022","Jan 10, 2022",3
2021,19,"Jan 15, 2022","Jan 17, 2022",3
2021,20,"Jan 22, 2022","Jan 24, 2022",3
2021,21,"Jan 30, 2022","Feb 31, 2022",3
2021,22,"Feb 13, 2022","Feb 14, 2022",3
