season,gametypeid,week,date,time,network,awayteam,hometeam
2021,2,1,9/9/2021,8:20 PM,NBC,Cowboys,Buccaneers
2021,2,1,9/12/2021,1:00 PM,FOX,49ers,Lions
2021,2,1,9/12/2021,1:00 PM,CBS,Cardinals,Titans
2021,2,1,9/12/2021,1:00 PM,CBS,Chargers,Redskins
2021,2,1,9/12/2021,1:00 PM,FOX,Eagles,Falcons
2021,2,1,9/12/2021,1:00 PM,CBS,Jaguars,Texans
2021,2,1,9/12/2021,1:00 PM,CBS,Jets,Panthers
2021,2,1,9/12/2021,1:00 PM,FOX,Seahawks,Colts
2021,2,1,9/12/2021,1:00 PM,CBS,Steelers,Bills
2021,2,1,9/12/2021,1:00 PM,FOX,Vikings,Bengals
2021,2,1,9/12/2021,4:25 PM,FOX,Broncos,Giants
2021,2,1,9/12/2021,4:25 PM,CBS,Browns,Chiefs
2021,2,1,9/12/2021,4:25 PM,CBS,Dolphins,Patriots
2021,2,1,9/12/2021,4:25 PM,FOX,Packers,Saints
2021,2,1,9/12/2021,8:20 PM,NBC,Bears,Rams
2021,2,1,9/13/2021,8:15 PM,ESPN,Ravens,Raiders
2021,2,2,9/16/2021,8:20 PM,NFL,Giants,Redskins
2021,2,2,9/19/2021,1:00 PM,FOX,49ers,Eagles
2021,2,2,9/19/2021,1:00 PM,FOX,Bengals,Bears
2021,2,2,9/19/2021,1:00 PM,FOX,Bills,Dolphins
2021,2,2,9/19/2021,1:00 PM,CBS,Broncos,Jaguars
2021,2,2,9/19/2021,1:00 PM,CBS,Patriots,Jets
2021,2,2,9/19/2021,1:00 PM,CBS,Raiders,Steelers
2021,2,2,9/19/2021,1:00 PM,FOX,Rams,Colts
2021,2,2,9/19/2021,1:00 PM,FOX,Saints,Panthers
2021,2,2,9/19/2021,1:00 PM,CBS,Texans,Browns
2021,2,2,9/19/2021,4:05 PM,FOX,Falcons,Buccaneers
2021,2,2,9/19/2021,4:05 PM,FOX,Vikings,Cardinals
2021,2,2,9/19/2021,4:25 PM,CBS,Cowboys,Chargers
2021,2,2,9/19/2021,4:25 PM,CBS,Titans,Seahawks
2021,2,2,9/19/2021,8:20 PM,NBC,Chiefs,Ravens
2021,2,2,9/20/2021,8:15 PM,ESPN,Lions,Packers
2021,2,3,9/23/2021,8:20 PM,NFL,Panthers,Texans
2021,2,3,9/26/2021,1:00 PM,FOX,Bears,Browns
2021,2,3,9/26/2021,1:00 PM,CBS,Bengals,Steelers
2021,2,3,9/26/2021,1:00 PM,FOX,Cardinals,Jaguars
2021,2,3,9/26/2021,1:00 PM,CBS,Chargers,Chiefs
2021,2,3,9/26/2021,1:00 PM,CBS,Colts,Titans
2021,2,3,9/26/2021,1:00 PM,FOX,Falcons,Giants
2021,2,3,9/26/2021,1:00 PM,CBS,Ravens,Lions
2021,2,3,9/26/2021,1:00 PM,FOX,Saints,Patriots
2021,2,3,9/26/2021,1:00 PM,FOX,Washington,Bills
2021,2,3,9/26/2021,4:05 PM,CBS,Dolphins,Raiders
2021,2,3,9/26/2021,4:05 PM,CBS,Jets,Broncos
2021,2,3,9/26/2021,4:25 PM,FOX,Buccaneers,Rams
2021,2,3,9/26/2021,4:25 PM,FOX,Seahawks,Vikings
2021,2,3,9/26/2021,8:20 PM,NBC,Packers,49ers
2021,2,3,9/27/2021,8:15 PM,ESPN,Eagles,Cowboys
2021,2,4,9/30/2021,8:20 PM,NFL,Jaguars,Bengals
2021,2,4,10/3/2021,1:00 PM,CBS,Browns,Vikings
2021,2,4,10/3/2021,1:00 PM,CBS,Chiefs,Eagles
2021,2,4,10/3/2021,1:00 PM,CBS,Colts,Dolphins
2021,2,4,10/3/2021,1:00 PM,FOX,Giants,Saints
2021,2,4,10/3/2021,1:00 PM,FOX,Lions,Bears
2021,2,4,10/3/2021,1:00 PM,FOX,Panthers,Cowboys
2021,2,4,10/3/2021,1:00 PM,FOX,Redskins,Falcons
2021,2,4,10/3/2021,1:00 PM,CBS,Texans,Bills
2021,2,4,10/3/2021,1:00 PM,CBS,Titans,Jets
2021,2,4,10/3/2021,4:05 PM,FOX,Cardinals,Rams
2021,2,4,10/3/2021,4:05 PM,FOX,Seahawks,49ers
2021,2,4,10/3/2021,4:25 PM,CBS,Ravens,Broncos
2021,2,4,10/3/2021,4:25 PM,CBS,Steelers,Packers
2021,2,4,10/3/2021,8:20 PM,NBC,Buccaneers,Patriots
2021,2,4,10/4/2021,8:15 PM,ESPN,Raiders,Chargers
2021,2,5,10/7/2021,8:20 PM,FOX,Rams,Seahawks
2021,2,5,10/10/2021,9:30 AM,NFL,Jets,Falcons
2021,2,5,10/10/2021,1:00 PM,FOX,Broncos,Steelers
2021,2,5,10/10/2021,1:00 PM,CBS,Dolphins,Buccaneers
2021,2,5,10/10/2021,1:00 PM,FOX,Eagles,Panthers
2021,2,5,10/10/2021,1:00 PM,FOX,Lions,Vikings
2021,2,5,10/10/2021,1:00 PM,FOX,Packers,Bengals
