season,gametypeid,week,team
2021,2,6,Falcons
2021,2,6,Saints
2021,2,6,49ers
2021,2,6,Jets
2021,2,7,Cowboys 
2021,2,7,Vikings
2021,2,7,Bills
2021,2,7,Jaguars
2021,2,7,Chargers
2021,2,7,Steelers
2021,2,8,Ravens 
2021,2,8,Raiders
2021,2,9,Lions
2021,2,9,Seahawks
2021,2,9,Buccaneers
2021,2,9,Redskins
2021,2,10,Bears
2021,2,10,Giants
2021,2,10,Bengals
2021,2,10,Texans
2021,2,11,Rams
2021,2,11,Broncos
2021,2,12,Cardinals
2021,2,12,Chiefs
2021,2,13,Panthers
2021,2,13,Packers
2021,2,13,Browns
2021,2,13,Titans
2021,2,14,Eagles
2021,2,14,Colts
2021,2,14,Dolphins
2021,2,14,Patriots
