season,gametypeid,week,date,awayteam,hometeam,network,time
2022,2,1,9/8/2022,Bills,Rams,NBC,8:20 PM
2022,2,1,9/11/2022,Saints,Falcons,FOX,1:00 PM
2022,2,1,9/11/2022,Browns,Panthers,CBS,1:00 PM
2022,2,1,9/11/2022,49ers,Bears,FOX,1:00 PM
2022,2,1,9/11/2022,Steelers,Bengals,CBS,1:00 PM
2022,2,1,9/11/2022,Eagles,Lions,FOX,1:00 PM
2022,2,1,9/11/2022,Colts,Texans,CBS,1:00 PM
2022,2,1,9/11/2022,Patriots,Dolphins,CBS,1:00 PM
2022,2,1,9/11/2022,Ravens,Jets,CBS,1:00 PM
2022,2,1,9/11/2022,Jaguars,Commanders,FOX,1:00 PM
2022,2,1,9/11/2022,Chiefs,Cardinals,CBS,4:25 PM
2022,2,1,9/11/2022,Packers,Vikings,CBS,4:25 PM
2022,2,1,9/11/2022,Giants,Titans,FOX,4:25 PM
2022,2,1,9/11/2022,Raiders,Chargers,FOX,4:25 PM
2022,2,1,9/11/2022,Buccaneers,Cowboys,CBS,8:20 PM
2022,2,1,9/12/2022,Broncos,Seahawks,ESPN,8:20 PM
2022,2,2,9/15/2022,Chargers,Chiefs,Amazon,8:15 PM
2022,2,2,9/18/2022,Jets,Browns,CBS,1:00 PM
2022,2,2,9/18/2022,Commanders,Lions,CBS,1:00 PM
2022,2,2,9/18/2022,Colts,Jaguars,FOX,1:00 PM
2022,2,2,9/18/2022,Buccaneers,Saints,CBS,1:00 PM
2022,2,2,9/18/2022,Panthers,Giants,FOX,1:00 PM
2022,2,2,9/18/2022,Patriots,Steelers,FOX,1:00 PM
2022,2,2,9/18/2022,Dolphins,Ravens,CBS,1:00 PM
2022,2,2,9/18/2022,Falcons,Rams,FOX,4:05 PM
2022,2,2,9/18/2022,Seahawks,49ers,FOX,4:05 PM
2022,2,2,9/18/2022,Bengals,Cowboys,CBS,4:25 PM
2022,2,2,9/18/2022,Texans,Broncos,CBS,4:25 PM
2022,2,2,9/18/2022,Cardinals,Raiders,CBS,4:25 PM
2022,2,2,9/18/2022,Bears,Packers,NBC,8:20 PM
2022,2,2,9/19/2022,Titans,Bills,ESPN,7:15 PM
2022,2,2,9/19/2022,Vikings,Eagles,ABC,8:30 PM
2022,2,3,9/22/2022,Steelers,Browns,Amazon,8:15 PM
2022,2,3,9/25/2022,Saints,Panthers,FOX,1:00 PM
2022,2,3,9/25/2022,Texans,Bears,CBS,1:00 PM
2022,2,3,9/25/2022,Chiefs,Colts,CBS,1:00 PM
2022,2,3,9/25/2022,Bills,Dolphins,CBS,1:00 PM
2022,2,3,9/25/2022,Lions,Vikings,FOX,1:00 PM
2022,2,3,9/25/2022,Ravens,Patriots,FOX,1:00 PM
2022,2,3,9/25/2022,Bengals,Jets,CBS,1:00 PM
2022,2,3,9/25/2022,Raiders,Titans,FOX,1:00 PM
2022,2,3,9/25/2022,Eagles,Commanders,FOX,1:00 PM
2022,2,3,9/25/2022,Jaguars,Chargers,CBS,4:05 PM
2022,2,3,9/25/2022,Rams,Cardinals,FOX,4:25 PM
2022,2,3,9/25/2022,Falcons,Seahawks,FOX,4:25 PM
2022,2,3,9/25/2022,Packers,Buccaneers,FOX,4:25 PM
2022,2,3,9/25/2022,49ers,Broncos,NBC,8:20 PM
2022,2,3,9/26/2022,Cowboys,Giants,ESPN,8:15 PM
2022,2,4,9/29/2022,Dolphins,Bengals,Amazon,8:15 PM
2022,2,4,10/2/2022,Vikings,Saints,NFL,9:30 AM
2022,2,4,10/2/2022,Browns,Falcons,CBS,1:00 PM
2022,2,4,10/2/2022,Titans,Colts,CBS,1:00 PM
2022,2,4,10/2/2022,Commanders,Cowboys,FOX,1:00 PM
2022,2,4,10/2/2022,Seahawks,Lions,FOX,1:00 PM
2022,2,4,10/2/2022,Chargers,Texans,CBS,1:00 PM
2022,2,4,10/2/2022,Bears,Giants,FOX,1:00 PM
2022,2,4,10/2/2022,Jaguars,Eagles,FOX,1:00 PM
2022,2,4,10/2/2022,Jets,Steelers,CBS,1:00 PM
2022,2,4,10/2/2022,Bills,Ravens,CBS,1:00 PM
2022,2,4,10/2/2022,Cardinals,Panthers,FOX,4:05 PM
2022,2,4,10/2/2022,Patriots,Packers,CBS,4:25 PM
2022,2,4,10/2/2022,Broncos,Raiders,CBS,4:25 PM
2022,2,4,10/2/2022,Chiefs,Buccaneers,NBC,8:20 PM
2022,2,4,10/3/2022,Rams,49ers,ESPN,8:15 PM
2022,2,5,10/6/2022,Colts,Broncos,Amazon,8:15 PM
2022,2,5,10/9/2022,Giants,Packers,NFL,9:30 AM
2022,2,5,10/9/2022,Steelers,Bills,CBS,1:00 PM
2022,2,5,10/9/2022,Chargers,Browns,CBS,1:00 PM
2022,2,5,10/9/2022,Texans,Jaguars,CBS,1:00 PM
2022,2,5,10/9/2022,Bears,Vikings,FOX,1:00 PM
2022,2,5,10/9/2022,Seahawks,Saints,FOX,1:00 PM
2022,2,5,10/9/2022,Lions,Patriots,FOX,1:00 PM
2022,2,5,10/9/2022,Dolphins,Jets,CBS,1:00 PM
2022,2,5,10/9/2022,Falcons,Buccaneers,FOX,1:00 PM
2022,2,5,10/9/2022,Titans,Commanders,FOX,1:00 PM
2022,2,5,10/9/2022,49ers,Panthers,CBS,4:05 PM
2022,2,5,10/9/2022,Eagles,Cardinals,FOX,4:25 PM
2022,2,5,10/9/2022,Cowboys,Rams,FOX,4:25 PM
2022,2,5,10/9/2022,Bengals,Ravens,NBC,8:20 PM
2022,2,5,10/10/2022,Raiders,Chiefs,ESPN,8:15 PM
2022,2,6,10/13/2022,Commanders,Bears,Amazon,8:15 PM
2022,2,6,10/16/2022,49ers,Falcons,FOX,1:00 PM
2022,2,6,10/16/2022,Patriots,Browns,CBS,1:00 PM
2022,2,6,10/16/2022,Jaguars,Colts,FOX,1:00 PM
2022,2,6,10/16/2022,Jets,Packers,CBS,1:00 PM
2022,2,6,10/16/2022,Vikings,Dolphins,FOX,1:00 PM
2022,2,6,10/16/2022,Bengals,Saints,CBS,1:00 PM
2022,2,6,10/16/2022,Ravens,Giants,CBS,1:00 PM
2022,2,6,10/16/2022,Buccaneers,Steelers,FOX,1:00 PM
2022,2,6,10/16/2022,Panthers,Rams,FOX,4:05 PM
2022,2,6,10/16/2022,Cardinals,Seahawks,FOX,4:05 PM
2022,2,6,10/16/2022,Bills,Chiefs,CBS,4:25 PM
2022,2,6,10/16/2022,Cowboys,Eagles,NBC,8:20 PM
2022,2,6,10/17/2022,Broncos,Chargers,ESPN,8:15 PM
