season,gametypeid,week,team
2023,2,5,Browns
2023,2,5,Chargers
2023,2,5,Seahawks
2023,2,5,Buccaneers
2023,2,6,Packers
2023,2,6,Steelers
2023,2,7,Panthers
2023,2,7,Bengals
2023,2,7,Cowboys
2023,2,7,Jets
2023,2,7,Titans
2023,2,7,Texans
2023,2,9,Broncos
2023,2,9,Lions
2023,2,9,Jaguars
2023,2,9,49ers
2023,2,10,Chiefs
2023,2,10,Dolphins
2023,2,10,Eagles
2023,2,10,Rams
2023,2,11,Falcons
2023,2,11,Colts
2023,2,11,Patriots
2023,2,11,Saints
2023,2,13,Ravens
2023,2,13,Bills
2023,2,13,Bears
2023,2,13,Vikings
2023,2,13,Giants
2023,2,13,Raiders
