season,week,weekstart,weekend,gametypeid
2023,1,"Sep 7, 2023","Sep 12, 2023",2
2023,2,"Sep 14, 2023","Sep 19, 2023",2
2023,3,"Sep 21, 2023","Sep 26, 2023",2
2023,4,"Sep 28, 2023","Oct 3, 2023",2
2023,5,"Oct 5, 2023","Oct 10, 2023",2
2023,6,"Oct 12, 2023","Oct 17, 2023",2
2023,7,"Oct 19, 2023","Oct 24, 2023",2
2023,8,"Oct 26, 2023","Oct 31, 2023",2
2023,9,"Nov 2, 2023","Nov 7, 2023",2
2023,10,"Nov 9, 2023","Nov 14, 2023",2
2023,11,"Nov 16, 2023","Nov 21, 2023",2
2023,12,"Nov 23, 2023","Nov 28, 2023",2
2023,13,"Nov 30, 2023","Dec 5, 2023",2
2023,14,"Dec 7, 2023","Dec 12, 2023",2
2023,15,"Dec 14, 2023","Dec 19, 2023",2
2023,16,"Dec 21, 2023","Dec 26, 2023",2
2023,17,"Dec 28, 2023","Jan 2, 2024",2
2023,18,"Jan 4, 2024","Jan 9, 2024",2
2023,19,"Jan 11, 2024","Jan 16, 2024",3
2023,20,"Jan 18, 2024","Jan 23, 2024",3
2023,21,"Jan 25, 2024","Jan 30, 2024",3
2023,22,"Feb 11, 2024","Feb 12, 2024",3
