season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,1,09/5/2024,Ravens,Chiefs,NBC,8:20 PM
2024,2,1,09/6/2024,Packers,Eagles,Peacock,8:15 PM
2024,2,1,09/8/2024,Steelers,Falcons,FOX,1:00 PM
2024,2,1,09/8/2024,Cardinals,Bills,CBS,1:00 PM
2024,2,1,09/8/2024,Titans,Bears,FOX,1:00 PM
2024,2,1,09/8/2024,Patriots,Bengals,CBS,1:00 PM
2024,2,1,09/8/2024,Texans,Colts,CBS,1:00 PM
2024,2,1,09/8/2024,Jaguars,Dolphins,CBS,1:00 PM
2024,2,1,09/8/2024,Panthers,Saints,FOX,1:00 PM
2024,2,1,09/8/2024,Vikings,Giants,FOX,1:00 PM
2024,2,1,09/8/2024,Raiders,Chargers,CBS,4:05 PM
2024,2,1,09/8/2024,Broncos,Seahawks,CBS,4:05 PM
2024,2,1,09/8/2024,Cowboys,Browns,FOX,4:25 PM
2024,2,1,09/8/2024,Commanders,Buccaneers,FOX,4:25 PM
2024,2,1,09/8/2024,Rams,Lions,NBC,8:20 PM
2024,2,1,09/9/2024,Jets,49ers,ABC,8:15 PM
2024,2,2,09/12/2024,Bills,Dolphins,Amazon,8:15 PM
2024,2,2,09/15/2024,Chargers,Panthers,CBS,1:00 PM
2024,2,2,09/15/2024,Saints,Cowboys,CBS,1:00 PM
2024,2,2,09/15/2024,Buccaneers,Lions,FOX,1:00 PM
2024,2,2,09/15/2024,Colts,Packers,FOX,1:00 PM
2024,2,2,09/15/2024,Browns,Jaguars,FOX,1:00 PM
2024,2,2,09/15/2024,49ers,Vikings,CBS,1:00 PM
2024,2,2,09/15/2024,Seahawks,Patriots,CBS,1:00 PM
2024,2,2,09/15/2024,Jets,Titans,FOX,1:00 PM
2024,2,2,09/15/2024,Raiders,Ravens,CBS,1:00 PM
2024,2,2,09/15/2024,Giants,Commanders,FOX,1:00 PM
2024,2,2,09/15/2024,Rams,Cardinals,FOX,4:05 PM
2024,2,2,09/15/2024,Steelers,Broncos,CBS,4:25 PM
2024,2,2,09/15/2024,Bengals,Chiefs,CBS,4:25 PM
2024,2,2,09/15/2024,Bears,Texans,NBC,8:20 PM
2024,2,2,09/16/2024,Falcons,Eagles,ESPN,8:15 PM
2024,2,3,09/19/2024,Patriots,Jets,Amazon,8:15 PM
2024,2,3,09/22/2024,Giants,Browns,FOX,1:00 PM
2024,2,3,09/22/2024,Bears,Colts,CBS,1:00 PM
2024,2,3,09/22/2024,Texans,Vikings,CBS,1:00 PM
2024,2,3,09/22/2024,Eagles,Saints,FOX,1:00 PM
2024,2,3,09/22/2024,Packers,Titans,CBS,1:00 PM
2024,2,3,09/22/2024,Chargers,Steelers,FOX,1:00 PM
2024,2,3,09/22/2024,Broncos,Buccaneers,FOX,1:00 PM
2024,2,3,09/22/2024,Panthers,Raiders,CBS,4:05 PM
2024,2,3,09/22/2024,Dolphins,Seahawks,CBS,4:05 PM
