season,gametypeid,week,date,awayteam,hometeam,network,time
2025,2,11,11/13/2025,Jets,Patriots,Amazon,8:15 PM
2025,2,11,11/16/2025,Commanders,Dolphins,NFL,9:30 AM
2025,2,11,11/16/2025,Panthers,Falcons,FOX,1:00 PM
2025,2,11,11/16/2025,Buccaneers,Bills,CBS,1:00 PM
2025,2,11,11/16/2025,Chargers,Jaguars,CBS,1:00 PM
2025,2,11,11/16/2025,Bears,Vikings,FOX,1:00 PM
2025,2,11,11/16/2025,Packers,Giants,FOX,1:00 PM
2025,2,11,11/16/2025,Texans,Titans,FOX,1:00 PM
2025,2,11,11/16/2025,Bengals,Steelers,CBS,1:00 PM
2025,2,11,11/16/2025,49ers,Cardinals,FOX,4:05 PM
2025,2,11,11/16/2025,Seahawks,Rams,FOX,4:05 PM
2025,2,11,11/16/2025,Ravens,Browns,CBS,4:25 PM
2025,2,11,11/16/2025,Chiefs,Broncos,CBS,4:25 PM
2025,2,11,11/16/2025,Lions,Eagles,NBC,8:20 PM
2025,2,11,11/17/2025,Cowboys,Raiders,ESPN,8:15 PM
2025,2,12,11/20/2025,Bills,Texans,Amazon,8:15 PM
2025,2,12,11/23/2025,Steelers,Bears,CBS,1:00 PM
2025,2,12,11/23/2025,Patriots,Bengals,CBS,1:00 PM
2025,2,12,11/23/2025,Giants,Lions,FOX,1:00 PM
2025,2,12,11/23/2025,Vikings,Packers,FOX,1:00 PM
2025,2,12,11/23/2025,Colts,Chiefs,CBS,1:00 PM
2025,2,12,11/23/2025,Seahawks,Titans,FOX,1:00 PM
2025,2,12,11/23/2025,Jets,Ravens,CBS,1:00 PM
2025,2,12,11/23/2025,Jaguars,Cardinals,CBS,4:05 PM
2025,2,12,11/23/2025,Browns,Raiders,CBS,4:05 PM
2025,2,12,11/23/2025,Eagles,Cowboys,FOX,4:25 PM
2025,2,12,11/23/2025,Falcons,Saints,FOX,4:25 PM
2025,2,12,11/23/2025,Buccaneers,Rams,NBC,8:20 PM
2025,2,12,11/24/2025,Panthers,49ers,ESPN,8:15 PM
2025,2,13,11/27/2025,Packers,Lions,FOX,1:00 PM
2025,2,13,11/27/2025,Chiefs,Cowboys,CBS,4:30 PM
2025,2,13,11/27/2025,Bengals,Ravens,NBC,8:20 PM
2025,2,13,11/28/2025,Bears,Eagles,Amazon,3:00 PM
2025,2,13,11/30/2025,Rams,Panthers,FOX,1:00 PM
2025,2,13,11/30/2025,49ers,Browns,CBS,1:00 PM
