season,gametypeid,week,date,time,network,awayteam,hometeam
2021,2,1,9/9/2021,8:20 PM,CBS,Cowboys,Buccaneers
2021,2,1,9/12/2021,1:00 PM,CBS,Eagles,Falcons
2021,2,1,9/12/2021,1:00 PM,CBS,Steelers,Bills
2021,2,1,9/12/2021,1:00 PM,CBS,Jets,Panthers
2021,2,1,9/12/2021,1:00 PM,CBS,Vikings,Bengals
2021,2,1,9/12/2021,1:00 PM,CBS,Seahawks,Colts
2021,2,1,9/12/2021,1:00 PM,CBS,49ers,Lions
2021,2,1,9/12/2021,1:00 PM,CBS,Jaguars,Texans
2021,2,1,9/12/2021,1:00 PM,CBS,Cardinals,Titans
2021,2,1,9/12/2021,1:00 PM,CBS,Chargers,Redskins
2021,2,1,9/12/2021,4:25 PM,CBS,Browns,Chiefs
2021,2,1,9/12/2021,4:25 PM,CBS,Packers,Saints
2021,2,1,9/12/2021,4:25 PM,CBS,Dolphins,Patriots
2021,2,1,9/12/2021,4:25 PM,CBS,Broncos,Giants
2021,2,1,9/12/2021,8:20 PM,CBS,Bears,Rams
2021,2,1,9/13/2021,8:15 PM,CBS,Ravens,Raiders
2021,2,2,9/16/2021,8:20 PM,CBS,Giants,Redskins
2021,2,2,9/19/2021,1:00 PM,CBS,Saints,Panthers
2021,2,2,9/19/2021,1:00 PM,CBS,Bengals,Bears
2021,2,2,9/19/2021,1:00 PM,CBS,Texans,Browns
2021,2,2,9/19/2021,1:00 PM,CBS,Rams,Colts
2021,2,2,9/19/2021,1:00 PM,CBS,Broncos,Jaguars
2021,2,2,9/19/2021,1:00 PM,CBS,Bills,Dolphins
2021,2,2,9/19/2021,1:00 PM,CBS,Patriots,Jets
2021,2,2,9/19/2021,1:00 PM,CBS,49ers,Eagles
2021,2,2,9/19/2021,1:00 PM,CBS,Raiders,Steelers
2021,2,2,9/19/2021,4:05 PM,CBS,Vikings,Cardinals
2021,2,2,9/19/2021,4:05 PM,CBS,Falcons,Buccaneers
2021,2,2,9/19/2021,4:25 PM,CBS,Cowboys,Chargers
2021,2,2,9/19/2021,4:25 PM,CBS,Titans,Seahawks
2021,2,2,9/19/2021,8:20 PM,CBS,Chiefs,Ravens
2021,2,2,9/20/2021,8:15 PM,CBS,Lions,Packers
2021,2,3,9/23/2021,8:20 PM,CBS,Panthers,Texans
2021,2,3,9/26/2021,1:00 PM,CBS,Washington,Bills
2021,2,3,9/26/2021,1:00 PM,CBS,Bears,Browns
2021,2,3,9/26/2021,1:00 PM,CBS,Ravens,Lions
2021,2,3,9/26/2021,1:00 PM,CBS,Cardinals,Jaguars
2021,2,3,9/26/2021,1:00 PM,CBS,Chargers,Chiefs
2021,2,3,9/26/2021,1:00 PM,CBS,Saints,Patriots
2021,2,3,9/26/2021,1:00 PM,CBS,Falcons,Giants
2021,2,3,9/26/2021,1:00 PM,CBS,Colts,Titans
2021,2,3,9/26/2021,1:00 PM,CBS,Bengals,Steelers
2021,2,3,9/26/2021,4:05 PM,CBS,Jets,Broncos
2021,2,3,9/26/2021,4:05 PM,CBS,Dolphins,Raiders
2021,2,3,9/26/2021,4:25 PM,CBS,Seahawks,Vikings
2021,2,3,9/26/2021,4:25 PM,CBS,Buccaneers,Rams
2021,2,3,9/26/2021,8:20 PM,CBS,Packers,49ers
2021,2,3,9/27/2021,8:15 PM,CBS,Eagles,Cowboys
2021,2,4,9/30/2021,8:20 PM,CBS,Jaguars,Bengals
2021,2,4,10/3/2021,1:00 PM,CBS,Redskins,Falcons
2021,2,4,10/3/2021,1:00 PM,CBS,Texans,Bills
2021,2,4,10/3/2021,1:00 PM,CBS,Lions,Bears
2021,2,4,10/3/2021,1:00 PM,CBS,Panthers,Cowboys
2021,2,4,10/3/2021,1:00 PM,CBS,Colts,Dolphins
2021,2,4,10/3/2021,1:00 PM,CBS,Browns,Vikings
2021,2,4,10/3/2021,1:00 PM,CBS,Giants,Saints
2021,2,4,10/3/2021,1:00 PM,CBS,Titans,Jets
2021,2,4,10/3/2021,1:00 PM,CBS,Chiefs,Eagles
2021,2,4,10/3/2021,4:05 PM,CBS,Cardinals,Rams
2021,2,4,10/3/2021,4:05 PM,CBS,Seahawks,49ers
2021,2,4,10/3/2021,4:25 PM,CBS,Ravens,Broncos
2021,2,4,10/3/2021,4:25 PM,CBS,Steelers,Packers
2021,2,4,10/3/2021,8:20 PM,CBS,Buccaneers,Patriots
2021,2,4,10/4/2021,8:15 PM,CBS,Raiders,Chargers
2021,2,5,10/7/2021,8:20 PM,CBS,Rams,Seahawks
2021,2,5,10/10/2021,9:30 AM,CBS,Jets,Falcons
2021,2,5,10/10/2021,1:00 PM,CBS,Eagles,Panthers
2021,2,5,10/10/2021,1:00 PM,CBS,Packers,Bengals
2021,2,5,10/10/2021,1:00 PM,CBS,Patriots,Texans
2021,2,5,10/10/2021,1:00 PM,CBS,Titans,Jaguars
2021,2,5,10/10/2021,1:00 PM,CBS,Lions,Vikings
2021,2,5,10/10/2021,1:00 PM,CBS,Broncos,Steelers
2021,2,5,10/10/2021,1:00 PM,CBS,Dolphins,Buccaneers
2021,2,5,10/10/2021,1:00 PM,CBS,Saints,Redskins
2021,2,5,10/10/2021,4:05 PM,CBS,Bears,Raiders
2021,2,5,10/10/2021,4:05 PM,CBS,Browns,Chargers
2021,2,5,10/10/2021,4:25 PM,CBS,49ers,Cardinals
2021,2,5,10/10/2021,4:25 PM,CBS,Giants,Cowboys
2021,2,5,10/10/2021,8:20 PM,CBS,Bills,Chiefs
2021,2,5,10/11/2021,8:15 PM,CBS,Colts,Ravens
2021,2,6,10/14/2021,8:20 PM,CBS,Buccaneers,Eagles
2021,2,6,10/17/2021,9:30 AM,CBS,Dolphins,Jaguars
2021,2,6,10/17/2021,1:00 PM,CBS,Vikings,Panthers
2021,2,6,10/17/2021,1:00 PM,CBS,Packers,Bears
2021,2,6,10/17/2021,1:00 PM,CBS,Texans,Colts
2021,2,6,10/17/2021,1:00 PM,CBS,Bengals,Lions
2021,2,6,10/17/2021,1:00 PM,CBS,Rams,Giants
2021,2,6,10/17/2021,1:00 PM,CBS,Chargers,Ravens
2021,2,6,10/17/2021,1:00 PM,CBS,Chiefs,Redskins
2021,2,6,10/17/2021,4:05 PM,CBS,Cardinals,Browns
2021,2,6,10/17/2021,4:25 PM,CBS,Raiders,Broncos
2021,2,6,10/17/2021,4:25 PM,CBS,Cowboys,Patriots
2021,2,6,10/17/2021,8:20 PM,CBS,Seahawks,Steelers
2021,2,6,10/18/2021,8:15 PM,CBS,Bills,Titans
2021,2,7,10/21/2021,8:20 PM,CBS,Broncos,Browns
2021,2,7,10/24/2021,1:00 PM,CBS,Redskins,Packers
2021,2,7,10/24/2021,1:00 PM,CBS,Falcons,Dolphins
2021,2,7,10/24/2021,1:00 PM,CBS,Jets,Patriots
2021,2,7,10/24/2021,1:00 PM,CBS,Panthers,Giants
2021,2,7,10/24/2021,1:00 PM,CBS,Chiefs,Titans
2021,2,7,10/24/2021,1:00 PM,CBS,Bengals,Ravens
2021,2,7,10/24/2021,4:05 PM,CBS,Eagles,Raiders
2021,2,7,10/24/2021,4:05 PM,CBS,Lions,Rams
2021,2,7,10/24/2021,4:25 PM,CBS,Texans,Cardinals
2021,2,7,10/24/2021,4:25 PM,CBS,Bears,Buccaneers
2021,2,7,10/24/2021,8:20 PM,CBS,Colts,49ers
2021,2,7,10/25/2021,8:15 PM,CBS,Saints,Seahawks
2021,2,8,10/28/2021,8:20 PM,CBS,Packers,Cardinals
2021,2,8,10/31/2021,1:00 PM,CBS,Panthers,Falcons
2021,2,8,10/31/2021,1:00 PM,CBS,Dolphins,Bills
2021,2,8,10/31/2021,1:00 PM,CBS,49ers,Bears
2021,2,8,10/31/2021,1:00 PM,CBS,Steelers,Browns
2021,2,8,10/31/2021,1:00 PM,CBS,Titans,Colts
2021,2,8,10/31/2021,1:00 PM,CBS,Eagles,Lions
2021,2,8,10/31/2021,1:00 PM,CBS,Rams,Texans
2021,2,8,10/31/2021,1:00 PM,CBS,Bengals,Jets
2021,2,8,10/31/2021,4:05 PM,CBS,Patriots,Chargers
