NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2017,13,Cardinals,24,24,8,32,18,26,18,10,14,
2,2017,13,Falcons,10,11,9,10,6,13,8,20,10,
3,2017,13,Ravens,11,18,32,11,31,2,2,23,7,
4,2017,13,Bills,25,22,30,12,26,17,22,21,25,
5,2017,13,Panthers,12,15,24,5,17,8,6,3,2,
6,2017,13,Bears,27,29,31,8,29,15,12,16,12,
7,2017,13,Bengals,19,25,28,31,32,10,5,28,13,
8,2017,13,Browns,32,32,25,17,24,30,13,8,9,
9,2017,13,Cowboys,16,16,27,4,16,24,21,17,22,
10,2017,13,Broncos,23,26,19,16,22,27,4,4,3,
11,2017,13,Lions,15,5,10,30,15,21,23,24,26,
12,2017,13,Packers,14,19,20,22,25,19,25,11,23,
13,2017,13,Texans,17,6,16,7,13,29,24,7,18,
14,2017,13,Colts,30,27,26,24,27,32,30,13,29,
15,2017,13,Jaguars,9,9,29,1,12,1,1,19,1,
16,2017,13,Chiefs,8,7,13,15,9,14,28,29,27,
26,2017,13,Chargers,13,14,4,25,10,6,7,32,17,
29,2017,13,Rams,7,2,6,9,4,7,9,27,16,
17,2017,13,Dolphins,28,30,22,29,30,31,17,25,21,
18,2017,13,Vikings,5,8,12,6,5,5,11,2,5,
19,2017,13,Patriots,1,3,1,14,1,11,31,22,30,
20,2017,13,Saints,4,4,2,3,2,12,14,18,15,
21,2017,13,Giants,26,31,23,26,28,22,29,31,31,
22,2017,13,Jets,29,20,18,21,23,16,15,26,19,
23,2017,13,Raiders,20,21,14,27,19,18,27,12,24,
24,2017,13,Eagles,2,1,15,2,3,3,16,1,6,
25,2017,13,Steelers,3,13,5,19,7,4,3,6,4,
27,2017,13,49ers,31,28,17,23,21,28,26,30,28,
28,2017,13,Seahawks,6,10,7,20,8,9,10,9,8,
30,2017,13,Buccaneers,22,23,3,28,14,20,32,14,32,
31,2017,13,Titans,21,17,21,13,20,23,20,5,11,
32,2017,13,Redskins,18,12,11,18,11,25,19,15,20,
