NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2020,20,Cardinals,13,14,15,6,7,12,10,21,13
2,2020,20,Falcons,15,16,5,28,15,19,32,7,28
3,2020,20,Ravens,3,9,32,1,19,1,6,6,6
4,2020,20,Bills,6,3,4,24,4,14,18,20,17
5,2020,20,Panthers,21,24,16,20,21,18,17,18,16
6,2020,20,Bears,16,23,22,26,28,13,12,14,11
7,2020,20,Bengals,30,29,27,23,30,21,19,29,26
8,2020,20,Browns,18,13,24,4,16,22,27,9,21
9,2020,20,Cowboys,25,17,10,17,13,28,11,31,23
10,2020,20,Broncos,28,28,26,13,24,25,15,25,20
11,2020,20,Lions,29,20,12,30,20,32,31,28,32
12,2020,20,Packers,5,1,9,8,2,15,7,10,7
13,2020,20,Texans,26,19,3,31,11,27,23,32,30
14,2020,20,Colts,10,8,11,9,8,11,20,2,9
15,2020,20,Jaguars,32,30,21,29,27,31,26,30,31
16,2020,20,Chiefs,4,5,1,16,1,10,13,19,15
26,2020,20,Chargers,23,18,6,18,10,23,9,17,10
29,2020,20,Rams,7,22,17,11,17,2,1,4,1
23,2020,20,Raiders,20,10,8,14,9,30,25,23,25
17,2020,20,Dolphins,14,15,20,21,23,4,22,16,19
18,2020,20,Vikings,19,11,14,5,3,29,24,27,27
19,2020,20,Patriots,17,27,30,3,26,7,8,26,14
20,2020,20,Saints,2,6,19,7,12,3,5,3,2
21,2020,20,Giants,27,31,29,19,31,8,16,11,12
22,2020,20,Jets,31,32,31,22,32,26,29,12,24
24,2020,20,Eagles,24,26,28,10,25,20,14,22,18
25,2020,20,Steelers,9,12,7,32,22,5,2,13,3
27,2020,20,49ers,12,21,13,15,14,17,4,8,4
28,2020,20,Seahawks,8,7,18,12,18,16,30,5,22
30,2020,20,Buccaneers,1,2,2,27,6,9,21,1,8
31,2020,20,Titans,11,4,23,2,5,24,28,24,29
32,2020,20,Redskins,22,25,25,25,29,6,3,15,5
