NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2023,18,Cardinals,29,24,29,6,24,31,13,32,26
2,2023,18,Falcons,25,26,22,8,18,9,8,19,11
3,2023,18,Ravens,1,2,21,1,4,1,6,13,4
4,2023,18,Bills,4,6,10,7,5,4,7,15,10
5,2023,18,Panthers,32,31,31,20,32,30,3,23,3
6,2023,18,Bears,23,16,27,2,17,20,21,1,12
7,2023,18,Bengals,11,20,11,32,22,21,29,26,31
8,2023,18,Browns,8,9,19,11,11,11,1,10,1
9,2023,18,Cowboys,3,3,4,14,6,5,5,20,8
10,2023,18,Broncos,22,17,26,17,26,26,22,31,30
11,2023,18,Lions,7,5,3,4,3,23,25,5,15
12,2023,18,Packers,13,11,17,15,13,14,11,28,21
13,2023,18,Texans,21,14,7,22,10,13,25,3,14
14,2023,18,Colts,24,10,20,13,15,27,17,27,24
15,2023,18,Jaguars,10,13,9,23,14,15,27,8,20
16,2023,18,Chiefs,5,12,5,19,9,3,2,17,2
26,2023,18,Chargers,16,21,13,26,19,25,30,16,29
29,2023,18,Rams,12,8,8,10,7,19,24,12,19
23,2023,18,Raiders,20,25,23,30,29,8,10,22,18
17,2023,18,Dolphins,6,1,1,5,1,21,12,7,9
18,2023,18,Vikings,15,22,6,27,12,12,18,9,16
19,2023,18,Patriots,28,32,24,25,28,17,14,2,6
20,2023,18,Saints,14,14,12,21,16,6,9,21,13
21,2023,18,Giants,30,30,32,16,30,28,20,29,28
22,2023,18,Jets,27,29,30,28,31,18,4,24,5
24,2023,18,Eagles,9,7,16,9,8,29,28,11,23
25,2023,18,Steelers,17,27,25,12,25,7,22,18,22
27,2023,18,49ers,2,3,2,3,2,2,15,3,7
28,2023,18,Seahawks,19,17,14,29,20,24,19,30,27
30,2023,18,Buccaneers,18,19,15,31,23,9,32,6,25
31,2023,18,Titans,26,28,28,18,27,16,16,14,17
32,2023,18,Commanders,31,23,18,24,21,32,31,25,32
