NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2024,12,Cardinals,14,16,23,6,15,11,20,17,18
2,2024,12,Falcons,23,16,5,14,8,25,26,19,25
3,2024,12,Ravens,3,2,3,2,1,23,31,2,24
4,2024,12,Bills,2,3,13,11,13,7,14,13,15
5,2024,12,Panthers,32,29,31,24,31,32,24,32,30
6,2024,12,Bears,19,22,29,23,26,8,13,20,17
7,2024,12,Bengals,15,6,1,27,9,28,23,21,23
8,2024,12,Browns,27,30,21,29,29,22,15,24,21
9,2024,12,Cowboys,25,22,8,31,20,31,21,31,27
10,2024,12,Broncos,16,19,22,22,23,3,9,6,3
11,2024,12,Lions,1,1,6,4,2,2,25,5,12
12,2024,12,Packers,6,8,11,3,5,10,11,12,11
13,2024,12,Texans,11,12,15,20,16,15,5,10,5
14,2024,12,Colts,17,21,24,17,22,16,27,27,28
15,2024,12,Jaguars,26,25,27,25,30,30,32,26,32
16,2024,12,Chiefs,4,10,12,18,14,9,18,3,4
17,2024,12,Chargers,9,18,20,13,21,1,10,15,13
18,2024,12,Rams,20,20,9,26,17,26,19,28,26
19,2024,12,Raiders,31,26,16,32,28,29,12,14,14
20,2024,12,Dolphins,22,24,19,16,19,11,8,9,7
21,2024,12,Vikings,8,9,10,15,10,5,28,1,10
22,2024,12,Patriots,30,31,32,21,32,19,22,18,22
23,2024,12,Saints,24,11,17,9,11,20,30,25,31
24,2024,12,Giants,29,32,28,19,24,17,7,30,19
25,2024,12,Jets,21,27,18,30,27,13,2,22,8
26,2024,12,Eagles,5,7,25,1,3,6,3,7,1
27,2024,12,Steelers,7,14,26,8,18,4,17,4,9
28,2024,12,49ers,10,13,4,7,4,20,6,11,6
29,2024,12,Seahawks,18,15,2,28,12,14,15,23,20
30,2024,12,Buccaneers,13,4,7,10,7,24,29,16,29
31,2024,12,Titans,28,28,30,12,25,27,1,8,2
32,2024,12,Commanders,12,5,14,5,6,18,4,29,16
