NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2024,1,Cardinals,30,24,26,3,19,31,12,32,32
2,2024,1,Falcons,27,26,1,8,17,17,8,19,19
3,2024,1,Ravens,1,4,21,1,6,1,6,12,12
4,2024,1,Bills,3,6,10,5,5,3,7,15,15
5,2024,1,Panthers,31,31,32,20,32,29,3,23,23
6,2024,1,Bears,1,19,27,2,21,19,25,1,1
7,2024,1,Bengals,8,16,16,32,23,20,27,26,26
8,2024,1,Browns,12,12,18,13,16,21,2,10,10
9,2024,1,Cowboys,4,1,1,15,4,9,5,18,18
10,2024,1,Broncos,23,20,24,19,26,27,23,30,30
11,2024,1,Lions,7,5,3,6,2,25,31,2,2
12,2024,1,Packers,9,8,13,14,10,13,13,28,28
13,2024,1,Texans,20,13,8,28,15,11,20,8,8
14,2024,1,Colts,24,11,20,10,14,28,17,24,24
15,2024,1,Jaguars,11,15,9,23,12,16,26,9,9
16,2024,1,Chiefs,5,14,6,17,8,2,4,16,16
26,2024,1,Chargers,17,21,14,24,18,23,29,17,17
29,2024,1,Rams,13,9,7,12,7,18,21,13,13
23,2024,1,Raiders,19,23,23,30,27,7,11,20,20
17,2024,1,Dolphins,6,3,2,7,3,1,15,7,7
18,2024,1,Vikings,16,1,5,29,11,12,24,6,6
19,2024,1,Patriots,28,31,28,25,30,14,10,3,3
20,2024,1,Saints,10,10,11,21,13,6,9,1,22
21,2024,1,Giants,29,30,31,16,29,26,19,29,29
22,2024,1,Jets,26,29,30,1,31,10,1,25,25
24,2024,1,Eagles,14,7,17,9,9,30,30,11,11
25,2024,1,Steelers,18,28,25,11,25,8,16,21,21
27,2024,1,49ers,2,2,4,4,1,4,14,5,5
28,2024,1,Seahawks,21,17,15,27,1,24,1,31,31
30,2024,1,Buccaneers,15,18,12,31,20,5,28,4,4
31,2024,1,Titans,25,27,29,18,28,15,18,14,14
32,2024,1,Commanders,32,25,19,26,24,32,32,27,27
