Player,Team,Pos,Injury,Status
Davante Adams,32,WR,Hamstring,Questionable
Tony Adams,2,S,Groin,IR
Nate Adkins,13,TE,Knee,Questionable
Salvon Ahmed,12,RB,Ankle,IR
Brandon Aiyuk,30,WR,Knee - ACL + MCL,Reserve-DNR
Azeez Al-Shaair,10,LB,Ankle,Questionable
Jaire Alexander,17,CB,Undisclosed,Reserve-Ret
Erick All,5,TE,Knee - ACL,PUP-R
Braelon Allen,2,RB,Knee - MCL,IR
Josh Allen,3,QB,Foot,Questionable
Joe Alt,14,OT,Ankle,IR
Kiran Amegadjie,23,OG,Elbow,IR
Trey Amos,18,CB,Lower Leg,IR
Troy Andersen,26,LB,Knee,PUP-R
Calvin Anderson,6,OT,Knee,IR
Felix Anudike-Uzomah,16,DE,Hamstring,IR
Terron Armstead,1,OT,Undisclosed,Reserve-Ret
Dorance Armstrong,18,DE,Knee,IR
Terrion Arnold,22,CB,Shoulder,IR
Elijah Arroyo,29,TE,Knee,IR
Brian Asamoah,5,LB,Knee,IR
Popo Aumavae,25,DT,Achilles,IR
Alex Austin,4,CB,Undisclosed,IR
Calvin Austin,6,WR,Hamstring,Questionable
Denico Autry,10,DE,Knee,Questionable
Chidobe Awuzie,8,CB,Foot,Questionable
Andre Baccellia,31,WR,Neck,IR
Aaron Banks,24,OG,Neck,Questionable
Tyler Baron,2,DE,Knee,IR
Ben Bartch,30,OG,Foot,IR
Gavin Bartholomew,21,TE,Back,PUP-R
Tyler Bass,3,K,Hip,IR
Mekhi Becton,14,OG,Knee,Questionable
David Bell,7,WR,Hip,Reserve-Ret
Nick Bellore,18,LB,Concussion,Questionable
Trey Benson,31,RB,Knee - Meniscus,IR
Tatum Bethune,30,LB,Ankle,Questionable
Julian Blackmon,27,S,Shoulder - Labrum,IR
DaRon Bland,19,CB,Foot,IR
Joey Blount,31,S,Neck,IR
Chris Board,20,LB,Chest,IR
Quinton Bohanna,24,DT,Illness,Questionable
Tyler Booker,19,OG,Ankle,Questionable
