Player,Team,Pos,Injury,Status
De'Von Achane,1,RB,Knee,IR
Montravius Adams,6,DT,Ankle,Questionable
Cam Akers,21,RB,Achilles,IR
Azeez Al-Shaair,9,LB,Ankle,Questionable
Jaire Alexander,24,CB,Shoulder,Questionable
Dee Alford,26,CB,Ankle,Out
Josh Ali,26,WR,Ankle,IR
Bradlee Anae,2,DE,Undisclosed,IR
Troy Andersen,26,LB,Shoulder,IR
Calvin Anderson,4,OT,Illness,IR
Henry Anderson,25,DE,Foot,IR
Tycen Anderson,5,S,Knee,IR
Will Anderson,10,DE,Knee,Questionable
Troy Apke,18,CB,Shoulder,IR
Jalyn Armour-Davis,8,CB,Illness,Questionable
Brian Asamoah,21,LB,Ankle,Questionable
Genard Avery,12,DE,Knee - Meniscus,IR
David Bada,18,DT,Triceps,IR
David Bakhtiari,24,OT,Knee,IR
Josh Ball,19,OT,Hip,IR
Aaron Banks,30,OG,Toe,Questionable
Christian Barmore,4,DT,Knee,Questionable
Cody Barton,18,LB,Ankle,IR
Rashod Bateman,8,WR,Back,Questionable
Robert Beal,30,DE,Hamstring,IR-R
Andrew Beck,10,FB,Shoulder,Questionable
Mekhi Becton,2,OT,Knee,Questionable
David Bell,7,WR,Knee,Out
Markquese Bell,19,S,Calf,Questionable
Christian Benford,3,CB,Hamstring,Questionable
Eno Benjamin,27,RB,Achilles,IR
Stetson Bennett,32,QB,Illness,NFI-R
Ja'Whaun Bentley,4,LB,Hamstring,Questionable
Terrel Bernard,3,LB,Concussion,Questionable
Jared Bernhardt,26,WR,Groin,Reserve-Ret
Khari Blasingame,23,RB,Concussion,Inactive
Isaiah Bolden,4,CB,Concussion,IR
Nick Bolton,16,LB,Wrist,IR
Joey Bosa,14,LB,Illness,Questionable
Kendrick Bourne,4,WR,Knee - ACL,IR
Tyus Bowser,8,LB,Knee,NFI-R
Anthony Bradford,29,OG,Knee,Questionable
Shaun Bradley,17,LB,Achilles,IR
Christian Braswell,11,CB,Hamstring,IR
JuJu Brents,12,CB,Quadriceps,Out
Gary Brightwell,20,RB,Hamstring,IR
Chris Brooks,1,RB,Ankle,IR
Curtis Brooks,18,DT,Undisclosed,IR
Jordyn Brooks,29,LB,Hamstring,Questionable
Bobby Brown,32,DT,Knee - MCL,IR
Brittain Brown,15,RB,Undisclosed,IR
Chase Brown,5,RB,Hamstring,IR
Duane Brown,2,OT,Hip,IR-R
Mike Brown,9,S,Ankle,IR-R
Shakel Brown,9,DT,Ankle,IR
Tony Brown,12,CB,Concussion,Questionable
Trent Brown,4,OT,Ankle,Out
Daniel Brunskill,9,OG,Ankle,Questionable
Coby Bryant,29,CB,Toe,IR
Myles Bryant,4,CB,Chest,Questionable
LaTrell Bumphus,29,DT,Undisclosed,IR
Treylon Burks,9,WR,Concussion,Questionable
Brian Burns,25,LB,Concussion,Inactive
Darien Butler,15,LB,Undisclosed,IR
Jason Cabinda,22,FB,Knee,IR
