Player,Team,Pos,Injury,Status
Paulson Adebo,20,CB,Knee,Questionable
Salvon Ahmed,12,RB,Ankle,IR
Brandon Aiyuk,30,WR,Knee - ACL + MCL,PUP-R
Erick All,5,TE,Knee - ACL,PUP-R
Braelon Allen,2,RB,Knee - MCL,IR
Joe Alt,14,OT,Ankle,Questionable
Kiran Amegadjie,23,OG,Elbow,IR
Troy Andersen,26,LB,Knee,PUP-R
Daijahn Anthony,5,S,Hamstring,IR-R
Felix Anudike-Uzomah,16,DE,Hamstring,IR
Terron Armstead,1,OT,Undisclosed,Reserve-Ret
Dorance Armstrong,18,DE,Knee,IR
Terrion Arnold,22,CB,Shoulder,Questionable
Popo Aumavae,25,DT,Achilles,IR
Calvin Austin,6,WR,Shoulder,Questionable
Chidobe Awuzie,8,CB,Hamstring,Questionable
Ben Bartch,30,OG,Ankle,IR
Gavin Bartholomew,21,TE,Back,PUP-R
Tyler Bass,3,K,Hip,IR
Cooper Beebe,19,C,Ankle,IR
David Bell,7,WR,Hip,Reserve-Ret
Anthony Belton,24,OT,Ankle,Questionable
Jakorian Bennett,17,CB,Undisclosed,IR
Trey Benson,31,RB,Knee - Meniscus,IR
Terrel Bernard,3,LB,Ankle,Questionable
Julian Blackmon,27,S,Shoulder - Labrum,IR
Joey Blount,31,S,Neck,IR
Chris Board,20,LB,Chest,IR
Austin Booker,23,DE,Knee,IR-R
Nick Bosa,30,DE,Knee - ACL,IR
Brock Bowers,15,TE,Knee - PCL,Questionable
Billy Bowman,26,S,Hamstring,Questionable
Kris Boyd,2,CB,Shoulder,IR
Swayze Bozeman,20,LB,Ankle,Questionable
Jake Brendel,30,C,Hamstring,Questionable
Jake Briningstool,16,TE,Hamstring,IR-R
Jonathon Brooks,25,RB,Knee - ACL,PUP-R
Vernon Broughton,27,DT,Hip,IR
Mike Brown,9,S,Knee,IR
Noah Brown,18,WR,Groin,IR
Spencer Burford,30,OG,Knee,IR
Artie Burns,1,CB,Knee - ACL,IR
Brian Burns,20,LB,Foot,Questionable
Joe Burrow,5,QB,Toe,IR
Michael Burton,13,FB,Hamstring,IR
Deon Bush,16,S,Achilles,IR
Adam Butler,15,DT,Back,Questionable
Josh Butler,19,CB,Knee - ACL,PUP-R
Yodny Cajuste,1,OT,Undisclosed,IR
Grant Calcaterra,17,TE,Oblique,Questionable
Elijah Campbell,1,S,Quadriceps,Questionable
Jaylon Carlies,12,LB,Ankle,IR-R
Derek Carr,27,QB,Shoulder,Reserve-Ret
DeAndre Carter,7,WR,Knee,IR
DeWayne Carter,3,DT,Achilles,IR
Michael Carter,2,CB,Concussion,Questionable
Joshua Cephus,11,WR,Undisclosed,IR
Ty Chandler,21,RB,Knee,IR
Irvin Charles,2,WR,Knee - ACL,PUP-R
Will Clapp,27,C,Foot,IR
Kenny Clark,19,DT,Elbow,Questionable
L.J. Collier,31,DT,Knee,IR
Nico Collins,10,WR,Concussion,Questionable
Junior Colson,14,LB,Shoulder,IR
Jack Conklin,7,OT,Concussion,Questionable
Hayden Conner,31,OG,Knee,IR-R
James Conner,31,RB,Foot,IR
Jalin Conyers,1,TE,Leg,IR
Darius Cooper,17,WR,Shoulder,IR
Ajani Cornelius,19,OT,Knee,Questionable
Zeke Correll,21,C,Ankle,IR
Byron Cowart,2,DT,Ankle,IR
Jacob Cowing,30,WR,Hamstring,IR
Brenton Cox,24,LB,Groin,IR
Kitan Crawford,31,S,Ankle,Questionable
Maxx Crosby,15,DE,Knee,Questionable
Zach Cunningham,22,LB,Hamstring,Questionable
Dennis Daley,11,OT,Undisclosed,Reserve-Ret
James Daniels,1,OG,Pectoral,IR
Jayden Daniels,18,QB,Hamstring,Questionable
Ronald Darby,10,CB,Undisclosed,Reserve-Ret
Marcus Davenport,22,DE,Chest,IR
Domenique Davis,6,DT,Undisclosed,IR
Divine Deablo,26,LB,Forearm,Doubtful
Austin Deculus,14,OT,Ankle,Questionable
Tank Dell,10,WR,Knee - ACL + MCL,PUP-R
Emari Demercado,31,RB,Ankle,Questionable
Marcellas Dial,4,CB,Knee - ACL,IR
Trevon Diggs,19,CB,Concussion,Questionable
Khalil Dorsey,22,CB,Concussion,IR
Josh Downs,12,WR,Concussion,Questionable
Ethan Driskell,16,OG,Appendix,NFI-R
Storm Duck,1,CB,Ankle,Questionable
Ashton Dulin,12,WR,Chest,Questionable
Yasir Durant,4,OG,Undisclosed,IR
Troy Dye,14,LB,Thumb,Questionable
Samson Ebukam,12,DE,Knee - MCL,Questionable
Liam Eichenberg,1,OG,Undisclosed,PUP-R
Austin Ekeler,18,RB,Achilles,IR
Jonah Elliss,13,LB,Shoulder,Questionable
Martin Emerson,7,CB,Achilles,IR
Mike Evans,28,WR,Collarbone,Out
Obinna Eze,1,OT,Undisclosed,IR
Joshua Ezeudu,20,OT,Undisclosed,IR-R
Folorunso Fatukasi,10,DT,Shoulder,IR
Da'Quan Felton,20,WR,Undisclosed,IR
AJ Finley,29,S,Knee,IR
Demetrius Flannigan-Fowles,20,LB,Hamstring,Questionable
