season,gametypeid,week,day,date,awayteam,hometeam,network  ,time
2022,2,1,Thu,9/8/2022,Bills,Rams,,8:20 PM
2022,2,1,Sun,9/11/2022,Saints,Falcons,,1:00 PM
2022,2,1,Sun,9/11/2022,Browns,Panthers,,1:00 PM
2022,2,1,Sun,9/11/2022,49ers,Bears,,1:00 PM
2022,2,1,Sun,9/11/2022,Steelers,Bengals,,1:00 PM
2022,2,1,Sun,9/11/2022,Eagles,Lions,,1:00 PM
2022,2,1,Sun,9/11/2022,Colts,Texans,,1:00 PM
2022,2,1,Sun,9/11/2022,Patriots,Dolphins,,1:00 PM
2022,2,1,Sun,9/11/2022,Ravens,Jets,,1:00 PM
2022,2,1,Sun,9/11/2022,Jaguars,Commanders,,1:00 PM
2022,2,1,Sun,9/11/2022,Chiefs,Cardinals,,4:25 PM
2022,2,1,Sun,9/11/2022,Packers,Vikings,,4:25 PM
2022,2,1,Sun,9/11/2022,Giants,Titans,,4:25 PM
2022,2,1,Sun,9/11/2022,Raiders,Chargers,,4:25 PM
2022,2,1,Sun,9/11/2022,Buccaneers,Cowboys,,8:20 PM
2022,2,1,Mon,9/12/2022,Broncos,Seahawks,,8:20 PM
2022,2,2,Thu,9/15/2022,Chargers,Chiefs,,8:15 PM
2022,2,2,Sun,9/18/2022,Jets,Browns,,1:00 PM
2022,2,2,Sun,9/18/2022,Commanders,Lions,,1:00 PM
2022,2,2,Sun,9/18/2022,Colts,Jaguars,,1:00 PM
2022,2,2,Sun,9/18/2022,Buccaneers,Saints,,1:00 PM
2022,2,2,Sun,9/18/2022,Panthers,Giants,,1:00 PM
2022,2,2,Sun,9/18/2022,Patriots,Steelers,,1:00 PM
2022,2,2,Sun,9/18/2022,Dolphins,Ravens,,1:00 PM
2022,2,2,Sun,9/18/2022,Falcons,Rams,,4:05 PM
2022,2,2,Sun,9/18/2022,Seahawks,49ers,,4:05 PM
2022,2,2,Sun,9/18/2022,Bengals,Cowboys,,4:25 PM
2022,2,2,Sun,9/18/2022,Texans,Broncos,,4:25 PM
2022,2,2,Sun,9/18/2022,Cardinals,Raiders,,4:25 PM
2022,2,2,Sun,9/18/2022,Bears,Packers,,8:20 PM
2022,2,2,Mon,9/19/2022,Titans,Bills,,7:15 PM
2022,2,2,Mon,9/19/2022,Vikings,Eagles,,8:30 PM
2022,2,3,Thu,9/22/2022,Steelers,Browns,,8:15 PM
2022,2,3,Sun,9/25/2022,Saints,Panthers,,1:00 PM
2022,2,3,Sun,9/25/2022,Texans,Bears,,1:00 PM
