nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,6,Cardinals,6,2,7,11,5,8,9,16,6
2,2015,6,Falcons,3,3,8,4,4,17,29,1,20
3,2015,6,Ravens,23,11,11,15,9,27,27,9,25
4,2015,6,Bills,10,8,28,7,27,16,23,4,18
5,2015,6,Panthers,7,6,30,3,28,7,15,12,7
6,2015,6,Bears,24,27,25,14,26,32,6,27,9
7,2015,6,Bengals,5,4,6,10,3,9,20,18,21
8,2015,6,Browns,20,12,9,25,10,23,18,32,30
9,2015,6,Cowboys,18,25,17,18,18,22,17,10,12
10,2015,6,Broncos,4,14,18,30,29,4,3,5,2
11,2015,6,Lions,31,26,5,32,12,29,22,26,27
12,2015,6,Packers,2,5,20,5,11,3,11,24,16
13,2015,6,Texans,30,21,4,23,6,21,13,17,11
14,2015,6,Colts,13,23,13,22,19,18,28,20,29
15,2015,6,Jaguars,32,30,12,24,16,30,21,14,19
16,2015,6,Chiefs,19,22,19,20,20,24,25,11,22
17,2015,6,Dolphins,29,24,16,26,24,12,12,31,24
18,2015,6,Vikings,16,29,32,6,31,2,14,19,13
19,2015,6,Patriots,1,1,2,21,2,10,16,22,17
20,2015,6,Saints,27,18,3,31,7,28,24,30,32
21,2015,6,Giants,12,13,10,28,14,14,30,6,28
22,2015,6,Jets,11,7,21,1,8,1,2,2,1
23,2015,6,Raiders,22,20,15,27,23,19,31,3,26
24,2015,6,Eagles,15,10,14,19,13,6,19,8,15
25,2015,6,Steelers,9,9,24,8,17,5,26,7,23
26,2015,6,Chargers,14,15,1,29,1,26,7,29,14
27,2015,6,49ers,25,32,29,12,30,25,32,15,31
28,2015,6,Seahawks,8,17,27,2,15,11,5,13,4
29,2015,6,Rams,17,31,31,13,32,13,10,21,10
30,2015,6,Buccaneers,28,19,26,9,21,31,4,25,5
31,2015,6,Titans,27,16,22,16,22,20,1,28,3
32,2015,6,Redskins,21,28,23,17,25,15,8,23,8
