nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,8,Cardinals,6,2,4,10,3,9,5,5,4
2,2015,8,Falcons,7,7,5,8,4,13,24,3,11
3,2015,8,Ravens,26,15,11,22,10,25,30,11,25
4,2015,8,Bills,19,9,25,11,24,20,20,6,13
5,2015,8,Panthers,5,4,29,1,19,10,7,20,10
6,2015,8,Bears,25,27,22,16,27,29,4,29,9
7,2015,8,Bengals,3,3,7,14,6,7,23,18,22
8,2015,8,Browns,24,29,9,31,18,26,22,32,30
9,2015,8,Cowboys,20,29,24,6,21,17,12,13,8
10,2015,8,Broncos,4,13,13,26,17,1,1,4,1
11,2015,8,Lions,31,30,8,32,26,32,18,31,27
12,2015,8,Packers,2,10,27,12,28,6,17,25,23
13,2015,8,Texans,29,19,6,28,8,22,6,22,14
14,2015,8,Colts,18,20,14,24,16,21,28,28,29
15,2015,8,Jaguars,32,22,17,25,23,31,25,14,21
16,2015,8,Chiefs,22,12,20,13,22,15,21,12,16
17,2015,8,Dolphins,13,18,15,17,15,19,19,26,24
18,2015,8,Vikings,11,24,30,5,29,2,9,15,7
19,2015,8,Patriots,1,1,2,30,5,8,15,7,12
20,2015,8,Saints,17,6,3,21,2,30,29,24,31
21,2015,8,Giants,14,5,12,27,14,24,32,19,32
22,2015,8,Jets,8,11,16,7,7,12,8,1,3
23,2015,8,Raiders,16,8,10,20,9,18,31,2,26
24,2015,8,Eagles,15,17,19,15,12,11,16,17,18
25,2015,8,Steelers,10,23,21,9,20,5,26,8,20
26,2015,8,Chargers,21,14,1,29,1,27,13,27,19
27,2015,8,49ers,27,32,31,18,32,23,27,23,28
28,2015,8,Seahawks,9,26,26,2,13,3,2,10,2
29,2015,8,Rams,12,28,32,3,30,4,10,9,6
30,2015,8,Buccaneers,28,16,23,4,11,28,14,16,15
31,2015,8,Titans,30,31,28,19,31,14,3,21,5
32,2015,8,Redskins,23,21,18,23,25,16,11,30,17
