nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,06,Cardinals,10,10,16,11,13,10,4,23,8
2,2016,06,Falcons,6,1,1,7,1,27,26,15,26
3,2016,06,Ravens,14,23,22,17,22,7,5,4,3
4,2016,06,Bills,16,15,32,3,28,5,17,13,15
5,2016,06,Panthers,13,11,10,6,3,22,15,10,12
6,2016,06,Bears,28,30,6,19,9,21,12,24,14
7,2016,06,Bengals,8,25,5,26,10,16,11,19,9
8,2016,06,Browns,32,29,26,5,20,31,25,20,29
9,2016,06,Cowboys,7,8,21,1,2,8,19,11,16
10,2016,06,Broncos,4,9,25,16,24,6,3,22,6
11,2016,06,Lions,20,13,13,23,18,20,23,21,24
12,2016,06,Packers,9,12,27,12,25,12,24,1,9
13,2016,06,Texans,18,32,29,15,27,13,1,25,5
14,2016,06,Colts,21,7,9,22,14,30,28,18,30
15,2016,06,Jaguars,30,19,19,30,26,25,7,17,7
16,2016,06,Chiefs,15,20,15,21,21,17,13,29,21
17,2016,06,Dolphins,29,28,24,31,29,18,16,32,28
18,2016,06,Vikings,1,14,23,32,30,1,8,6,4
19,2016,06,Patriots,2,17,14,4,7,4,18,9,13
01,2016,06,Saints,25,4,2,28,6,32,29,26,31
21,2016,06,Giants,17,27,11,27,19,15,20,12,17
22,2016,06,Jets,27,24,17,13,17,23,31,2,22
23,2016,06,Raiders,12,5,8,9,4,24,32,27,32
24,2016,06,Eagles,11,3,20,10,12,2,6,3,2
25,2016,06,Steelers,3,6,3,14,5,9,30,5,25
26,2016,06,Chargers,24,2,4,20,8,29,27,8,23
27,2016,06,49ers,31,18,31,8,31,26,10,31,20
28,2016,06,Seahawks,5,21,12,18,16,3,2,7,1
29,2016,06,Rams,19,31,30,29,32,14,14,28,18
30,2016,06,Buccaneers,23,22,18,24,23,28,22,16,19
31,2016,06,Titans,26,26,28,2,15,11,9,14,10
32,2016,06,Redskins,22,16,7,25,11,19,21,30,27
