NBR,Season,Week,Team,PowerRank,OffenceScoringRank,OffencePassingRank,OffenceRushingRank,OffenceTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2017,3,Cardinals,16,17,6,30,12,26,22,10,19,
2,2017,3,Falcons,8,8,8,17,8,15,23,16,22,
3,2017,3,Ravens,7,14,30,3,22,2,17,12,11,
4,2017,3,Bills,27,26,27,8,24,4,8,5,2,
5,2017,3,Panthers,10,22,24,18,25,1,2,6,1,
6,2017,3,Bears,30,25,15,26,21,28,24,15,25,
7,2017,3,Bengals,18,32,22,22,27,8,1,31,5,
8,2017,3,Browns,29,24,14,25,18,22,19,13,18,
9,2017,3,Cowboys,12,21,10,19,14,23,12,18,14,
10,2017,3,Broncos,9,3,21,1,11,13,15,3,4,
11,2017,3,Lions,13,6,19,14,17,7,21,4,7,
12,2017,3,Packers,5,15,4,27,7,19,9,21,8,
13,2017,3,Texans,20,29,32,7,31,14,6,22,6,
14,2017,3,Colts,28,27,25,24,29,29,29,7,28,
15,2017,3,Jaguars,22,12,26,9,23,20,4,29,9,
16,2017,3,Chiefs,3,2,5,2,2,25,27,20,29,
26,2017,3,Chargers,21,18,9,31,20,17,14,26,21,
29,2017,3,Rams,24,4,7,23,10,12,3,30,13,
17,2017,3,Dolphins,23,19,17,12,13,9,30,2,27,
18,2017,3,Vikings,17,20,12,15,9,24,25,11,24,
19,2017,3,Patriots,1,5,1,10,1,30,31,27,31,
20,2017,3,Saints,26,16,2,28,3,31,32,25,32,
21,2017,3,Giants,19,30,18,32,28,18,11,28,20,
22,2017,3,Jets,32,23,28,21,30,32,18,32,30,
23,2017,3,Raiders,4,1,13,5,4,11,13,19,17,
24,2017,3,Eagles,14,10,3,20,5,21,16,14,12,
25,2017,3,Steelers,2,11,11,29,16,6,5,8,3,
27,2017,3,49ers,31,31,31,16,32,10,7,24,10,
28,2017,3,Seahawks,6,28,29,13,26,5,10,23,15,
30,2017,3,Buccaneers,15,7,20,11,19,3,28,1,16,
31,2017,3,Titans,11,9,16,6,6,16,20,17,23,
32,2017,3,Redskins,25,13,23,4,15,27,26,9,26,
