NBR,Season,Week,Team,Power Rank,Offense Scoring Rank,Offense Passing Rank,Offense Rushing Rank,Offense Total Rank,Defense Scoring Rank,Defense Passing Rank,Defense Rushing Rank,Defense Total Rank
1,2018,2,Cardinals,29,31,29,29,31,21,20,32,27
2,2018,2,Falcons,6,29,18,27,26,10,2,15,3
3,2018,2,Ravens,8,3,12,14,11,1,1,8,1
4,2018,2,Bills,32,32,32,25,32,30,21,19,22
5,2018,2,Panthers,11,26,28,6,28,3,3,10,4
6,2018,2,Bears,22,17,26,9,27,18,26,5,23
7,2018,2,Bengals,16,6,16,21,19,16,27,7,24
8,2018,2,Browns,26,19,27,2,21,15,28,28,29
9,2018,2,Cowboys,17,30,30,23,29,7,5,27,5
10,2018,2,Broncos,19,9,4,7,5,20,19,3,9
11,2018,2,Lions,31,24,8,32,17,31,10,30,19
12,2018,2,Packers,9,15,7,28,10,17,7,24,6
13,2018,2,Texans,15,22,25,4,22,23,23,21,25
14,2018,2,Colts,30,16,6,26,9,27,17,12,14
15,2018,2,Jaguars,10,20,24,10,25,6,11,16,10
16,2018,2,Chiefs,13,5,11,20,13,25,31,22,32
26,2018,2,Chargers,14,8,2,11,1,28,22,13,20
29,2018,2,Rams,1,7,19,8,12,5,25,11,26
17,2018,2,Dolphins,28,10,20,13,16,13,12,18,15
18,2018,2,Vikings,3,12,17,15,15,8,18,9,12
19,2018,2,Patriots,2,11,10,12,8,12,8,29,11
20,2018,2,Saints,7,4,1,31,3,32,30,14,31
21,2018,2,Giants,25,27,22,17,23,11,9,23,8
22,2018,2,Jets,24,2,23,3,14,9,24,1,16
23,2018,2,Raiders,27,28,9,22,7,26,15,25,21
24,2018,2,Eagles,5,23,31,18,30,4,14,6,7
25,2018,2,Steelers,4,18,5,5,4,14,6,31,13
27,2018,2,49ers,20,25,15,24,20,19,16,17,18
28,2018,2,Seahawks,18,13,14,30,24,22,29,26,28
30,2018,2,Buccaneers,21,1,3,19,2,29,32,2,30
31,2018,2,Titans,23,21,21,16,18,24,13,20,17
32,2018,2,Redskins,12,14,13,1,6,2,4,4,2
