Visitor,Home,Week,Day,Date,Time,Bye Week
Steelers,Patriots,1,Thu,10-Sep,8:30 PM,
Packers,Bears,1,Sun,13-Sep,1:00 PM,
Chiefs,Texans,1,Sun,13-Sep,1:00 PM,
Browns,Jets,1,Sun,13-Sep,1:00 PM,
Colts,Bills,1,Sun,13-Sep,1:00 PM,
Dolphins,Redskins,1,Sun,13-Sep,1:00 PM,
Panthers,Jaguars,1,Sun,13-Sep,1:00 PM,
Seahawks,Rams,1,Sun,13-Sep,1:00 PM,
Saints,Cardinals,1,Sun,13-Sep,4:05 PM,
Lions,Chargers,1,Sun,13-Sep,4:05 PM,
Titans,Buccaneers,1,Sun,13-Sep,4:25 PM,
Bengals,Raiders,1,Sun,13-Sep,4:25 PM,
Ravens,Broncos,1,Sun,13-Sep,4:25 PM,
Giants,Cowboys,1,Sun,13-Sep,8:30 PM,
Eagles,Falcons,1,Mon,14-Sep,7:10 PM,
Vikings,49ers,1,Mon,14-Sep,10:20 PM,
Broncos,Chiefs,2,Thu,17-Sep,8:25 PM,
Texans,Panthers,2,Sun,20-Sep,1:00 PM,
49ers,Steelers,2,Sun,20-Sep,1:00 PM,
Buccaneers,Saints,2,Sun,20-Sep,1:00 PM,
Lions,Vikings,2,Sun,20-Sep,1:00 PM,
Cardinals,Bears,2,Sun,20-Sep,1:00 PM,
Patriots,Bills,2,Sun,20-Sep,1:00 PM,
Chargers,Bengals,2,Sun,20-Sep,1:00 PM,
Titans,Browns,2,Sun,20-Sep,1:00 PM,
Falcons,Giants,2,Sun,20-Sep,1:00 PM,
Rams,Redskins,2,Sun,20-Sep,1:00 PM,
Dolphins,Jaguars,2,Sun,20-Sep,4:05 PM,
Ravens,Raiders,2,Sun,20-Sep,4:05 PM,
Cowboys,Eagles,2,Sun,20-Sep,4:25 PM,
Seahawks,Packers,2,Sun,20-Sep,8:30 PM,
Jets,Colts,2,Mon,21-Sep,8:30 PM,
Redskins,Giants,3,Thu,24-Sep,8:25 PM,
Falcons,Cowboys,3,Sun,27-Sep,1:00 PM,
Colts,Titans,3,Sun,27-Sep,1:00 PM,
Raiders,Browns,3,Sun,27-Sep,1:00 PM,
Bengals,Ravens,3,Sun,27-Sep,1:00 PM,
Jaguars,Patriots,3,Sun,27-Sep,1:00 PM,
Saints,Panthers,3,Sun,27-Sep,1:00 PM,
Eagles,Jets,3,Sun,27-Sep,1:00 PM,
Buccaneers,Texans,3,Sun,27-Sep,1:00 PM,
Chargers,Vikings,3,Sun,27-Sep,1:00 PM,
Steelers,Rams,3,Sun,27-Sep,1:00 PM,
49ers,Cardinals,3,Sun,27-Sep,4:05 PM,
Bills,Dolphins,3,Sun,27-Sep,4:25 PM,
Bears,Seahawks,3,Sun,27-Sep,4:25 PM,
Broncos,Lions,3,Sun,27-Sep,8:30 PM,
Chiefs,Packers,3,Mon,28-Sep,8:30 PM,
Bye,Bye,4,NA,NA,NA,"Patriots, Titans",
Ravens,Steelers,4,Thu,1-Oct,8:25 PM,
Jets,Dolphins,4,Sun,4-Oct,9:30 AM,
Jaguars,Colts,4,Sun,4-Oct,1:00 PM,
Giants,Bills,4,Sun,4-Oct,1:00 PM,
Panthers,Buccaneers,4,Sun,4-Oct,1:00 PM,
Eagles,Redskins,4,Sun,4-Oct,1:00 PM,
Raiders,Bears,4,Sun,4-Oct,1:00 PM,
Texans,Falcons,4,Sun,4-Oct,1:00 PM,
Chiefs,Bengals,4,Sun,4-Oct,1:00 PM,
Browns,Chargers,4,Sun,4-Oct,4:05 PM,
Packers,49ers,4,Sun,4-Oct,4:25 PM,
Rams,Cardinals,4,Sun,4-Oct,4:25 PM,
Vikings,Broncos,4,Sun,4-Oct,4:25 PM,
Cowboys,Saints,4,Sun,4-Oct,8:30 PM,
Lions,Seahawks,4,Mon,5-Oct,8:30 PM,
Colts,Texans,5,Thu,8-Oct,8:25 PM,
Bears,Chiefs,5,Sun,11-Oct,1:00 PM,
Seahawks,Bengals,5,Sun,11-Oct,1:00 PM,
Redskins,Falcons,5,Sun,11-Oct,1:00 PM,
Jaguars,Buccaneers,5,Sun,11-Oct,1:00 PM,
Saints,Eagles,5,Sun,11-Oct,1:00 PM,
Browns,Ravens,5,Sun,11-Oct,1:00 PM,
Rams,Packers,5,Sun,11-Oct,1:00 PM,
Bills,Titans,5,Sun,11-Oct,1:00 PM,
Cardinals,Lions,5,Sun,11-Oct,4:05 PM,
Patriots,Cowboys,5,Sun,11-Oct,4:25 PM,
Broncos,Raiders,5,Sun,11-Oct,4:25 PM,
49ers,Giants,5,Sun,11-Oct,8:30 PM,
Steelers,Chargers,5,Mon,12-Oct,8:30 PM,
Bye,Bye,6,NA,NA,NA,"Cowboys, Raiders, Rams, Buccaneer",
Falcons,Saints,6,Thu,15-Oct,8:25 PM,
Redskins,Jets,6,Sun,18-Oct,1:00 PM,
Cardinals,Steelers,6,Sun,18-Oct,1:00 PM,
Chiefs,Vikings,6,Sun,18-Oct,1:00 PM,
Bengals,Bills,6,Sun,18-Oct,1:00 PM,
Bears,Lions,6,Sun,18-Oct,1:00 PM,
Broncos,Browns,6,Sun,18-Oct,1:00 PM,
Texans,Jaguars,6,Sun,18-Oct,1:00 PM,
Dolphins,Titans,6,Sun,18-Oct,1:00 PM,
Panthers,Seahawks,6,Sun,18-Oct,4:05 PM,
Chargers,Packers,6,Sun,18-Oct,4:25 PM,
Ravens,49ers,6,Sun,18-Oct,4:25 PM,
Patriots,Colts,6,Sun,18-Oct,8:30 PM,
Giants,Eagles,6,Mon,19-Oct,8:30 PM,
Bye,Bye,7,NA,NA,NA,"Bears, Bengals, Broncos, Packers", 
Seahawks,49ers,7,Thu,Oct 22nd,8:25 PM,
Bills,Jaguars,7,Sun,25-Oct,9:30 AM,
