VISITING,HOME,WEEK,DAY,DATE,TIME,TV,Bye
Green Bay,Seattle,1,"THU, SEP 4","THU, SEP 4",8:30 PM,NBC,
New Orleans,Atlanta,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,FOX,
Buffalo,Chicago,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,FOX,
Tennessee,Kansas City,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Minnesota,St. Louis,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,FOX,
New England,Miami,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Oakland,New York Jets,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Jacksonville,Philadelphia,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Cleveland,Pittsburgh,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Cincinnati,Baltimore,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,CBS,
Washington,Houston,1,"SUN, SEP 7","SUN, SEP 7",1:00 PM,FOX,
San Francisco,Dallas,1,"SUN, SEP 7","SUN, SEP 7",4:25 PM,FOX,
Carolina,Tampa Bay,1,"SUN, SEP 7","SUN, SEP 7",4:25 PM,FOX,
Indianapolis,Denver,1,"SUN, SEP 7","SUN, SEP 7",8:30 PM,NBC,
New York Giants,Detroit,1,"MON, SEP 8","MON, SEP 8",7:10 PM,ESPN,
San Diego,Arizona,1,"MON, SEP 8","MON, SEP 8",10:20 PM,ESPN,
Pittsburgh,Baltimore,2,"THU, SEP 11","THU, SEP 11",8:25 PM,CBS,
Miami,Buffalo,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,CBS,
Atlanta,Cincinnati,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,CBS,
New Orleans,Cleveland,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,FOX,
Dallas,Tennessee,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,FOX,
New England,Minnesota,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,CBS,
Arizona,New York Giants,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,FOX,
Jacksonville,Washington,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,CBS,
Detroit,Carolina,2,"SUN, SEP 14","SUN, SEP 14",1:00 PM,FOX,
Seattle,San Diego,2,"SUN, SEP 14","SUN, SEP 14",4:05 PM,FOX,
St. Louis,Tampa Bay,2,"SUN, SEP 14","SUN, SEP 14",4:05 PM,FOX,
Kansas City,Denver,2,"SUN, SEP 14","SUN, SEP 14",4:25 PM,CBS,
New York Jets,Green Bay,2,"SUN, SEP 14","SUN, SEP 14",4:25 PM,CBS,
Houston,Oakland,2,"SUN, SEP 14","SUN, SEP 14",4:25 PM,CBS,
Chicago,San Francisco,2,"SUN, SEP 14","SUN, SEP 14",8:30 PM,NBC,
Philadelphia,Indianapolis,2,"MON, SEP 15","MON, SEP 15",8:30 PM,ESPN,
Tampa Bay,Atlanta,3,"THU, SEP 18","THU, SEP 18",8:25 PM,CBS,
San Diego,Buffalo,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
Tennessee,Cincinnati,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
Baltimore,Cleveland,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
Green Bay,Detroit,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,FOX,
Dallas,St. Louis,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,FOX,
Oakland,New England,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
Minnesota,New Orleans,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,FOX,
Houston,New York Giants,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
Washington,Philadelphia,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,FOX,
Indianapolis,Jacksonville,3,"SUN, SEP 21","SUN, SEP 21",1:00 PM,CBS,
San Francisco,Arizona,3,"SUN, SEP 21","SUN, SEP 21",4:05 PM,FOX,
Kansas City,Miami,3,"SUN, SEP 21","SUN, SEP 21",4:25 PM,CBS,
Denver,Seattle,3,"SUN, SEP 21","SUN, SEP 21",4:25 PM,CBS,
Pittsburgh,Carolina,3,"SUN, SEP 21","SUN, SEP 21",8:30 PM,NBC,
