Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Week  1  Ranking,,,,,,,,,Week 2,,,,,,,,,Week 3,,,,,,,,,Week 4,,,,,,,,,Week 5,,,,,,,,,Week 6,,,,,,,,,Week 7,,,,,,,,,Week 8,,,,,,,,,Week 9,,,,,,,,,Week 10,,,,,,,,,Week 11,,,,,,,,,Week 12,,,,,,,,,Week 13,,,,,,,,,Week 14,,,,,,,,,Week 15,,,,,,,,,Week 16,,,,,,,,,Week 17,,,,,,,,,Week 18,,,,,,,,,Week 19,,,,,,,,,Week 20,,,,,,,,,Week 21,,,,,,,,,Week 22,,,,,,,,,Total,"Avg
Y-p-G",Rank
,Team City,"Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense","Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense",,,
1,Arizona,10,7,6,11,4,11,30,1,28,6,1,12,13,10,2,28,10,22,3,1,11,11,6,11,10,11,5,2,2,7,12,4,6,8,16,5,4,1,10,3,6,5,13,11,9,6,2,7,11,5,8,9,16,6,4,2,6,10,4,8,7,7,4,6,2,,,,9,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2,Atlanta,23,15,7,12,6,17,29,2,25,17,11,3,22,5,3,29,9,27,11,5,2,13,3,14,24,15,23,6,3,5,13,5,16,30,5,28,6,3,8,9,4,15,29,1,20,3,3,8,4,4,17,29,1,20,7,4,9,5,5,13,25,2,13,7,4,,,,13,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3,Baltimore,8,28,32,25,32,10,2,5,2,12,17,14,21,20,11,18,11,11,17,16,8,28,15,28,29,7,22,22,17,11,19,16,24,16,15,13,19,10,17,15,12,25,25,14,24,23,11,11,15,9,27,27,9,25,28,15,12,19,15,26,28,10,25,26,14,,,,26,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
4,Buffalo,18,13,18,5,16,7,21,4,11,9,4,27,3,15,5,31,2,28,8,3,24,1,11,20,31,1,30,10,7,22,6,13,14,29,3,22,12,9,27,6,24,13,24,3,16,10,8,28,7,27,16,23,4,18,17,8,27,11,25,19,20,5,11,19,8,,,,19,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5,Carolina,19,21,30,13,27,2,5,15,7,18,20,31,7,27,9,8,7,5,14,15,26,6,16,5,15,4,7,9,8,30,4,24,4,17,10,10,8,6,29,4,25,4,16,6,10,7,6,30,3,28,7,15,12,7,6,6,29,1,22,6,8,18,9,5,6,,,,6,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
6,Chicago,25,17,17,2,7,27,13,26,14,27,16,19,5,8,29,4,22,7,32,31,31,7,28,23,6,29,11,32,28,29,11,26,31,4,24,7,29,28,28,16,27,28,3,24,4,24,27,25,14,26,32,6,27,9,25,28,24,16,27,31,6,25,10,25,28,,,,31,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
7,Cincinnati,11,3,11,8,9,5,10,3,3,8,6,15,4,7,4,7,13,6,6,7,6,8,2,7,20,5,13,5,4,4,8,2,9,27,6,19,5,4,5,10,2,10,22,18,21,5,4,6,10,3,9,20,18,21,5,3,5,12,3,11,21,16,22,3,3,,,,12,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
8,Cleveland,27,30,16,14,20,28,7,29,16,28,23,29,16,30,21,5,32,19,21,22,20,25,25,26,14,32,28,26,20,9,25,20,21,22,31,32,25,13,6,28,8,22,18,31,30,20,12,9,25,10,23,18,32,30,27,25,8,28,12,23,16,32,28,24,23,,,,23,15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
9,Dallas,6,11,2,22,3,18,14,18,9,5,15,5,20,6,28,9,1,3,12,12,9,16,8,17,13,10,8,11,15,8,16,11,20,19,9,14,13,22,16,19,17,21,19,9,14,18,25,17,18,18,22,17,10,12,16,27,20,7,9,24,13,9,8,20,27,,,,24,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
