nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,Arizona,3,1,11,11,6,11,10,11,5
2,Atlanta,11,5,2,13,3,14,24,15,23
3,Baltimore,17,16,8,28,15,28,29,7,22
4,Buffalo,8,3,24,1,11,20,31,1,30
5,Carolina,14,15,26,6,16,5,15,4,7
6,Chicago,32,31,31,7,28,23,6,29,11
7,Cincinnati,6,7,6,8,2,7,20,5,13
8,Cleveland,21,22,20,25,25,26,14,32,28
9,Dallas,12,12,9,16,8,17,13,10,8
10,Denver,5,14,18,31,30,3,1,6,1
11,Detroit,24,23,12,32,27,31,26,20,27
12,Green Bay,2,4,16,9,9,1,11,27,16
13,Houston,25,25,13,12,14,30,12,19,12
14,Indianapolis,18,24,17,19,20,22,21,21,20
15,Jacksonville,31,30,22,23,24,32,25,12,21
16,Kansas City,10,8,25,14,22,19,28,14,24
17,Miami,15,27,10,27,19,21,17,31,26
18,Minnesota,16,20,32,3,29,2,16,24,18
19,New England,1,2,1,24,1,10,18,23,19
20,New Orleans,30,19,5,26,13,27,22,26,29
21,NY Giants,26,9,14,21,17,16,32,2,31
22,NY Jets,9,17,19,18,21,4,4,18,4
23,Oakland,28,10,7,17,7,15,30,13,32
24,Philadelphia,22,21,23,30,31,12,23,8,17
25,Pittsburgh,4,11,3,22,5,9,19,9,14
26,San Diego,13,18,4,15,4,29,3,28,10
27,San Francisco,20,32,30,2,23,25,27,16,25
28,Seattle,7,13,27,5,18,8,2,17,3
29,St Louis,19,28,29,29,32,6,8,25,9
30,Tampa Bay,29,29,28,20,26,24,9,30,15
31,Tennessee,27,6,15,10,10,13,5,22,6
32,Washington,23,26,21,4,12,18,7,3,2
