Player,Team,Pos,Injury,Status
Budda Baker,1,S,Hamstring,IR
L.J. Collier,1,DE,Biceps,IR
James Conner,1,RB,Knee,IR
Pat Elflein,1,C,Undisclosed,IR
Rashad Fenton,1,CB,Undisclosed,IR
Jon Gaines,1,C,Knee,IR
Antonio Hamilton,1,CB,Groin,Questionable
Matt Hembrough,1,C,Back,IR
Elijah Higgins,1,TE,Illness,Questionable
Jesse Luketa,1,LB,Shoulder,Questionable
Marlon Mack,1,RB,Achilles,IR
Kyler McMichael,1,CB,Undisclosed,IR
Kyler Murray,1,QB,Knee - ACL,PUP-R
Myjai Sanders,1,LB,Thumb,IR-R
Jalen Thompson,1,S,Hamstring,Questionable
Carlos Watkins,1,DT,Biceps,IR
Garrett Williams,1,CB,Knee - ACL,NFI-R
Josh Ali,2,WR,Ankle,IR
Troy Andersen,2,LB,Shoulder,IR
Jared Bernhardt,2,WR,Groin,Reserve-Ret
Ikenna Enechukwu,2,LB,Undisclosed,IR
Feleipe Franks,2,TE,Undisclosed,IR
Eddie Goldman,2,DT,Undisclosed,Reserve-Ex
Ethan Greenidge,2,OT,Undisclosed,IR
Matt Hennessy,2,OG,Knee,IR
Adetokunbo Ogundeji,2,LB,Foot,IR
Avery Williams,2,RB,Knee - ACL,IR
Tyus Bowser,3,LB,Knee,NFI-R
J.K. Dobbins,3,RB,Achilles,IR
Malik Hamm,3,LB,Ankle,IR
Nick Moore,3,C,Achilles,NFI-R
Trayvon Mullen,3,CB,Toe,NFI-R
David Ojabo,3,LB,Ankle,IR
Odafe Oweh,3,LB,Ankle,Questionable
Kevon Seymour,3,CB,Ankle,Questionable
Brent Urban,3,DE,Neck,Questionable
Andrew Vorhees,3,OG,Knee - ACL,NFI-R
Tylan Wallace,3,WR,Hamstring,IR
Ar'Darius Washington,3,CB,Chest,IR
Damarion Williams,3,CB,Ankle,IR
Marcus Williams,3,S,Hamstring,Questionable
Daryl Worley,3,S,Shoulder,IR
Josh Allen,4,QB,Shoulder,Questionable
Zach Davidson,4,TE,Undisclosed,IR
Tommy Doyle,4,OT,Knee,IR
Damien Harris,4,RB,Neck,Questionable
Nyheim Hines,4,RB,Knee,NFI-R
Dane Jackson,4,CB,Foot,Questionable
DaQuan Jones,4,DT,Pectoral,IR
Dalton Kincaid,4,TE,Concussion,Questionable
Matt Milano,4,LB,Leg,IR
Brandon Shell,4,OT,Undisclosed,Reserve-Ret
Justin Shorter,4,WR,Hamstring,IR
Tre'Davious White,4,CB,Achilles,IR
Henry Anderson,5,DE,Foot,IR
Vonn Bell,5,S,Quadriceps,Questionable
Brady Christensen,5,OG,Biceps,IR
Austin Corbett,5,OG,Knee - ACL,PUP-R
Yetur Gross-Matos,5,LB,Hamstring,Questionable
Marquis Haynes,5,LB,Back,IR
Jaycee Horn,5,CB,Hamstring,IR
Frankie Luvu,5,LB,Hip,Questionable
Giovanni Ricci,5,TE,Shoulder,Questionable
Miles Sanders,5,RB,Shoulder,Questionable
Laviska Shenault,5,WR,Ankle,Questionable
Ian Thomas,5,TE,Calf,IR
Shaq Thompson,5,LB,Lower Leg,IR
Calvin Throckmorton,5,OG,Calf,Questionable
Xavier Woods,5,S,Hamstring,Questionable
Chandler Zavala,5,OG,Neck,Questionable
Josh Blackwell,6,CB,Hamstring,IR
Nate Davis,6,OG,Ankle,Questionable
Justin Fields,6,QB,Thumb,Questionable
Khalil Herbert,6,RB,Ankle,IR
Travis Homer,6,RB,Hamstring,Questionable
Eddie Jackson,6,S,Foot,Questionable
Roschon Johnson,6,RB,Concussion,Questionable
Braxton Jones,6,OT,Neck,IR
Khalid Kareem,6,DE,Hip,IR
Doug Kramer,6,C,Thumb,IR-R
Joe Reed,6,WR,Undisclosed,IR
Terell Smith,6,CB,Illness,Questionable
Equanimeous St. Brown,6,WR,Hamstring,IR
Orlando Brown,7,OT,Groin,Questionable
Devin Cochran,7,OT,Knee,IR
Akeem Davis-Gaither,7,LB,Knee,Questionable
Devin Harper,7,LB,Hamstring,Questionable
Charlie Jones,7,WR,Thumb,IR
Devonnsha Maxwell,7,DT,Knee,IR
Joel Bitonio,8,OG,Knee,Questionable
Nick Chubb,8,RB,Knee - ACL + MCL,IR
Jack Conklin,8,OT,Knee - ACL + MCL,IR
Dawson Deaton,8,OG,Knee - ACL,IR
Drew Forbes,8,OG,Back,NFI-R
Thomas Graham,8,CB,Ankle,IR
Jakeem Grant,8,WR,Kneecap,IR
Jordan Kunaszyk,8,LB,Knee - MCL,IR
Jacob Phillips,8,LB,Pectoral,IR
Cedric Tillman,8,WR,Hip,Questionable
Anthony Walker,8,LB,Concussion,Questionable
Deshaun Watson,8,QB,Shoulder,Questionable
Michael Woods,8,WR,Achilles,NFI-R
Josh Ball,9,OT,Hip,IR
Trevon Diggs,9,CB,Knee - ACL,IR
David Durden,9,WR,Knee - ACL,IR
Chuma Edoga,9,OT,Illness,Questionable
C.J. Goodwin,9,CB,Pectoral,Out
Peyton Hendershot,9,TE,Ankle,IR
DeMarvion Overshown,9,LB,Knee - ACL,IR
John Stephens,9,TE,Knee - ACL,IR
Juanyeh Thomas,9,S,Hamstring,Doubtful
Leighton Vander Esch,9,LB,Neck,Out
Matt Waletzko,9,OT,Shoulder,IR
Nahshon Wright,9,CB,Ankle,IR-R
Baron Browning,10,LB,Knee,PUP-R
Greg Dulcich,10,TE,Hamstring,Questionable
Jonas Griffith,10,LB,Knee - ACL,IR
D.J. Jones,10,DT,Knee,Questionable
Alex Palczewski,10,OT,Hand,IR
Tim Patrick,10,WR,Achilles,IR
Samaje Perine,10,RB,Leg,Questionable
Caden Sterns,10,S,Knee,IR
Eyioma Uwazurike,10,DT,Suspension,Reserve-Sus
Jalen Virgil,10,WR,Knee - Meniscus,IR
K'Waun Williams,10,CB,Ankle,IR
Brian Branch,11,S,Ankle,Questionable
Jason Cabinda,11,FB,Knee,IR
C.J. Gardner-Johnson,11,S,Pectoral,IR
Jahmyr Gibbs,11,RB,Hamstring,Questionable
Hendon Hooker,11,QB,Knee - ACL,NFI-R
James Houston,11,LB,Ankle,IR
