Player,Team,Pos,Injury,Status
De'Von Achane,MIA,RB,Knee,IR
Otaro Alaka,FA,LB,Undisclosed,Questionable
Christian Albright,FA,LB,Undisclosed,Questionable
Jaire Alexander,GB,CB,Back,Questionable
Mackensie Alexander,FA,CB,Undisclosed,Questionable
Josh Ali,ATL,WR,Ankle,IR
Christopher Allen,FA,LB,Groin,Questionable
Torrence Allen,FA,WR,Undisclosed,Questionable
Jaquan Amos,FA,S,Undisclosed,Questionable
Bradlee Anae,NYJ,DE,Undisclosed,IR
Troy Andersen,ATL,LB,Shoulder,IR
Darius Anderson,FA,RB,Knee,Questionable
Henry Anderson,CAR,DE,Foot,IR
Zayne Anderson,GB,S,Hamstring,Questionable
Ezekiel Ansah,FA,DE,Biceps,Questionable
Troy Apke,WAS,CB,Shoulder,IR
Terron Armstead,MIA,OT,Knee,IR
Jaytlin Askew,FA,CB,Quadriceps,Questionable
C. J. Avery,FA,LB,Undisclosed,Questionable
Genard Avery,IND,DE,Knee - Meniscus,IR
Alex Bachman,FA,WR,Oblique,Questionable
David Bada,WAS,DT,Triceps,IR
David Bakhtiari,GB,OT,Knee,IR
Daylen Baldwin,FA,WR,Hamstring,Questionable
Josh Ball,DAL,OT,Hip,IR
Saquon Barkley,NYG,RB,Elbow,Questionable
Krys Barnes,ARI,LB,Hamstring,Questionable
Cody Barton,WAS,LB,Ankle,Questionable
Evan Baylis,FA,TE,Ankle,Questionable
Robert Beal,SF,DE,Hamstring,IR
Abraham Beauplan,FA,LB,Undisclosed,Questionable
Willie Beavers,FA,OG,Undisclosed,Questionable
Nate Becker,FA,TE,Undisclosed,Questionable
Vonn Bell,CAR,S,Quadriceps,Questionable
B.J. Bello,FA,LB,Ankle,Questionable
Eno Benjamin,NO,RB,Achilles,IR
Jakorian Bennett,LV,CB,Shoulder,Questionable
Stetson Bennett,LAR,QB,Illness,NFI-R
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret
Rashod Berry,FA,DE,Suspension,Reserve-Sus
Josh Blackwell,CHI,CB,Hamstring,IR
Marquise Blair,FA,S,Undisclosed,Questionable
Reed Blankenship,PHI,S,Ribs,Questionable
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus
C.J. Board,FA,WR,Ribs,Questionable
Isaiah Bolden,NE,CB,Concussion,IR
Curtis Bolton,LV,LB,Knee,IR
Nick Bolton,KC,LB,Wrist,Out
