"Team  Abbrev","Team
 ID",Name,Location,State,
ARI,31,Cardinals,Arizona,AZ,TRUE
ATL,26,Falcons,Atlanta,GA,TRUE
BAL,8,Ravens,Baltimore,MD,TRUE
BUF,3,Bills,Buffalo,NY,TRUE
CAR,25,Panthers,Carolina,NC,FALSE
CHI,23,Bears,Chicago,IL,FALSE
CIN,5,Bengals,Cincinnati,OH,FALSE
CLE,7,Browns,Cleveland,OH,FALSE
DAL,19,Cowboys,Dallas,TX,FALSE
DEN,13,Broncos,Denver,CO,FALSE
DET,22,Lions,Detroit,MI,FALSE
GB,24,Packers,Green Bay,WI,FALSE
HOU,10,Texans,Houston,TX,FALSE
IND,12,Colts,Indianapolis,IN,FALSE
JAX,11,Jaguars,Jacksonville,FL,FALSE
KC,16,Chiefs,Kansas City,MO,FALSE
LV,15,Raiders,Las Vegas,CA,FALSE
LAC,14,Chargers,Los Angeles,CA,FALSE
LAR,32,Rams,Los Angeles,CA,FALSE
MIA,1,Dolphins,Miami,FL,FALSE
MIN,21,Vikings,Minnesota,MN,FALSE
NE,4,Patriots,New England,MA,FALSE
NO,27,Saints,New Orleans,LA,FALSE
NYG,2,Jets,New York,NJ,FALSE
NYJ,20,Giants,New York,NJ,FALSE
PHI,17,Eagles,Philadelphia,PA,FALSE
PIT,6,Steelers,Pittsburgh,PA,FALSE
SF,30,49ers,San Francisco,CA,FALSE
SEA,29,Seahawks,Seattle,WA,FALSE
TB,28,Buccaneers,Tampa Bay,FL,FALSE
TEN,9,Titans,Tennessee,TN,FALSE
WAS,18,Commanders,Washington,MD,FALSE
FA,,,,,
