Player,Team,Pos,Injury,Status
Antonio Hamilton,ARI,CB,Groin,Questionable
Budda Baker,ARI,S,Hamstring,IR
Carlos Watkins,ARI,DT,Biceps,IR
Carter O'Donnell,ARI,OT,Coach's Decision,Inactive
Elijah Higgins,ARI,TE,Illness,Inactive
Garrett Williams,ARI,CB,Knee - ACL,NFI-R
Jalen Thompson,ARI,S,Hamstring,Inactive
James Conner,ARI,RB,Knee,IR
Jesse Luketa,ARI,LB,Shoulder,Inactive
Jon Gaines,ARI,C,Knee,IR
Keith Ismael,ARI,C,Coach's Decision,Inactive
Kyler McMichael,ARI,CB,Undisclosed,IR
Kyler Murray,ARI,QB,Knee - ACL,PUP-R
L.J. Collier,ARI,DE,Biceps,IR
Marlon Mack,ARI,RB,Achilles,IR
Matt Hembrough,ARI,C,Back,IR
Myjai Sanders,ARI,LB,Thumb,IR-R
Pat Elflein,ARI,C,Undisclosed,IR
Rashad Fenton,ARI,CB,Undisclosed,IR
Tony Jones,ARI,RB,Coach's Decision,Inactive
Adetokunbo Ogundeji,ATL,LB,Foot,IR
Avery Williams,ATL,RB,Knee - ACL,IR
Clark Phillips,ATL,CB,Coach's Decision,Inactive
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex
Eli Ankou,ATL,DT,Coach's Decision,Inactive
Ethan Greenidge,ATL,OT,Undisclosed,IR
Feleipe Franks,ATL,TE,Undisclosed,IR
Ikenna Enechukwu,ATL,LB,Undisclosed,IR
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret
Joe Gaziano,ATL,DE,Coach's Decision,Inactive
John FitzPatrick,ATL,TE,Coach's Decision,Inactive
Josh Ali,ATL,WR,Ankle,IR
Kyle Hinton,ATL,OG,Coach's Decision,Inactive
Logan Woodside,ATL,QB,Coach's Decision,Inactive
Matt Hennessy,ATL,OG,Knee,IR
Ta'Quon Graham,ATL,DE,Coach's Decision,Inactive
Troy Andersen,ATL,LB,Shoulder,IR
Andrew Vorhees,BAL,OG,Knee - ACL,NFI-R
Ar'Darius Washington,BAL,CB,Chest,IR
Brent Urban,BAL,DE,Neck,Questionable
Damarion Williams,BAL,CB,Ankle,IR
Daniel Faalele,BAL,OT,Coach's Decision,Inactive
Daryl Worley,BAL,S,Shoulder,IR
David Ojabo,BAL,LB,Ankle,IR
J.K. Dobbins,BAL,RB,Achilles,IR
Jalyn Armour-Davis,BAL,CB,Coach's Decision,Inactive
Josh Johnson,BAL,QB,Coach's Decision,Inactive
Kevon Seymour,BAL,CB,Ankle,Questionable
Malaesala Aumavae-Laulu,BAL,OG,Coach's Decision,Inactive
Malik Hamm,BAL,LB,Ankle,IR
Marcus Williams,BAL,S,Hamstring,Questionable
Nick Moore,BAL,C,Achilles,NFI-R
Odafe Oweh,BAL,LB,Ankle,Inactive
Trayvon Mullen,BAL,CB,Toe,NFI-R
