Player,Team,Pos,Injury,Status
Budda Baker,ARI,S,Hamstring,IR
L.J. Collier,ARI,DE,Biceps,IR
James Conner,ARI,RB,Knee,IR
Pat Elflein,ARI,C,Undisclosed,IR
Rashad Fenton,ARI,CB,Undisclosed,IR
Jon Gaines,ARI,C,Knee,IR
Antonio Hamilton,ARI,CB,Groin,Questionable
Matt Hembrough,ARI,C,Back,IR
Elijah Higgins,ARI,TE,Illness,Questionable
Jesse Luketa,ARI,LB,Shoulder,Questionable
Marlon Mack,ARI,RB,Achilles,IR
Kyler McMichael,ARI,CB,Undisclosed,IR
Kyler Murray,ARI,QB,Knee - ACL,PUP-R
Myjai Sanders,ARI,LB,Thumb,IR-R
Jalen Thompson,ARI,S,Hamstring,Questionable
Carlos Watkins,ARI,DT,Biceps,IR
Garrett Williams,ARI,CB,Knee - ACL,NFI-R
Josh Ali,ATL,WR,Ankle,IR
Troy Andersen,ATL,LB,Shoulder,IR
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret
Ikenna Enechukwu,ATL,LB,Undisclosed,IR
Feleipe Franks,ATL,TE,Undisclosed,IR
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex
Ethan Greenidge,ATL,OT,Undisclosed,IR
Matt Hennessy,ATL,OG,Knee,IR
Adetokunbo Ogundeji,ATL,LB,Foot,IR
Avery Williams,ATL,RB,Knee - ACL,IR
Tyus Bowser,BAL,LB,Knee,NFI-R
J.K. Dobbins,BAL,RB,Achilles,IR
Malik Hamm,BAL,LB,Ankle,IR
Nick Moore,BAL,C,Achilles,NFI-R
Trayvon Mullen,BAL,CB,Toe,NFI-R
David Ojabo,BAL,LB,Ankle,IR
Odafe Oweh,BAL,LB,Ankle,Questionable
Kevon Seymour,BAL,CB,Ankle,Questionable
Brent Urban,BAL,DE,Neck,Questionable
Andrew Vorhees,BAL,OG,Knee - ACL,NFI-R
Tylan Wallace,BAL,WR,Hamstring,IR
Ar'Darius Washington,BAL,CB,Chest,IR
Damarion Williams,BAL,CB,Ankle,IR
Marcus Williams,BAL,S,Hamstring,Questionable
Daryl Worley,BAL,S,Shoulder,IR
Josh Allen,BUF,QB,Shoulder,Questionable
Zach Davidson,BUF,TE,Undisclosed,IR
Tommy Doyle,BUF,OT,Knee,IR
Damien Harris,BUF,RB,Neck,Questionable
Nyheim Hines,BUF,RB,Knee,NFI-R
Dane Jackson,BUF,CB,Foot,Questionable
DaQuan Jones,BUF,DT,Pectoral,IR
Dalton Kincaid,BUF,TE,Concussion,Questionable
Matt Milano,BUF,LB,Leg,IR
Brandon Shell,BUF,OT,Undisclosed,Reserve-Ret
Justin Shorter,BUF,WR,Hamstring,IR
Tre'Davious White,BUF,CB,Achilles,IR
Henry Anderson,CAR,DE,Foot,IR
Vonn Bell,CAR,S,Quadriceps,Questionable
Brady Christensen,CAR,OG,Biceps,IR
Austin Corbett,CAR,OG,Knee - ACL,PUP-R
Yetur Gross-Matos,CAR,LB,Hamstring,Questionable
Marquis Haynes,CAR,LB,Back,IR
Jaycee Horn,CAR,CB,Hamstring,IR
Frankie Luvu,CAR,LB,Hip,Questionable
Giovanni Ricci,CAR,TE,Shoulder,Questionable
Miles Sanders,CAR,RB,Shoulder,Questionable
Laviska Shenault,CAR,WR,Ankle,Questionable
Ian Thomas,CAR,TE,Calf,IR
Shaq Thompson,CAR,LB,Lower Leg,IR
Calvin Throckmorton,CAR,OG,Calf,Questionable
Xavier Woods,CAR,S,Hamstring,Questionable
Chandler Zavala,CAR,OG,Neck,Questionable
Josh Blackwell,CHI,CB,Hamstring,IR
Nate Davis,CHI,OG,Ankle,Questionable
Justin Fields,CHI,QB,Thumb,Questionable
Khalil Herbert,CHI,RB,Ankle,IR
Travis Homer,CHI,RB,Hamstring,Questionable
Eddie Jackson,CHI,S,Foot,Questionable
Roschon Johnson,CHI,RB,Concussion,Questionable
Braxton Jones,CHI,OT,Neck,IR
