nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,16,Cardinals,2,2,3,6,1,7,16,4,7
2,2015,16,Falcons,16,19,7,17,9,14,20,14,16
3,2015,16,Ravens,28,22,8,26,14,25,15,12,14
4,2015,16,Bills,18,13,27,1,13,17,23,15,21
5,2015,16,Panthers,1,1,23,3,7,10,5,6,3
6,2015,16,Bears,24,23,21,14,17,21,3,26,12
7,2015,16,Bengals,5,4,11,15,11,1,18,8,10
8,2015,16,Browns,32,29,14,29,25,31,22,31,26
9,2015,16,Cowboys,29,30,29,10,27,15,6,18,9
10,2015,16,Broncos,8,18,17,18,22,4,1,1,1
11,2015,16,Lions,26,20,9,31,19,28,12,19,18
12,2015,16,Packers,6,10,26,9,20,5,11,22,17
13,2015,16,Texans,13,27,18,16,18,13,2,16,4
14,2015,16,Colts,21,24,19,30,26,29,29,25,28
15,2015,16,Jaguars,20,12,12,19,16,30,25,13,20
16,2015,16,Chiefs,9,8,28,8,24,3,17,7,8
17,2015,16,Dolphins,25,26,24,21,29,26,27,29,30
18,2015,16,Vikings,11,21,31,5,28,9,7,20,13
19,2015,16,Patriots,3,3,2,28,4,6,8,10,6
20,2015,16,Saints,23,9,1,27,3,32,30,32,31
21,2015,16,Giants,15,6,6,25,12,23,32,21,32
22,2015,16,Jets,10,11,10,11,10,8,13,2,5
23,2015,16,Raiders,14,14,13,23,23,20,28,11,22
24,2015,16,Eagles,19,15,16,13,15,27,24,30,29
25,2015,16,Steelers,4,5,5,12,2,11,31,5,24
26,2015,16,Chargers,27,25,4,32,6,19,9,24,19
27,2015,16,49ers,30,32,30,24,32,18,26,27,27
28,2015,16,Seahawks,7,7,20,2,5,2,4,3,2
29,2015,16,Rams,22,31,32,7,31,12,21,23,23
30,2015,16,Buccaneers,17,17,22,4,8,22,19,9,11
31,2015,16,Titans,31,28,25,22,30,24,19,17,15
32,2015,16,Redskins,12,16,15,20,21,16,14,28,25
