nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,19,Cardinals,2,2,2,12,1,7,9,6,6
2,2015,19,Falcons,15,21,6,19,5,14,18,14,15
3,2015,19,Ravens,26,24,8,26,14,24,10,12,8
4,2015,19,Bills,14,12,28,1,13,15,20,16,20
5,2015,19,Panthers,1,1,24,2,12,6,15,4,7
6,2015,19,Bears,25,22,23,11,20,20,4,23,14
7,2015,19,Bengals,9,5,16,13,17,2,19,8,13
8,2015,19,Browns,32,30,19,22,26,29,22,30,28
9,2015,19,Cowboys,30,31,27,9,23,16,5,22,16
10,2015,19,Broncos,5,18,14,17,16,5,2,2,2
11,2015,19,Lions,20,17,9,32,19,23,14,20,18
12,2015,19,Packers,7,15,25,8,22,12,12,19,17
13,2015,19,Texans,13,26,21,16,21,11,3,11,3
14,2015,19,Colts,17,23,22,29,28,25,25,25,27
15,2015,19,Jaguars,27,14,11,27,18,31,30,15,24
16,2015,19,Chiefs,6,9,30,6,25,1,6,7,5
17,2015,19,Dolphins,21,27,18,23,27,18,21,28,25
18,2015,19,Vikings,10,19,31,5,29,4,7,17,9
19,2015,19,Patriots,3,3,3,31,6,9,17,10,11
20,2015,19,Saints,19,6,1,24,2,32,31,31,31
21,2015,19,Giants,23,4,7,18,7,30,32,24,32
22,2015,19,Jets,12,10,13,10,10,8,11,1,4
23,2015,19,Raiders,16,16,15,28,24,22,26,13,22
24,2015,19,Eagles,18,13,12,15,11,28,29,32,30
25,2015,19,Steelers,8,7,5,14,3,10,28,5,19
26,2015,19,Chargers,28,25,4,30,8,21,13,27,21
27,2015,19,49ers,29,32,29,21,31,17,27,29,29
28,2015,19,Seahawks,4,8,20,3,9,3,1,3,1
29,2015,19,Rams,22,29,32,7,32,13,23,21,23
30,2015,19,Buccaneers,24,29,17,4,4,26,16,9,10
31,2015,19,Titans,31,28,26,25,30,27,8,18,12
32,2015,19,Redskins,11,11,10,20,15,19,24,26,26
