Week  7  Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,
,,,,,,,,,,
No.,,Week 7,,,,,,,,
,Team City,"Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense"
1,Arizona,4,2,6,10,4,8,7,7,4
2,Atlanta,7,4,9,5,5,13,25,2,13
3,Baltimore,28,15,12,19,15,26,28,10,25
4,Buffalo,17,8,27,11,25,19,20,5,11
5,Carolina,6,6,29,1,22,6,8,18,9
6,Chicago,25,28,24,16,27,31,6,25,10
7,Cincinnati,5,3,5,12,3,11,21,16,22
8,Cleveland,27,25,8,28,12,23,16,32,28
9,Dallas,16,27,20,7,9,24,13,9,8
10,Denver,3,14,18,30,29,2,1,4,1
11,Detroit,24,29,7,32,20,29,24,24,27
12,Green Bay,2,5,22,8,11,1,12,22,14
13,Houston,26,20,4,27,7,28,15,27,23
14,Indianapolis,11,24,10,26,17,20,29,23,32
15,Jacksonville,32,23,15,24,24,30,22,12,19
16,Kansas City,29,21,19,18,21,18,23,11,20
17,Miami,21,9,13,14,10,15,14,30,21
18,Minnesota,15,26,30,6,30,3,11,13,7
19,New England,1,1,2,31,2,12,18,19,15
20,New Orleans,20,16,3,22,6,25,26,28,30
21,NY Giants,14,11,14,25,23,14,30,21,29
22,NY Jets,8,7,16,3,8,4,4,1,2
23,Oakland,23,10,11,23,18,21,32,3,26
24,Philadelphia,9,17,21,15,16,9,19,17,17
25,Pittsburgh,10,18,26,9,19,7,27,8,24
26,San Diego,13,12,1,29,1,27,9,31,18
27,San Francisco,19,32,31,17,32,22,31,20,31
28,Seattle,12,19,28,2,14,5,3,6,3
29,St Louis,18,31,32,13,31,10,17,14,12
30,Tampa Bay,31,13,23,4,13,32,5,15,6
31,Tennessee,30,30,25,20,28,16,2,29,5
32,Washington,22,22,17,21,26,17,10,26,16
,,,,,,,,,,
Weekly Team Stats From:,,,,,,,,,,
