nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,11,Cardinals,3,2,4,8,1,11,7,4,3
2,2015,11,Falcons,8,8,5,15,5,13,19,3,14
3,2015,11,Ravens,29,16,9,23,10,25,26,10,20
4,2015,11,Bills,12,6,29,2,23,15,18,9,17
5,2015,11,Panthers,2,3,28,3,16,6,11,14,10
6,2015,11,Bears,16,20,21,14,17,24,4,26,8
7,2015,11,Bengals,4,5,11,13,7,1,13,13,11
8,2015,11,Browns,32,28,12,31,26,29,25,32,29
9,2015,11,Cowboys,27,31,26,9,25,18,14,15,16
10,2015,11,Broncos,7,18,18,29,28,3,1,7,1
11,2015,11,Lions,30,29,8,32,27,31,23,28,25
12,2015,11,Packers,6,11,22,16,21,12,21,24,23
13,2015,11,Texans,22,26,7,28,13,17,6,25,12
14,2015,11,Colts,17,19,15,22,15,22,28,22,28
15,2015,11,Jaguars,26,23,16,25,22,30,24,6,19
16,2015,11,Chiefs,15,10,25,11,24,14,15,8,13
17,2015,11,Dolphins,18,25,17,19,20,21,20,31,26
18,2015,11,Vikings,5,22,31,1,29,2,8,16,9
19,2015,11,Patriots,1,1,2,27,2,4,22,1,15
20,2015,11,Saints,24,7,3,21,3,32,30,29,32
21,2015,11,Giants,10,4,10,26,12,23,32,18,31
22,2015,11,Jets,13,12,20,12,11,10,9,2,4
23,2015,11,Raiders,14,9,6,20,8,27,31,23,30
24,2015,11,Eagles,19,14,14,10,9,9,16,19,18
25,2015,11,Steelers,9,13,13,7,6,5,27,5,22
26,2015,11,Chargers,28,15,1,30,4,28,17,27,24
27,2015,11,49ers,31,32,30,18,32,20,29,20,27
28,2015,11,Seahawks,11,21,27,4,18,7,2,11,2
29,2015,11,Rams,21,30,32,5,31,8,5,17,6
30,2015,11,Buccaneers,23,24,23,6,14,26,10,12,7
31,2015,11,Titans,25,27,24,24,30,19,3,21,5
32,2015,11,Redskins,20,17,19,17,19,16,12,30,21
