week,awayteam,hometeam,network
1,Patriots,Seahawks,NBC
1,49ers vs. Rams,Netflix
1,Bears,Panthers,FOX
1,Buccaneers,Bengals,FOX 
1,Ravens,Colts,CBS
1,Bills,Texans,CBS
1,Saints,Lions,FOX
1,Jets,Titans,TBD 
1,Falcons,Steelers,FOX
1,Browns,Jaguars,CBS
1,Cardinals,Chargers,CBS
1,Packers,Vikings,CBS
1,Dolphins,Raiders,FOX
1,Commanders,Eagles,FOX
1,Cowboys,Giants,NBC
1,Broncos,Chiefs,ESPN
2,Lions,Bills,Amazon
2,Vikings,Bears,FOX
2,Eagles,Titans,FOX
2,Packers,Jets,FOX
2,Panthers,Falcons,FOX
2,Saints,Ravens,CBS
2,Bengals,Texans,CBS
2,Browns,Buccaneers,CBS
2,Steelers,Patriots,CBS
2,Raiders,Chargers,CBS
2,Jaguars,Broncos,CBS
2,Washington,Dallas,FOX
2,Seattle,Arizona,FOX
2,Miami,49ers,FOX
2,Colts,Chiefs,NBC
2,Giants,Rams,ESPN
3,Falcons,Packers,Amazon 
3,Chiefs,Dolphins,CBS
3,Texans,Colts,CBS
3,Titans,Giants,CBS
3,Patriots,Jaguars,CBS
3,Bengals,Steelers,CBS
3,Panthers,Browns,FOX
3,Jets,Lions,FOX
3,Seahawks,Commanders,FOX
3,Chargers,Bills,FOX
3,Vikings,Buccaneers,FOX
3,Cardinals,49ers,FOX
3,Ravens vs. Cowboys,CBS
3,Raiders,Saints,CBS
3,Rams,Broncos,NBC 
3,Eagles,Bears,ESPN
4,Steelers,Browns,Amazon
4,Colts vs. Commanders,NFL
4,Titans,Ravens,CBS
4,Cardinals,Giants,CBS
4,Jaguars,Bengals,CBS
4,Patriots,Bills,CBS
4,Cowboys,Texans,FOX
4,Rams,Eagles,FOX
4,Packers,Buccaneers,FOX
4,Jets,Bears,FOX
4,Dolphins,Vikings,FOX
4,Broncos,49ers,CBS
4,Chargers,Seahawks,CBS
4,Chiefs,Raiders,CBS
4,Lions,Panthers,NBC 
4,Falcons,Saints,ESPN
5,Buccaneers,Cowboys,Amazon 
5,Eagles vs. Jaguars,NFL
5,Raiders,Patriots,CBS
5,Texans,Titans,CBS
