NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2026,1,Cardinals,31,22,7,31,17,29,24,25,26
2,2026,1,Falcons,26,23,18,7,14,19,11,24,15
3,2026,1,Ravens,4,10,27,2,15,18,30,9,24
4,2026,1,Bills,3,3,11,1,3,12,2,28,8
5,2026,1,Panthers,25,27,25,20,27,16,15,21,16
6,2026,1,Bears,15,9,8,3,4,23,25,26,29
7,2026,1,Bengals,14,12,5,29,16,30,26,32,31
8,2026,1,Browns,29,31,31,27,30,13,3,17,4
9,2026,1,Cowboys,16,5,2,8,2,32,32,23,30
10,2026,1,Broncos,10,15,13,21,12,4,7,4,3
11,2026,1,Lions,8,4,3,13,5,22,19,13,17
12,2026,1,Packers,9,14,15,15,11,11,14,16,14
13,2026,1,Texans,5,13,16,22,19,2,5,2,1
14,2026,1,Colts,22,7,9,17,9,21,31,7,23
15,2026,1,Jaguars,17,6,12,18,10,9,20,1,11
16,2026,1,Chiefs,7,20,17,24,20,5,10,8,10
26,2026,1,Chargers,6,24,19,14,18,8,6,10,6
29,2026,1,Rams,1,1,1,9,1,10,22,11,19
23,2026,1,Raiders,27,32,28,32,32,25,12,18,13
17,2026,1,Dolphins,32,25,26,12,25,24,18,27,22
18,2026,1,Vikings,19,26,29,23,28,7,1,22,2
19,2026,1,Patriots,13,8,6,6,6,3,8,6,5
20,2026,1,Saints,24,28,14,28,23,14,4,19,9
21,2026,1,Giants,23,16,21,5,13,26,16,31,27
22,2026,1,Jets,30,29,32,11,29,31,17,29,25
24,2026,1,Eagles,11,19,23,16,24,6,9,20,12
25,2026,1,Steelers,20,17,22,26,26,17,29,15,28
27,2026,1,49ers,12,11,4,25,8,15,21,12,18
28,2026,1,Seahawks,2,2,10,10,7,1,13,3,7
30,2026,1,Buccaneers,18,18,20,19,21,20,27,5,20
31,2026,1,Titans,28,30,30,30,31,28,23,14,21
32,2026,1,Commanders,21,21,24,4,22,27,28,30,32
