NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2026,2,Cardinals,29,24,28,24,26,14,14,22,14
2,2026,2,Falcons,26,32,32,7,29,23,23,1,12
3,2026,2,Ravens,1,7,6,4,4,16,12,5,6
4,2026,2,Bills,3,1,4,5,2,28,30,12,28
5,2026,2,Panthers,27,2,1,20,4,28,13,32,30
6,2026,2,Bears,7,4,15,1,3,15,24,23,26
7,2026,2,Bengals,13,10,14,21,16,8,27,3,16
8,2026,2,Browns,31,24,16,31,28,22,16,26,20
9,2026,2,Cowboys,18,8,11,30,23,18,17,30,29
10,2026,2,Broncos,15,26,20,27,25,13,8,29,17
11,2026,2,Lions,10,4,7,11,10,31,31,28,31
12,2026,2,Packers,14,18,9,32,16,24,9,8,5
13,2026,2,Texans,8,21,3,25,9,24,26,6,21
14,2026,2,Colts,24,10,25,15,21,32,32,31,32
15,2026,2,Jaguars,12,15,18,15,15,6,22,13,18
16,2026,2,Chiefs,5,3,5,2,1,11,4,10,3
26,2026,2,Chargers,16,29,21,19,22,21,29,7,23
29,2026,2,Rams,2,22,10,6,6,8,7,19,7
23,2026,2,Raiders,25,10,16,23,19,5,11,15,9
17,2026,2,Dolphins,32,30,24,26,27,28,18,18,19
18,2026,2,Vikings,17,13,31,12,32,4,28,14,25
19,2026,2,Patriots,9,26,25,10,18,1,5,11,4
20,2026,2,Saints,23,9,2,28,7,18,15,27,22
21,2026,2,Giants,22,23,25,18,23,18,25,20,27
22,2026,2,Jets,28,20,13,17,14,6,2,2,1
24,2026,2,Eagles,11,13,12,14,13,12,5,24,11
25,2026,2,Steelers,21,31,29,29,30,8,3,25,8
27,2026,2,49ers,4,4,8,8,8,3,9,17,10
28,2026,2,Seahawks,6,17,18,9,12,2,1,9,2
30,2026,2,Buccaneers,19,16,23,12,19,24,21,4,13
31,2026,2,Titans,30,26,30,22,31,16,20,21,24
32,2026,2,Commanders,20,18,21,3,11,27,19,16,15
1,2026,3,Cardinals,30,24,28,24,26,14,14,22,14
2,2026,3,Falcons,31,32,32,7,29,23,23,1,12
3,2026,3,Ravens,6,7,6,4,4,16,12,5,6
4,2026,3,Bills,4,1,4,5,2,28,30,12,28
5,2026,3,Panthers,23,2,1,20,4,28,13,32,30
6,2026,3,Bears,9,4,15,1,3,15,24,23,26
7,2026,3,Bengals,8,10,14,21,16,8,27,3,16
8,2026,3,Browns,29,24,16,31,28,22,16,26,20
9,2026,3,Cowboys,16,8,11,30,23,18,17,30,29
10,2026,3,Broncos,14,26,20,27,25,13,8,29,17
11,2026,3,Lions,11,4,7,11,10,31,31,28,31
12,2026,3,Packers,17,18,9,32,16,24,9,8,5
13,2026,3,Texans,15,21,3,25,9,24,26,6,21
14,2026,3,Colts,25,10,25,15,21,32,32,31,32
15,2026,3,Jaguars,12,15,18,15,15,6,22,13,18
16,2026,3,Chiefs,5,3,5,2,1,11,4,10,3
26,2026,3,Chargers,19,29,21,19,22,21,29,7,23
29,2026,3,Rams,2,22,10,6,6,8,7,19,7
23,2026,3,Raiders,20,10,16,23,19,5,11,15,9
17,2026,3,Dolphins,32,30,24,26,27,28,18,18,19
18,2026,3,Vikings,10,13,31,12,32,4,28,14,25
19,2026,3,Patriots,7,26,25,10,18,1,5,11,4
20,2026,3,Saints,18,9,2,28,7,18,15,27,22
21,2026,3,Giants,26,23,25,18,23,18,25,20,27
22,2026,3,Jets,27,20,13,17,14,6,2,2,1
24,2026,3,Eagles,13,13,12,14,13,12,5,24,11
25,2026,3,Steelers,24,31,29,29,30,8,3,25,8
27,2026,3,49ers,3,4,8,8,8,3,9,17,10
28,2026,3,Seahawks,1,17,18,9,12,2,1,9,2
30,2026,3,Buccaneers,21,16,23,12,19,24,21,4,13
31,2026,3,Titans,28,26,30,22,31,16,20,21,24
32,2026,3,Commanders,22,18,21,3,11,27,19,16,15
