NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2026,1,Cardinals,31,1,7,31,17,29,24,25,26
2,2026,1,Falcons,9,23,18,7,14,19,12,24,15
3,2026,1,Ravens,13,10,27,2,15,18,30,9,24
4,2026,1,Bills,8,3,11,1,3,12,2,28,8
5,2026,1,Panthers,18,27,25,20,27,16,15,21,16
6,2026,1,Bears,12,9,8,3,4,23,25,26,29
7,2026,1,Bengals,23,12,5,29,16,30,26,32,31
8,2026,1,Browns,24,31,31,27,30,13,3,17,5
9,2026,1,Cowboys,27,5,2,8,2,32,32,23,30
10,2026,1,Broncos,6,15,13,21,12,4,7,5,4
11,2026,1,Lions,17,4,3,13,5,1,19,13,17
12,2026,1,Packers,1,14,15,15,11,11,14,16,14
13,2026,1,Texans,3,13,16,1,19,3,5,2,1
14,2026,1,Colts,20,7,9,17,9,21,31,7,23
15,2026,1,Jaguars,5,6,12,18,10,9,20,1,11
16,2026,1,Chiefs,29,20,17,24,20,5,10,8,10
26,2026,1,Chargers,11,24,19,14,18,8,6,10,6
29,2026,1,Rams,4,1,1,9,1,10,1,11,19
23,2026,1,Raiders,32,32,28,32,32,25,13,18,13
17,2026,1,Dolphins,19,25,26,12,25,24,18,27,22
18,2026,1,Vikings,10,26,29,23,28,7,1,1,3
19,2026,1,Patriots,2,8,6,5,6,2,8,4,2
20,2026,1,Saints,15,28,14,28,23,14,4,19,9
21,2026,1,Giants,25,16,21,6,13,26,16,31,27
22,2026,1,Jets,30,29,32,11,29,31,17,29,25
24,2026,1,Eagles,16,19,23,16,24,6,9,20,12
25,2026,1,Steelers,14,17,1,26,26,17,29,15,28
27,2026,1,49ers,7,11,4,25,8,15,21,12,18
28,2026,1,Seahawks,1,2,10,10,7,1,11,3,7
30,2026,1,Buccaneers,21,18,20,19,21,20,27,6,20
31,2026,1,Titans,28,30,30,30,31,28,23,14,21
32,2026,1,Commanders,26,21,24,4,1,27,28,30,32
