NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,18,Cardinals,29,23,7,31,18,29,24,25,27
2,2025,18,Falcons,15,24,19,8,14,19,13,24,15
3,2025,18,Ravens,12,11,27,2,16,18,30,10,24
4,2025,18,Bills,8,4,15,1,4,12,1,28,7
5,2025,18,Panthers,14,27,26,19,27,15,15,20,16
6,2025,18,Bears,9,9,10,3,6,23,22,27,29
7,2025,18,Bengals,19,12,6,29,17,30,26,16,31
8,2025,18,Browns,26,31,31,27,30,14,3,23,4
9,2025,18,Cowboys,24,7,2,9,2,32,32,2,30
10,2025,18,Broncos,7,14,11,16,10,3,7,14,1
11,2025,18,Lions,22,4,3,14,5,22,21,18,18
12,2025,18,Packers,17,16,17,15,15,11,11,4,12
13,2025,18,Texans,3,13,14,22,18,2,6,7,2
14,2025,18,Colts,20,8,9,17,9,21,31,1,23
15,2025,18,Jaguars,2,6,12,20,11,8,20,9,11
16,2025,18,Chiefs,27,21,16,25,20,6,12,8,10
26,2025,18,Chargers,10,20,18,12,12,9,5,12,5
29,2025,18,Rams,6,1,1,7,1,10,19,17,17
23,2025,18,Raiders,32,32,28,32,32,25,14,26,14
17,2025,18,Dolphins,21,25,25,13,26,24,18,21,22
18,2025,18,Vikings,16,26,29,23,28,7,2,6,3
19,2025,18,Patriots,5,2,4,6,3,4,9,19,8
20,2025,18,Saints,18,28,13,28,23,16,4,31,9
21,2025,18,Giants,30,17,21,5,13,26,16,29,28
22,2025,18,Jets,28,29,32,10,29,31,17,22,25
24,2025,18,Eagles,11,19,23,18,24,5,8,13,13
25,2025,18,Steelers,13,15,22,26,25,17,29,11,26
27,2025,18,49ers,4,10,5,24,7,13,25,3,20
28,2025,18,Seahawks,1,3,8,10,8,1,10,5,6
30,2025,18,Buccaneers,23,18,20,21,21,20,27,15,19
31,2025,18,Titans,25,30,30,30,31,28,23,30,21
32,2025,18,Commanders,31,22,24,4,22,27,28,32,32
