NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,19,Cardinals,31,23,7,31,18,29,24,25,27
2,2025,19,Falcons,12,24,19,8,14,19,13,24,15
3,2025,19,Ravens,14,11,27,2,16,18,30,10,24
4,2025,19,Bills,8,4,15,1,4,12,1,28,7
5,2025,19,Panthers,20,27,26,19,27,15,15,20,16
6,2025,19,Bears,13,9,10,3,6,23,22,27,29
7,2025,19,Bengals,23,12,6,29,17,30,26,16,31
8,2025,19,Browns,24,31,31,27,30,14,3,23,4
9,2025,19,Cowboys,27,7,2,9,2,32,32,2,30
10,2025,19,Broncos,6,14,11,16,10,3,7,14,1
11,2025,19,Lions,16,4,3,14,5,22,21,18,18
12,2025,19,Packers,19,16,17,15,15,11,11,4,12
13,2025,19,Texans,3,13,14,22,18,2,6,7,2
14,2025,19,Colts,18,8,9,17,9,21,31,1,23
15,2025,19,Jaguars,2,6,12,20,11,8,20,9,11
16,2025,19,Chiefs,29,21,16,25,20,6,12,8,10
26,2025,19,Chargers,10,20,18,12,12,9,5,12,5
29,2025,19,Rams,7,1,1,7,1,10,19,17,17
23,2025,19,Raiders,32,32,28,32,32,25,14,26,14
17,2025,19,Dolphins,21,25,25,13,26,24,18,21,22
18,2025,19,Vikings,9,26,29,23,28,7,2,6,3
19,2025,19,Patriots,4,2,4,6,3,4,9,19,8
20,2025,19,Saints,17,28,13,28,23,16,4,31,9
21,2025,19,Giants,25,17,21,5,13,26,16,29,28
22,2025,19,Jets,30,29,32,10,29,31,17,22,25
24,2025,19,Eagles,15,19,23,18,24,5,8,13,13
25,2025,19,Steelers,11,15,22,26,25,17,29,11,26
27,2025,19,49ers,5,10,5,24,7,13,25,3,20
28,2025,19,Seahawks,1,3,8,10,8,1,10,5,6
30,2025,19,Buccaneers,22,18,20,21,21,20,27,15,19
31,2025,19,Titans,28,30,30,30,31,28,23,30,21
32,2025,19,Commanders,26,22,24,4,22,27,28,32,32
