NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,20,Cardinals,31,22,29,31,17,29,24,25,26
2,2025,20,Falcons,10,23,19,8,14,19,12,24,15
3,2025,20,Ravens,14,10,18,2,15,18,30,9,24
4,2025,20,Bills,4,3,12,1,3,12,2,28,8
5,2025,20,Panthers,18,27,16,21,27,16,15,21,16
6,2025,20,Bears,11,9,23,3,4,23,25,26,29
7,2025,20,Bengals,23,12,30,29,16,30,26,32,31
8,2025,20,Browns,24,31,13,27,30,13,3,17,4
9,2025,20,Cowboys,27,6,32,9,2,32,32,23,30
10,2025,20,Broncos,8,13,4,19,10,4,9,4,5
11,2025,20,Lions,16,4,22,13,5,22,19,13,18
12,2025,20,Packers,21,15,11,15,12,11,14,16,14
13,2025,20,Texans,2,14,2,22,19,2,5,3,1
14,2025,20,Colts,19,8,21,17,9,21,31,7,23
15,2025,20,Jaguars,5,7,9,18,11,9,20,1,11
16,2025,20,Chiefs,29,20,5,24,20,5,11,8,10
26,2025,20,Chargers,13,24,8,14,18,8,6,10,7
29,2025,20,Rams,7,1,10,10,1,10,21,11,17
23,2025,20,Raiders,32,32,25,32,32,25,13,18,13
17,2025,20,Dolphins,20,25,24,12,25,24,18,27,22
18,2025,20,Vikings,9,26,7,23,28,7,1,22,2
19,2025,20,Patriots,3,5,3,6,6,3,7,5,6
20,2025,20,Saints,17,28,14,28,23,14,4,19,9
21,2025,20,Giants,25,16,26,5,13,26,16,31,27
22,2025,20,Jets,30,29,31,11,29,31,17,29,25
24,2025,20,Eagles,15,19,6,16,24,6,10,20,12
25,2025,20,Steelers,12,17,17,26,26,17,29,15,28
27,2025,20,49ers,6,11,15,25,8,15,22,12,19
28,2025,20,Seahawks,1,2,1,7,7,1,8,2,3
30,2025,20,Buccaneers,22,18,20,20,21,20,27,6,20
31,2025,20,Titans,28,30,28,30,31,28,23,14,21
32,2025,20,Commanders,26,21,27,4,22,27,28,30,32
1,2025,21,Cardinals,31,22,29,31,17,29,24,25,26
2,2025,21,Falcons,10,23,19,8,14,19,12,24,15
3,2025,21,Ravens,14,10,18,2,15,18,30,9,24
4,2025,21,Bills,4,3,12,1,3,12,2,28,8
5,2025,21,Panthers,18,27,16,21,27,16,15,21,16
6,2025,21,Bears,11,9,23,3,4,23,25,26,29
7,2025,21,Bengals,23,12,30,29,16,30,26,32,31
8,2025,21,Browns,24,31,13,27,30,13,3,17,4
9,2025,21,Cowboys,27,6,32,9,2,32,32,23,30
10,2025,21,Broncos,8,13,4,19,10,4,9,4,5
11,2025,21,Lions,16,4,22,13,5,22,19,13,18
12,2025,21,Packers,21,15,11,15,12,11,14,16,14
13,2025,21,Texans,2,14,2,22,19,2,5,3,1
14,2025,21,Colts,19,8,21,17,9,21,31,7,23
15,2025,21,Jaguars,5,7,9,18,11,9,20,1,11
16,2025,21,Chiefs,29,20,5,24,20,5,11,8,10
26,2025,21,Chargers,13,24,8,14,18,8,6,10,7
29,2025,21,Rams,7,1,10,10,1,10,21,11,17
23,2025,21,Raiders,32,32,25,32,32,25,13,18,13
17,2025,21,Dolphins,20,25,24,12,25,24,18,27,22
18,2025,21,Vikings,9,26,7,23,28,7,1,22,2
19,2025,21,Patriots,3,5,3,6,6,3,7,5,6
20,2025,21,Saints,17,28,14,28,23,14,4,19,9
21,2025,21,Giants,25,16,26,5,13,26,16,31,27
22,2025,21,Jets,30,29,31,11,29,31,17,29,25
24,2025,21,Eagles,15,19,6,16,24,6,10,20,12
25,2025,21,Steelers,12,17,17,26,26,17,29,15,28
27,2025,21,49ers,6,11,15,25,8,15,22,12,19
28,2025,21,Seahawks,1,2,1,7,7,1,8,2,3
30,2025,21,Buccaneers,22,18,20,20,21,20,27,6,20
31,2025,21,Titans,28,30,28,30,31,28,23,14,21
32,2025,21,Commanders,26,21,27,4,22,27,28,30,32
