Player,Team,Pos,Injury,Status
Yasir Abdullah,11,LB,Finger,Questionable
Paulson Adebo,20,CB,Knee - MCL,Questionable
Nate Adkins,13,TE,Knee,Questionable
Salvon Ahmed,12,RB,Ankle,IR
Brandon Aiyuk,30,WR,Knee - ACL + MCL,PUP-R
Jaire Alexander,17,CB,Undisclosed,Reserve-Ret
Erick All,5,TE,Knee - ACL,PUP-R
Braelon Allen,2,RB,Knee - MCL,IR
Joe Alt,14,OT,Ankle,IR
Kiran Amegadjie,23,OG,Elbow,IR
Trey Amos,18,CB,Lower Leg,IR
Troy Andersen,26,LB,Knee,PUP-R
Daijahn Anthony,5,S,Hamstring,IR-R
Felix Anudike-Uzomah,16,DE,Hamstring,IR
Terron Armstead,1,OT,Undisclosed,Reserve-Ret
Dorance Armstrong,18,DE,Knee,IR
Terrion Arnold,22,CB,Concussion,Questionable
Tutu Atwell,32,WR,Hamstring,IR
Popo Aumavae,25,DT,Achilles,IR
Alex Austin,4,CB,Undisclosed,IR
Elic Ayomanor,9,WR,Hamstring,Questionable
Deonte Banks,20,CB,Hip,Questionable
Gavin Bartholomew,21,TE,Back,PUP-R
Tyler Bass,3,K,Hip,IR
Robert Beal,30,DE,Concussion,Questionable
David Bell,7,WR,Hip,Reserve-Ret
Trey Benson,31,RB,Knee - Meniscus,IR-R
Terrel Bernard,3,LB,Elbow,Questionable
Tatum Bethune,30,LB,Ankle,Questionable
Julian Blackmon,27,S,Shoulder - Labrum,IR
Reed Blankenship,17,S,Thigh,Questionable
Joey Blount,31,S,Neck,IR
Chris Board,20,LB,Chest,IR
Nick Bosa,30,DE,Knee - ACL,IR
Billy Bowman,26,S,Achilles,IR
Kris Boyd,2,CB,Abdomen,IR
Ben Bredeson,28,OG,Hamstring,Questionable
JuJu Brents,1,CB,Foot,IR
Jake Briningstool,16,TE,Hamstring,IR-R
Jonathon Brooks,25,RB,Knee - ACL,PUP-R
Karl Brooks,24,DT,Ankle,Questionable
Kendell Brooks,9,S,Concussion,Questionable
Tahj Brooks,5,RB,Concussion,Out
Vernon Broughton,27,DT,Hip,IR
Noah Brown,18,WR,Groin,IR-R
Spencer Brown,3,OT,Shoulder,Doubtful
Baron Browning,31,LB,Concussion,Questionable
Taven Bryan,8,DT,Knee,Doubtful
Harrison Bryant,10,TE,Neck,IR
DeForest Buckner,12,DT,Neck,IR
Javon Bullard,24,S,Ankle,Questionable
Treylon Burks,18,WR,Finger,Questionable
Artie Burns,1,CB,Knee - ACL,IR
Joe Burrow,5,QB,Toe,IR-R
Michael Burton,13,FB,Hamstring,IR
Deon Bush,16,S,Achilles,IR
Josh Butler,19,CB,Knee - ACL,PUP-R
Yodny Cajuste,1,OT,Undisclosed,IR
Will Campbell,4,OT,Knee - MCL,Doubtful
Jaylon Carlies,12,LB,Ankle,IR-R
Derek Carr,27,QB,Shoulder,Reserve-Ret
Caelen Carson,19,CB,Hamstring,Questionable
Ajani Carter,10,CB,Hamstring,Questionable
DeAndre Carter,7,WR,Knee,IR
DeWayne Carter,3,DT,Achilles,IR
Joshua Cephus,11,WR,Undisclosed,IR
Ty Chandler,21,RB,Knee,IR
Irvin Charles,2,WR,Knee - ACL,PUP-R
Claudin Cherelus,25,LB,Concussion,Questionable
Brady Christensen,25,OG,Achilles,IR
Andre Cisco,2,S,Pectoral,IR
Will Clapp,27,C,Foot,IR
Jadeveon Clowney,19,DE,Neck,Questionable
Jordan Colbert,1,LB,Neck,IR
L.J. Collier,31,DT,Knee,IR
Beaux Collins,20,WR,Neck,IR
Junior Colson,14,LB,Shoulder,IR
Hayden Conner,31,OG,Knee,IR-R
James Conner,31,RB,Foot,IR
Jalin Conyers,1,TE,Leg,IR
Edgerrin Cooper,24,LB,Foot,Questionable
Ajani Cornelius,19,OT,Knee,IR
Zeke Correll,21,C,Ankle,IR
Byron Cowart,2,DT,Ankle,IR
Jacob Cowing,30,WR,Hamstring,IR
Brenton Cox,24,LB,Groin,IR
Zach Cunningham,22,LB,Hamstring,IR
Lloyd Cushenberry,9,C,Foot,Questionable
Dennis Daley,11,OT,Undisclosed,Reserve-Ret
James Daniels,1,OG,Pectoral,IR
Jayden Daniels,18,QB,Elbow,Questionable
Ronald Darby,10,CB,Undisclosed,Reserve-Ret
Christian Darrisaw,21,OT,Foot,Questionable
Jaxson Dart,20,QB,Concussion,Questionable
Marcus Davenport,22,DE,Shoulder,IR-R
Jamel Dean,28,CB,Hip,Questionable
Taylor Decker,22,OT,Shoulder,Questionable
Tank Dell,10,WR,Knee - ACL + MCL,PUP-R
Emari Demercado,31,RB,Ankle,Questionable
Marcellas Dial,4,CB,Knee - ACL,IR
Trevon Diggs,19,CB,Concussion,IR
J.K. Dobbins,13,RB,Foot,IR
Rasul Douglas,1,CB,Foot,Questionable
Ethan Driskell,16,OG,Appendix,NFI-R
Storm Duck,1,CB,Knee,IR
Ashton Dulin,12,WR,Hamstring,IR
Yasir Durant,4,OG,Undisclosed,IR
Tremaine Edmunds,23,LB,Groin,IR
T.J. Edwards,23,LB,Hand,Questionable
Liam Eichenberg,1,OG,Undisclosed,PUP-R
Austin Ekeler,18,RB,Achilles,IR
Daniel Ekuale,6,DT,Knee - ACL,IR
DeShon Elliott,6,S,Knee,IR
Jonah Elliss,13,LB,Hamstring,Questionable
Martin Emerson,7,CB,Achilles,IR
Marcus Epps,17,S,Undisclosed,IR
Dee Eskridge,1,WR,Shoulder,Questionable
Mike Evans,28,WR,Collarbone,IR
Obinna Eze,1,OT,Undisclosed,IR
Joshua Ezeudu,20,OG,Undisclosed,IR-R
Folorunso Fatukasi,10,DT,Shoulder,IR
Simi Fehoko,31,WR,Wrist,IR
Da'Quan Felton,20,WR,Undisclosed,IR
Thomas Fidone,20,TE,Foot,IR
AJ Finley,29,S,Knee,IR
Joe Flacco,5,QB,Shoulder,Questionable
Demetrius Flannigan-Fowles,20,LB,Neck,Questionable
Bryce Ford-Wheaton,20,WR,Achilles,IR
Dante Fowler,19,DE,Shoulder,Questionable
Miles Frazier,22,OG,Knee,PUP-R
Zah Frazier,23,CB,Personal,NFI-R
Blake Freeland,12,OT,Leg,IR
Taliese Fuaga,27,OT,Ankle,Questionable
Josh Fuga,14,DT,Undisclosed,IR
Graham Gano,20,K,Neck,IR
Nick Gargiulo,13,OG,Knee,IR
Ali Gaye,9,LB,Knee,IR
Brandon George,16,LB,Undisclosed,IR
Antonio Gibson,4,RB,Knee - ACL,IR
Blake Gillikin,31,P,Back,IR
Xavier Gipson,17,WR,Shoulder,Questionable
Graham Glasgow,22,OG,Knee,Questionable
Travis Glover,24,OT,Shoulder,IR
Matthew Golden,24,WR,Wrist,Questionable
Kyler Gordon,23,CB,Calf,IR-R
Tylan Grable,3,OT,Concussion,IR-R
Noah Gray,16,TE,Concussion,Questionable
Art Green,20,CB,Hamstring,IR
Jonathan Greenard,21,LB,Shoulder,Questionable
Garret Greenfield,28,OT,Undisclosed,Reserve-Ret
Yetur Gross-Matos,30,DE,Knee,IR
Tyler Guyton,19,OT,Ankle,Doubtful
Maxwell Hairston,3,CB,Concussion,Questionable
Kyonte Hamilton,10,DT,Ankle,IR
Damar Hamlin,3,S,Pectoral,IR
Omarion Hampton,14,RB,Ankle,IR-R
Blake Hance,9,OG,Shoulder,IR
Deion Hankins,23,RB,Quadriceps,IR
Johnathan Hankins,29,DT,Back,NFI-R
Mecole Hardman,3,WR,Calf,IR
Derrick Harmon,6,DT,Knee,Out
Najee Harris,14,RB,Achilles,IR
Will Harris,18,S,Ankle,IR-R
Anton Harrison,11,OT,Knee,Questionable
Marvin Harrison,31,WR,Illness,Questionable
Zach Harrison,26,DE,Knee,IR
Bobby Hart,14,OT,Knee,Questionable
Gus Hartwig,2,C,Undisclosed,IR
Hassan Haskins,14,RB,Hamstring,IR
Rob Havenstein,32,OT,Ankle,IR
Trey Hendrickson,5,DE,Hip,Out
