Player,Team,Pos,Injury,Status,Est. Return
Yasir Abdullah,JAX,LB,Finger,Questionable,Subscribers Only
Paulson Adebo,NYG,CB,Knee - MCL,Questionable,Subscribers Only
Nate Adkins,DEN,TE,Knee,Questionable,Subscribers Only
Salvon Ahmed,IND,RB,Ankle,IR,Subscribers Only
Brandon Aiyuk,SF,WR,Knee - ACL + MCL,PUP-R,Subscribers Only
Jaire Alexander,PHI,CB,Undisclosed,Reserve-Ret,Subscribers Only
Erick All,CIN,TE,Knee - ACL,PUP-R,Subscribers Only
Braelon Allen,NYJ,RB,Knee - MCL,IR,Subscribers Only
Joe Alt,LAC,OT,Ankle,IR,Subscribers Only
Kiran Amegadjie,CHI,OG,Elbow,IR,Subscribers Only
Trey Amos,WAS,CB,Lower Leg,IR,Subscribers Only
Bradlee Anae,FA,DE,Undisclosed,Questionable,Subscribers Only
Troy Andersen,ATL,LB,Knee,PUP-R,Subscribers Only
Daijahn Anthony,CIN,S,Hamstring,IR-R,Subscribers Only
Felix Anudike-Uzomah,KC,DE,Hamstring,IR,Subscribers Only
Terron Armstead,MIA,OT,Undisclosed,Reserve-Ret,Subscribers Only
Cornell Armstrong,FA,CB,Hamstring,Questionable,Subscribers Only
Dorance Armstrong,WAS,DE,Knee,IR,Subscribers Only
Damon Arnette,FA,CB,Ankle,Questionable,Subscribers Only
Grayland Arnold,FA,S,Undisclosed,Questionable,Subscribers Only
Terrion Arnold,DET,CB,Concussion,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Tutu Atwell,LAR,WR,Hamstring,IR,Subscribers Only
Popo Aumavae,CAR,DT,Achilles,IR,Subscribers Only
Alex Austin,NE,CB,Undisclosed,IR,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Elic Ayomanor,TEN,WR,Hamstring,Questionable,Subscribers Only
David Bada,FA,DT,Achilles,Questionable,Subscribers Only
Deonte Banks,NYG,CB,Hip,Questionable,Subscribers Only
Amare Barno,FA,LB,Knee,Questionable,Subscribers Only
Gavin Bartholomew,MIN,TE,Back,PUP-R,Subscribers Only
Tyler Bass,BUF,K,Hip,IR,Subscribers Only
Bo Bauer,FA,LB,Leg,Questionable,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Robert Beal,SF,DE,Concussion,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
David Bell,CLE,WR,Hip,Reserve-Ret,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Trey Benson,ARI,RB,Knee - Meniscus,IR-R,Subscribers Only
Terrel Bernard,BUF,LB,Elbow,Questionable,Subscribers Only
Tatum Bethune,SF,LB,Ankle,Questionable,Subscribers Only
Julian Blackmon,NO,S,Shoulder - Labrum,IR,Subscribers Only
Angelo Blackson,FA,DE,Undisclosed,Out,Subscribers Only
Reed Blankenship,PHI,S,Thigh,Questionable,Subscribers Only
Joey Blount,ARI,S,Neck,IR,Subscribers Only
C.J. Board,FA,WR,Ribs,Questionable,Subscribers Only
Chris Board,NYG,LB,Chest,IR,Subscribers Only
Devante Bond,FA,LB,Knee,Questionable,Subscribers Only
Dicaprio Bootle,FA,CB,Undisclosed,Questionable,Subscribers Only
Nick Bosa,SF,DE,Knee - ACL,IR,Subscribers Only
Brandon Bouyer-Randle,FA,LB,Undisclosed,Questionable,Subscribers Only
Billy Bowman,ATL,S,Achilles,IR,Subscribers Only
Tyus Bowser,FA,LB,Knee,Questionable,Subscribers Only
Kris Boyd,NYJ,CB,Abdomen,IR,Subscribers Only
Ben Bredeson,TB,OG,Hamstring,Questionable,Subscribers Only
JuJu Brents,MIA,CB,Foot,IR,Subscribers Only
Jake Briningstool,KC,TE,Hamstring,IR-R,Subscribers Only
Tyrone Broden,FA,WR,Undisclosed,Out,Subscribers Only
Jonathon Brooks,CAR,RB,Knee - ACL,PUP-R,Subscribers Only
Karl Brooks,GB,DT,Ankle,Questionable,Subscribers Only
Kendell Brooks,TEN,S,Concussion,Questionable,Subscribers Only
Tahj Brooks,CIN,RB,Concussion,Out,Subscribers Only
Vernon Broughton,NO,DT,Hip,IR,Subscribers Only
Anthony Brown,FA,CB,Thumb,Questionable,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Jayon Brown,FA,LB,Hand,Questionable,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Noah Brown,WAS,WR,Groin,IR-R,Subscribers Only
Omar Brown,FA,S,Chest,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Spencer Brown,BUF,OT,Shoulder,Doubtful,Subscribers Only
Troy Brown,FA,LB,Undisclosed,Questionable,Subscribers Only
Baron Browning,ARI,LB,Concussion,Questionable,Subscribers Only
Logan Bruss,FA,OG,Knee - ACL,Questionable,Subscribers Only
Taven Bryan,BAL,DT,Knee,Doubtful,Subscribers Only
Austin Bryant,FA,DE,Undisclosed,Questionable,Subscribers Only
Harrison Bryant,HOU,TE,Neck,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
DeForest Buckner,IND,DT,Neck,IR,Subscribers Only
Javon Bullard,GB,S,Ankle,Questionable,Subscribers Only
Ian Bunting,FA,TE,Neck,Questionable,Subscribers Only
Treylon Burks,WAS,WR,Finger,Questionable,Subscribers Only
Artie Burns,MIA,CB,Knee - ACL,IR,Subscribers Only
Joe Burrow,CIN,QB,Toe,IR-R,Subscribers Only
Michael Burton,DEN,FB,Hamstring,IR,Subscribers Only
Deon Bush,KC,S,Achilles,IR,Subscribers Only
Josh Butler,DAL,CB,Knee - ACL,PUP-R,Subscribers Only
Vernon Butler,FA,DT,Undisclosed,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Yodny Cajuste,MIA,OT,Undisclosed,IR,Subscribers Only
Don Callis,FA,CB,Hamstring,Questionable,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Will Campbell,NE,OT,Knee - MCL,Doubtful,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Jaylon Carlies,IND,LB,Ankle,IR-R,Subscribers Only
Xavier Carlton,FA,DE,Undisclosed,Questionable,Subscribers Only
Tariq Carpenter,FA,LB,Suspension,Reserve-Sus,Subscribers Only
Derek Carr,NO,QB,Shoulder,Reserve-Ret,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Caelen Carson,DAL,CB,Hamstring,Questionable,Subscribers Only
Ajani Carter,HOU,CB,Hamstring,Questionable,Subscribers Only
DeAndre Carter,CLE,WR,Knee,IR,Subscribers Only
Devin Carter,FA,WR,Undisclosed,Questionable,Subscribers Only
DeWayne Carter,BUF,DT,Achilles,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Lorenzo Carter,FA,LB,Undisclosed,Reserve-Ret,Subscribers Only
Joshua Cephus,JAX,WR,Undisclosed,IR,Subscribers Only
Ty Chandler,MIN,RB,Knee,IR,Subscribers Only
Irvin Charles,NYJ,WR,Knee - ACL,PUP-R,Subscribers Only
Taco Charlton,FA,DE,Undisclosed,Questionable,Subscribers Only
Claudin Cherelus,CAR,LB,Concussion,Questionable,Subscribers Only
Brady Christensen,CAR,OG,Achilles,IR,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Andre Cisco,NYJ,S,Pectoral,IR,Subscribers Only
Will Clapp,NO,C,Foot,IR,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Chase Claypool,FA,WR,Toe,Questionable,Subscribers Only
Jadeveon Clowney,DAL,DE,Neck,Questionable,Subscribers Only
Jordan Colbert,MIA,LB,Neck,IR,Subscribers Only
L.J. Collier,ARI,DT,Knee,IR,Subscribers Only
Beaux Collins,NYG,WR,Neck,IR,Subscribers Only
Junior Colson,LAC,LB,Shoulder,IR,Subscribers Only
John Cominsky,FA,DE,Knee - MCL,Questionable,Subscribers Only
Tom Compton,FA,OT,Back,Questionable,Subscribers Only
Ryan Connelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Hayden Conner,ARI,OG,Knee,IR-R,Subscribers Only
James Conner,ARI,RB,Foot,IR,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Jalin Conyers,MIA,TE,Leg,IR,Subscribers Only
Amari Cooper,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Edgerrin Cooper,GB,LB,Foot,Questionable,Subscribers Only
Ryan Cooper,FA,CB,Undisclosed,Questionable,Subscribers Only
Jashaun Corbin,FA,RB,Undisclosed,Out,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Ajani Cornelius,DAL,OT,Knee,IR,Subscribers Only
Zeke Correll,MIN,C,Ankle,IR,Subscribers Only
Jeff Cotton,FA,WR,Undisclosed,Questionable,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Carter Coughlin,FA,LB,Pectoral,Out,Subscribers Only
Byron Cowart,NYJ,DT,Ankle,IR,Subscribers Only
Jacob Cowing,SF,WR,Hamstring,IR,Subscribers Only
Brenton Cox,GB,LB,Groin,IR,Subscribers Only
Kekoa Crawford,FA,WR,Undisclosed,Questionable,Subscribers Only
