Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,MIN,LB,Quadriceps,IR,Subscribers Only
Paulson Adebo,NYG,CB,Hamstring,Questionable,Subscribers Only
Hakeem Adeniji,BAL,OG,Personal,Reserve-Ret,Subscribers Only
Jamal Agnew,FA,WR,Undisclosed,Questionable,Subscribers Only
Brandon Aiyuk,SF,WR,Knee - ACL + MCL,Reserve-DNR,Subscribers Only
Damien Alford,FA,WR,Undisclosed,Questionable,Subscribers Only
Nick Allegretti,WAS,C,Calf,Questionable,Subscribers Only
Davis Allen,LAR,TE,Quadriceps,Questionable,Subscribers Only
LeQuint Allen,JAX,RB,Undisclosed,Questionable,Subscribers Only
Marcus Allen,MIN,CB,Undisclosed,IR,Subscribers Only
Trey Amos,WAS,CB,Ankle,IR-R,Subscribers Only
Troy Andersen,FA,LB,Knee,Questionable,Subscribers Only
Aaron Anderson,FA,WR,Undisclosed,Questionable,Subscribers Only
Chigozie Anusiem,LV,CB,Knee,IR,Subscribers Only
Jalyn Armour-Davis,FA,CB,Achilles,Questionable,Subscribers Only
Cornell Armstrong,FA,CB,Hamstring,Questionable,Subscribers Only
Dorance Armstrong,WAS,DE,Suspension,Reserve-Sus,Subscribers Only
Terrion Arnold,SEA,CB,Undisclosed,Reserve-CEL,Subscribers Only
Brian Asamoah,FA,LB,Knee,Questionable,Subscribers Only
Calvin Austin,NYG,WR,Knee,IR,Subscribers Only
Andre Baccellia,FA,WR,Neck,Questionable,Subscribers Only
Levelle Bailey,DEN,LB,Leg,IR,Subscribers Only
Rueben Bain,TB,LB,Shoulder - AC Joint,Questionable,Subscribers Only
Darrell Baker,MIA,CB,Undisclosed,PUP-R,Subscribers Only
Johnathan Baldwin,GB,CB,Knee,IR,Subscribers Only
Keshawn Banks,ATL,LB,Undisclosed,IR,Subscribers Only
Marcus Banks,FA,S,Undisclosed,Questionable,Subscribers Only
Shad Banks,FA,LB,Undisclosed,Questionable,Subscribers Only
Bryce Baringer,NE,P,Undisclosed,IR,Subscribers Only
Amare Barno,FA,LB,Knee,Questionable,Subscribers Only
Tyler Baron,NYJ,DE,Knee,PUP-R,Subscribers Only
Jared Bartlett,JAX,LB,Leg,IR,Subscribers Only
Brenden Bates,FA,TE,Undisclosed,Questionable,Subscribers Only
John Bates,WAS,TE,Hamstring,Questionable,Subscribers Only
Tyler Batty,MIN,LB,Knee - ACL,IR,Subscribers Only
Dalys Beanum,FA,CB,Undisclosed,Questionable,Subscribers Only
Markel Bell,PHI,OT,Thumb,Questionable,Subscribers Only
Travis Bell,CLE,DT,Eye,IR,Subscribers Only
Nick Bellore,WAS,LB,Personal,Reserve-Ret,Subscribers Only
Jakorian Bennett,PHI,CB,Knee,IR-R,Subscribers Only
Trey Benson,ARI,RB,Knee,IR,Subscribers Only
Jarrick Bernard-Converse,NYG,CB,Knee,IR,Subscribers Only
JD Bertrand,ATL,LB,Undisclosed,IR,Subscribers Only
Tyler Biadasz,LAC,C,Knee,IR,Subscribers Only
Beanie Bishop,CHI,CB,Suspension,IR,Subscribers Only
Chase Bisontis,ARI,OG,Knee - MCL,IR,Subscribers Only
Korie Black,NYG,CB,Undisclosed,IR-R,Subscribers Only
