Player,Team,Pos,Injury,Status
De'Von Achane,1,RB,Ribs,Questionable
Tony Adams,2,S,Groin,Questionable
Nate Adkins,13,TE,Knee,Questionable
Salvon Ahmed,12,RB,Ankle,IR
Brandon Aiyuk,30,WR,Knee - ACL + MCL,PUP-R
Jaire Alexander,17,CB,Undisclosed,Reserve-Ret
Erick All,5,TE,Knee - ACL,PUP-R
Braelon Allen,2,RB,Knee - MCL,IR
Joe Alt,14,OT,Ankle,IR
Kiran Amegadjie,23,OG,Elbow,IR
Trey Amos,18,CB,Lower Leg,IR
Troy Andersen,26,LB,Knee,PUP-R
Calvin Anderson,6,OT,Knee,Out
Felix Anudike-Uzomah,16,DE,Hamstring,IR
Jalyn Armour-Davis,9,CB,Achilles,Questionable
Terron Armstead,1,OT,Undisclosed,Reserve-Ret
Dorance Armstrong,18,DE,Knee,IR
Terrion Arnold,22,CB,Shoulder,IR
Elijah Arroyo,29,TE,Knee,Questionable
Brian Asamoah,5,LB,Knee,IR
Tutu Atwell,32,WR,Hamstring,IR-R
Popo Aumavae,25,DT,Achilles,IR
Alex Austin,4,CB,Undisclosed,IR
Kayode Awosika,22,OG,Foot,Questionable
Alex Bachman,15,WR,Thumb,Questionable
Tyler Baron,2,DE,Knee,Questionable
Ben Bartch,30,OG,Foot,IR
Gavin Bartholomew,21,TE,Back,PUP-R
Tyler Bass,3,K,Hip,IR
Brenden Bates,7,TE,Ankle,Questionable
David Bell,7,WR,Hip,Reserve-Ret
Trey Benson,31,RB,Knee - Meniscus,IR-R
Terrel Bernard,3,LB,Elbow,Questionable
Tatum Bethune,30,LB,Ankle,Questionable
Cole Bishop,3,S,Undisclosed,Questionable
Julian Blackmon,27,S,Shoulder - Labrum,IR
Joey Blount,31,S,Neck,IR
Chris Board,20,LB,Chest,IR
Joey Bosa,3,DE,Hamstring,Questionable
Nick Bosa,30,DE,Knee - ACL,IR
Billy Bowman,26,S,Achilles,IR
Kris Boyd,2,CB,Abdomen,IR
Brian Branch,22,S,Achilles,Out
Ben Bredeson,28,OG,Knee,IR
JuJu Brents,1,CB,Foot,IR
Jake Briningstool,16,TE,Hamstring,IR-R
Jonathon Brooks,25,RB,Knee - ACL,PUP-R
Vernon Broughton,27,DT,Hip,IR
Evan Brown,31,OG,Personal,Questionable
Spencer Brown,3,OT,Shoulder,Questionable
Jarvis Brownlee,2,CB,Hip,IR
Taven Bryan,8,DT,Knee,IR
Harrison Bryant,10,TE,Neck,IR
DeForest Buckner,12,DT,Neck,IR
Artie Burns,1,CB,Knee - ACL,IR
Michael Burton,13,FB,Hamstring,IR
Deon Bush,16,S,Achilles,IR
Josh Butler,19,CB,Knee - ACL,PUP-R
Yodny Cajuste,1,OT,Undisclosed,IR
Elijah Campbell,1,S,Knee,Questionable
Will Campbell,4,OT,Knee - MCL,IR
Derek Carr,27,QB,Shoulder,Reserve-Ret
Ajani Carter,10,CB,Hamstring,IR
DeAndre Carter,7,WR,Knee,IR
DeWayne Carter,3,DT,Achilles,IR
Jalen Carter,17,DT,Shoulder,Questionable
Joshua Cephus,11,WR,Undisclosed,IR
Ty Chandler,21,RB,Knee,IR-R
Irvin Charles,2,WR,Knee - ACL,PUP-R
Claudin Cherelus,25,LB,Concussion,Questionable
Brady Christensen,25,OG,Achilles,IR
Nick Chubb,10,RB,Ribs,Questionable
Andre Cisco,2,S,Pectoral,IR
Will Clapp,27,C,Foot,IR
Ben Cleveland,8,OG,Suspension,Reserve-Sus
Jadeveon Clowney,19,DE,Hamstring,Questionable
Jordan Colbert,1,LB,Neck,IR
L.J. Collier,31,DT,Knee,IR-R
Beaux Collins,20,WR,Neck,IR
Maliek Collins,7,DT,Quadriceps,IR
Junior Colson,14,LB,Shoulder,IR
Jack Conklin,7,OT,Concussion,Questionable
James Conner,31,RB,Foot,IR
Jalin Conyers,1,TE,Leg,IR
Malachi Corley,7,WR,Concussion,Questionable
Ajani Cornelius,19,OT,Knee,IR
Zeke Correll,21,C,Ankle,IR
Jacob Cowing,30,WR,Hamstring,IR
Brenton Cox,24,DE,Groin,IR-R
Zach Cunningham,22,LB,Hamstring,IR
Lloyd Cushenberry,9,C,Foot,Questionable
Dennis Daley,11,OT,Undisclosed,Reserve-Ret
James Daniels,1,OG,Pectoral,IR
Jayden Daniels,18,QB,Elbow,Questionable
Ronald Darby,10,CB,Undisclosed,Reserve-Ret
Derius Davis,14,WR,Ankle,Questionable
Tank Dell,10,WR,Knee - ACL + MCL,PUP-R
Emari Demercado,31,RB,Ankle,Questionable
SirVocea Dennis,28,LB,Hip,Questionable
Marcellas Dial,4,CB,Knee - ACL,IR
Trevon Diggs,19,CB,Knee,IR-R
Victor Dimukeje,20,LB,Knee,Questionable
J.K. Dobbins,13,RB,Foot,IR
Tyrel Dodson,1,LB,Hamstring,Questionable
Brandon Dorlus,26,DT,Groin,Questionable
Greg Dortch,31,WR,Chest,IR
Ethan Driskell,16,OG,Appendix,NFI-R
Storm Duck,1,CB,Knee,IR
Kyle Dugger,6,S,Hand,Questionable
Ashton Dulin,12,WR,Hamstring,IR
Yasir Durant,4,OG,Undisclosed,IR
Tremaine Edmunds,23,LB,Groin,IR
Liam Eichenberg,1,OG,Undisclosed,PUP-R
Austin Ekeler,18,RB,Achilles,IR
Daniel Ekuale,6,DT,Knee - ACL,IR
DeShon Elliott,6,S,Knee,IR
Martin Emerson,7,CB,Achilles,IR
Zach Ertz,18,TE,Knee,Out
Mike Evans,28,WR,Collarbone,IR-R
Obinna Eze,1,OT,Undisclosed,IR
Joshua Ezeudu,20,OG,Calf,IR-R
George Fant,18,OT,Knee,Questionable
Folorunso Fatukasi,10,DT,Shoulder,IR
Simi Fehoko,31,WR,Wrist,IR
Da'Quan Felton,20,WR,Undisclosed,IR
Thomas Fidone,20,TE,Foot,IR
Justin Fields,2,QB,Knee,Questionable
AJ Finley,29,S,Knee,IR
Tucker Fisk,14,TE,Ankle,IR
Demetrius Flannigan-Fowles,20,LB,Neck,Questionable
Jerome Ford,7,RB,Shoulder,IR
Bryce Ford-Wheaton,20,WR,Achilles,IR
Zah Frazier,23,CB,Personal,NFI-R
Blake Freeland,12,OT,Leg,IR
Taliese Fuaga,27,OT,Ankle,Questionable
Josh Fuga,14,DT,Undisclosed,IR
Graham Gano,20,K,Neck,IR
Sauce Gardner,12,CB,Calf,Questionable
Nick Gargiulo,13,OG,Knee,IR
Ali Gaye,9,LB,Knee,IR
Brandon George,16,LB,Undisclosed,IR
Antonio Gibson,4,RB,Knee - ACL,IR
Blake Gillikin,31,P,Back,IR
Travis Glover,24,OT,Shoulder,IR
Kyler Gordon,23,CB,Groin,Questionable
Anthony Gould,12,WR,Foot,Questionable
Art Green,20,CB,Hamstring,IR-R
Garret Greenfield,28,OT,Undisclosed,Reserve-Ret
Yetur Gross-Matos,30,DE,Knee,IR
Tyler Guyton,19,OT,Ankle,Questionable
Kyonte Hamilton,10,DT,Ankle,IR
Damar Hamlin,3,S,Pectoral,IR
Blake Hance,9,OG,Shoulder,IR
Deion Hankins,23,RB,Quadriceps,IR
Mecole Hardman,3,WR,Calf,IR
Derrick Harmon,6,DT,Knee,Questionable
Thomas Harper,22,S,Concussion,Questionable
Najee Harris,14,RB,Achilles,IR
Malik Harrison,6,LB,Concussion,Questionable
Marvin Harrison,31,WR,Heel,Questionable
Zach Harrison,26,DE,Knee,IR
Gus Hartwig,2,C,Undisclosed,IR
Rob Havenstein,32,OT,Ankle,IR
DeMarcco Hellams,26,S,Hamstring,IR
Trey Hendrickson,5,DE,Abdomen,Out
Matt Henningsen,13,DT,Achilles,IR
Will Hernandez,31,OG,Hip,IR
