Week,Day,Date,Visitor,Home,Time
1,Thu,Sept 7,Chiefs,Patriots,8:30 PM
1,Sun,Sept 10,Jets,Bills,1:00 PM
1,Sun,Sept 10,Falcons,Bears,1:00 PM
1,Sun,Sept 10,Ravens,Bengals,1:00 PM
1,Sun,Sept 10,Steelers,Browns,1:00 PM
1,Sun,Sept 10,Cardinals,Lions,1:00 PM
1,Sun,Sept 10,Jaguars,Texans,1:00 PM
1,Sun,Sept 10,Buccaneers,Dolphins,1:00 PM
1,Sun,Sept 10,Raiders,Titans,1:00 PM
1,Sun,Sept 10,Eagles,Redskins,1:00 PM
1,Sun,Sept 10,Colts,Rams,4:05 PM
1,Sun,Sept 10,Seahawks,Packers,4:25 PM
1,Sun,Sept 10,Panthers,49ers,4:25 PM
1,Sun,Sept 10,Giants,Cowboys,8:30 PM
1,Mon,Sept 11,Saints,Vikings,7:10 PM
1,Mon,Sept 11,Chargers,Broncos,10:20 PM
2,Thu,Sept 14,Texans,Bengals,8:25 PM
2,Sun,Sept 17,Bills,Panthers,1:00 PM
2,Sun,Sept 17,Cardinals,Colts,1:00 PM
2,Sun,Sept 17,Titans,Jaguars,1:00 PM
2,Sun,Sept 17,Eagles,Chiefs,1:00 PM
2,Sun,Sept 17,Patriots,Saints,1:00 PM
2,Sun,Sept 17,Vikings,Steelers,1:00 PM
2,Sun,Sept 17,Browns,Ravens,1:00 PM
2,Sun,Sept 17,Bears,Buccaneers,1:00 PM
2,Sun,Sept 17,Jets,Raiders,4:05 PM
2,Sun,Sept 17,Dolphins,Chargers,4:05 PM
2,Sun,Sept 17,Cowboys,Broncos,4:25 PM
2,Sun,Sept 17,Redskins,Rams,4:25 PM
2,Sun,Sept 17,49ers,Seahawks,4:25 PM
2,Sun,Sept 17,Packers,Falcons,8:30 PM
2,Mon,Sept 18,Lions,Giants,8:30 PM
3,Thu,Sept 21,Rams,49ers,8:25 PM
3,Sun,Sept 24,Ravens,Jaguars,9:30 AM
3,Sun,Sept 24,Broncos,Bills,1:00 PM
3,Sun,Sept 24,Saints,Panthers,1:00 PM
3,Sun,Sept 24,Steelers,Bears,1:00 PM
3,Sun,Sept 24,Browns,Colts,1:00 PM
3,Sun,Sept 24,Falcons,Lions,1:00 PM
3,Sun,Sept 24,Buccaneers,Vikings,1:00 PM
3,Sun,Sept 24,Texans,Patriots,1:00 PM
3,Sun,Sept 24,Dolphins,Jets,1:00 PM
3,Sun,Sept 24,Giants,Eagles,1:00 PM
3,Sun,Sept 24,Seahawks,Titans,4:05 PM
3,Sun,Sept 24,Bengals,Packers,4:25 PM
3,Sun,Sept 24,Chiefs,Chargers,4:25 PM
3,Sun,Sept 24,Raiders,Redskins,8:30 PM
3,Mon,Sept 25,Cowboys,Cardinals,8:30 PM
4,Thu,Sept 28,Bears,Packers,8:25 PM
4,Sun,Oct 1,Saints,Dolphins,9:30 AM
4,Sun,Oct 1,Bills,Falcons,1:00 PM
4,Sun,Oct 1,Bengals,Browns,1:00 PM
4,Sun,Oct 1,Rams,Cowboys,1:00 PM
4,Sun,Oct 1,Titans,Texans,1:00 PM
4,Sun,Oct 1,Lions,Vikings,1:00 PM
4,Sun,Oct 1,Panthers,Patriots,1:00 PM
4,Sun,Oct 1,Jaguars,Jets,1:00 PM
4,Sun,Oct 1,Steelers,Ravens,1:00 PM
4,Sun,Oct 1,49ers,Cardinals,4:05 PM
4,Sun,Oct 1,Eagles,Chargers,4:05 PM
4,Sun,Oct 1,Giants,Buccaneers,4:05 PM
4,Sun,Oct 1,Raiders,Broncos,4:25 PM
4,Sun,Oct 1,Colts,Seahawks,8:30 PM
4,Mon,Oct 2,Redskins,Chiefs,8:30 PM
5,NA,NA,Bye,Bye,"Falcons, Broncos, Saints, Redskins"
5,Thu,Oct 5,Patriots,Buccaneers,8:25 PM
5,Sun,Oct 8,Bills,Bengals,1:00 PM
5,Sun,Oct 8,Jets,Browns,1:00 PM
