Player,Team,Pos,Injury,Status
De'Von Achane,1,RB,Knee,IR
Jaire Alexander,24,CB,Back,Questionable
Josh Ali,26,WR,Ankle,IR
Bradlee Anae,2,DE,Undisclosed,IR
Troy Andersen,26,LB,Shoulder,IR
Calvin Anderson,4,OT,Illness,Questionable
Henry Anderson,25,DE,Foot,IR
Troy Apke,18,CB,Shoulder,IR
Terron Armstead,1,OT,Knee,IR
Brian Asamoah,21,LB,Ankle,Questionable
Genard Avery,12,DE,Knee - Meniscus,IR
David Bada,18,DT,Triceps,IR
David Bakhtiari,24,OT,Knee,IR
Josh Ball,19,OT,Hip,IR
Saquon Barkley,20,RB,Elbow,Questionable
Christian Barmore,4,DT,Knee,Questionable
Krys Barnes,31,LB,Hamstring,Questionable
Cody Barton,18,LB,Ankle,Questionable
Robert Beal,30,DE,Hamstring,IR
Odell Beckham,8,WR,Shoulder,Questionable
Vonn Bell,25,S,Quadriceps,Questionable
Eno Benjamin,27,RB,Achilles,IR
Jakorian Bennett,15,CB,Shoulder,Questionable
Stetson Bennett,32,QB,Illness,NFI-R
Jared Bernhardt,26,WR,Groin,Reserve-Ret
Josh Blackwell,23,CB,Hamstring,IR
Isaiah Bolden,4,CB,Concussion,IR
Garett Bolles,13,OT,Hip,Questionable
Curtis Bolton,15,LB,Knee,IR-R
Nick Bolton,16,LB,Wrist,Out
Tyus Bowser,8,LB,Knee,NFI-R
James Bradberry,17,CB,Ankle,Questionable
Shaun Bradley,17,LB,Achilles,IR
Christian Braswell,11,CB,Hamstring,IR
JuJu Brents,12,CB,Quadriceps,Doubtful
Gary Brightwell,20,RB,Hamstring,Questionable
Jaquan Brisker,23,S,Illness,Questionable
Chris Brooks,1,RB,Ankle,IR
Curtis Brooks,18,DT,Undisclosed,IR
Jordyn Brooks,29,LB,Calf,Questionable
Bobby Brown,32,DT,Knee - MCL,IR
Brittain Brown,15,RB,Undisclosed,IR
Chase Brown,5,RB,Hamstring,Questionable
Duane Brown,2,OT,Shoulder,IR
Evan Brown,29,C,Hip,Questionable
Mike Brown,9,S,Undisclosed,IR
Orlando Brown,5,OT,Groin,Questionable
Shakel Brown,9,DT,Ankle,IR
Trent Brown,4,OT,Ankle,Questionable
Coby Bryant,29,CB,Toe,IR
LaTrell Bumphus,29,DT,Undisclosed,IR
Brian Burns,25,LB,Elbow,Questionable
Harrison Butker,16,K,Illness,Questionable
Darien Butler,15,LB,Undisclosed,IR
Jason Cabinda,22,FB,Knee,IR
De'Vondre Campbell,24,LB,Ankle,Questionable
Tyson Campbell,11,CB,Hamstring,Questionable
Daniel Carlson,15,K,Groin,Questionable
Michael Carter,2,CB,Hamstring,Questionable
Zach Charbonnet,29,RB,Hamstring,Questionable
Irvin Charles,2,WR,Shoulder,Questionable
Saahdiq Charles,18,OG,Calf,Questionable
Julius Chestnut,9,RB,Hamstring,IR
Jeremy Chinn,25,S,Quadriceps,IR
Brady Christensen,25,OG,Biceps,IR
Nick Chubb,7,RB,Knee - ACL + MCL,IR
Andre Cisco,11,S,Lower Body,Questionable
Chuck Clark,2,S,Knee - ACL,IR
Chris Claybrooks,11,CB,Undisclosed,Reserve-CEL
Ezra Cleveland,21,OG,Foot,Questionable
Randall Cobb,2,WR,Shoulder,Questionable
Devin Cochran,5,OT,Knee,IR
L.J. Collier,31,DE,Biceps,IR
Jack Conklin,7,OT,Knee - ACL + MCL,IR
James Conner,31,RB,Knee,IR
Austin Corbett,25,OG,Knee - ACL,Questionable
River Cracraft,1,WR,Shoulder,IR-R
Maxx Crosby,15,DE,Knee,Questionable
Keion Crossen,1,CB,Undisclosed,IR
