Player,Team,Pos,Injury,Status,Est. Return
Matthew Adams,NYG,LB,Groin,IR-R,Subscribers Only
Jordan Addison,MIN,WR,Ankle,Questionable,Subscribers Only
Hakeem Adeniji,CLE,OT,Knee,IR,Subscribers Only
Salvon Ahmed,FA,RB,Undisclosed,Questionable,Subscribers Only
Junior Aho,FA,DE,Undisclosed,Questionable,Subscribers Only
Alex Akingbulu,FA,OT,Undisclosed,Questionable,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Undisclosed,Questionable,Subscribers Only
Rasheen Ali,BAL,RB,Neck,IR,Subscribers Only
Christopher Allen,FA,LB,Groin,Questionable,Subscribers Only
Davis Allen,LAR,TE,Back,Questionable,Subscribers Only
Devon Allen,FA,WR,Undisclosed,Questionable,Subscribers Only
Jaylon Allen,FA,LB,Undisclosed,Questionable,Subscribers Only
Keenan Allen,CHI,WR,Heel,Questionable,Subscribers Only
Torrence Allen,FA,WR,Undisclosed,Questionable,Subscribers Only
Joe Alt,LAC,OT,Knee - MCL,Questionable,Subscribers Only
Jaquan Amos,FA,S,Undisclosed,Questionable,Subscribers Only
Darius Anderson,FA,RB,Knee,Questionable,Subscribers Only
Henry Anderson,FA,DE,Foot,Questionable,Subscribers Only
Ryder Anderson,FA,DE,Hamstring,Questionable,Subscribers Only
Jake Andrews,NE,C,Undisclosed,IR,Subscribers Only
Zack Annexstad,FA,QB,Undisclosed,Questionable,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Alex Anzalone,DET,LB,Concussion,Questionable,Subscribers Only
Troy Apke,FA,CB,Shoulder,Questionable,Subscribers Only
Jalyn Armour-Davis,BAL,CB,Hamstring,Questionable,Subscribers Only
Terron Armstead,MIA,OT,Concussion,Questionable,Subscribers Only
Grayland Arnold,FA,S,Calf,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Popo Aumavae,CAR,DT,Undisclosed,IR,Subscribers Only
Malaesala Aumavae-Laulu,BAL,OG,Personal,Questionable,Subscribers Only
Denico Autry,HOU,DT,Suspension,Reserve-Sus,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Steve Avila,LAR,OG,Knee - MCL,IR,Subscribers Only
Chidobe Awuzie,TEN,CB,Groin,Out,Subscribers Only
David Bada,DET,DT,Achilles,IR,Subscribers Only
Michael Badgley,DET,K,Hamstring,IR,Subscribers Only
Quinn Bailey,DEN,OT,Ankle,IR,Subscribers Only
Jerome Baker,SEA,LB,Hamstring,Questionable,Subscribers Only
David Bakhtiari,FA,OT,Knee,Questionable,Subscribers Only
Eric Banks,FA,DE,Undisclosed,Questionable,Subscribers Only
Luq Barcoo,FA,CB,Undisclosed,Questionable,Subscribers Only
Christian Barmore,NE,DT,Illness,NFI-R,Subscribers Only
Derrick Barnes,DET,LB,Knee,IR,Subscribers Only
Kalon Barnes,FA,CB,Undisclosed,Questionable,Subscribers Only
Zaire Barnes,NYJ,LB,Ankle,IR,Subscribers Only
Amare Barno,CAR,LB,Knee,PUP-R,Subscribers Only
Jackson Barton,FA,OT,Toe,Questionable,Subscribers Only
Ryan Bates,CHI,OG,Shoulder,IR,Subscribers Only
Bo Bauer,FA,LB,Leg,Questionable,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Kelvin Beachum,ARI,OT,Hamstring,Questionable,Subscribers Only
Jason Bean,FA,QB,Foot,Out,Subscribers Only
C.J. Beathard,FA,QB,Groin,Questionable,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,MIA,WR,Undisclosed,PUP-R,Subscribers Only
Mekhi Becton,PHI,OG,Finger,Questionable,Subscribers Only
David Bell,CLE,WR,Hip,IR,Subscribers Only
Markquese Bell,DAL,S,Ankle,Questionable,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Ja'Whaun Bentley,NE,LB,Pectoral,Doubtful,Subscribers Only
Terrel Bernard,BUF,LB,Pectoral,Out,Subscribers Only
Tarik Black,FA,WR,Undisclosed,Questionable,Subscribers Only
Mekhi Blackmon,MIN,CB,Knee - ACL,IR,Subscribers Only
DaRon Bland,DAL,CB,Foot,IR-R,Subscribers Only
Khari Blasingame,CHI,RB,Hand,Questionable,Subscribers Only
C.J. Board,FA,WR,Ribs,Questionable,Subscribers Only
Devante Bond,FA,LB,Knee,Questionable,Subscribers Only
Larry Borom,CHI,OT,Ankle,IR-R,Subscribers Only
Joey Bosa,LAC,LB,Hip,Questionable,Subscribers Only
Jon Bostic,FA,LB,Pectoral,Questionable,Subscribers Only
Earl Bostick,DAL,OT,Leg,IR,Subscribers Only
Kendrick Bourne,NE,WR,Knee - ACL,PUP-R,Subscribers Only
Brandon Bouyer-Randle,CLE,LB,Undisclosed,IR,Subscribers Only
James Bradberry,PHI,S,Lower Leg,IR,Subscribers Only
Brian Branch,DET,CB,Concussion,Questionable,Subscribers Only
Brady Breeze,FA,S,Undisclosed,Questionable,Subscribers Only
JuJu Brents,IND,CB,Knee,IR,Subscribers Only
Chandler Brewer,FA,OT,Undisclosed,Questionable,Subscribers Only
Beau Brinkley,FA,C,Undisclosed,Questionable,Subscribers Only
Curtis Brooks,FA,DT,Undisclosed,Questionable,Subscribers Only
Jonathon Brooks,CAR,RB,Knee - ACL,NFI-R,Subscribers Only
A.J. Brown,PHI,WR,Hamstring,Questionable,Subscribers Only
Anthony Brown,CAR,CB,Thumb,IR,Subscribers Only
Cam Brown,MIA,LB,Undisclosed,IR,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Derrick Brown,CAR,DE,Knee - Meniscus,IR,Subscribers Only
Duane Brown,FA,OT,Back,Questionable,Subscribers Only
Earnest Brown,TB,DE,Ribs,IR,Subscribers Only
Hollywood Brown,KC,WR,Shoulder,IR,Subscribers Only
Jayon Brown,FA,LB,Hand,Questionable,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Sydney Brown,PHI,S,Knee - ACL,PUP-R,Subscribers Only
Trent Brown,CIN,OT,Knee,Out,Subscribers Only
Troy Brown,FA,LB,Undisclosed,Questionable,Subscribers Only
Baron Browning,DEN,LB,Foot,IR,Subscribers Only
Austin Bryant,FA,DE,Undisclosed,Questionable,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
DeForest Buckner,IND,DT,Ankle,IR,Subscribers Only
Shane Buechele,BUF,QB,Neck,IR,Subscribers Only
Ian Bunting,FA,TE,Neck,Questionable,Subscribers Only
Terrell Burgess,FA,S,Hamstring,Questionable,Subscribers Only
Robert Burns,ATL,FB,Undisclosed,PUP-R,Subscribers Only
Darien Butler,FA,LB,Undisclosed,Questionable,Subscribers Only
Vernon Butler,FA,DT,Undisclosed,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Lawrence Cager,FA,TE,Undisclosed,Out,Subscribers Only
Yodny Cajuste,FA,OT,Leg,Questionable,Subscribers Only
Don Callis,FA,CB,Hamstring,Questionable,Subscribers Only
Chance Campbell,TEN,LB,Knee - ACL,IR,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Tyson Campbell,JAX,CB,Hamstring,IR,Subscribers Only
Marcus Cannon,FA,OT,Concussion,Questionable,Subscribers Only
Trenton Cannon,FA,RB,Knee,Questionable,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Caelen Carson,DAL,CB,Shoulder,Questionable,Subscribers Only
Devin Carter,FA,WR,Undisclosed,Questionable,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
