Player,Team,Pos,Injury,Status,Est. Return
De'Von Achane,MIA,RB,Knee,IR,Subscribers Only
Montravius Adams,PIT,DT,Ankle,Questionable,Subscribers Only
Cam Akers,MIN,RB,Achilles,IR,Subscribers Only
Azeez Al-Shaair,TEN,LB,Ankle,Questionable,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Jaire Alexander,GB,CB,Shoulder,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Undisclosed,Questionable,Subscribers Only
Dee Alford,ATL,CB,Ankle,Out,Subscribers Only
Josh Ali,ATL,WR,Ankle,IR,Subscribers Only
Christopher Allen,FA,LB,Groin,Questionable,Subscribers Only
Torrence Allen,FA,WR,Undisclosed,Questionable,Subscribers Only
Jaquan Amos,FA,S,Undisclosed,Questionable,Subscribers Only
Bradlee Anae,NYJ,DE,Undisclosed,IR,Subscribers Only
Troy Andersen,ATL,LB,Shoulder,IR,Subscribers Only
Calvin Anderson,NE,OT,Illness,IR,Subscribers Only
Darius Anderson,FA,RB,Knee,Questionable,Subscribers Only
Henry Anderson,CAR,DE,Foot,IR,Subscribers Only
Tycen Anderson,CIN,S,Knee,IR,Subscribers Only
Will Anderson,HOU,DE,Knee,Questionable,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Troy Apke,WAS,CB,Shoulder,IR,Subscribers Only
Jalyn Armour-Davis,BAL,CB,Illness,Questionable,Subscribers Only
Brian Asamoah,MIN,LB,Ankle,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Genard Avery,IND,DE,Knee - Meniscus,IR,Subscribers Only
David Bada,WAS,DT,Triceps,IR,Subscribers Only
David Bakhtiari,GB,OT,Knee,IR,Subscribers Only
Daylen Baldwin,FA,WR,Hamstring,Questionable,Subscribers Only
Josh Ball,DAL,OT,Hip,IR,Subscribers Only
Aaron Banks,SF,OG,Toe,Questionable,Subscribers Only
Christian Barmore,NE,DT,Knee,Questionable,Subscribers Only
Cody Barton,WAS,LB,Ankle,IR,Subscribers Only
Rashod Bateman,BAL,WR,Back,Questionable,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Robert Beal,SF,DE,Hamstring,IR-R,Subscribers Only
Abraham Beauplan,FA,LB,Undisclosed,Questionable,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Andrew Beck,HOU,FB,Shoulder,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Knee,Questionable,Subscribers Only
David Bell,CLE,WR,Knee,Out,Subscribers Only
Markquese Bell,DAL,S,Calf,Questionable,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Christian Benford,BUF,CB,Hamstring,Questionable,Subscribers Only
Eno Benjamin,NO,RB,Achilles,IR,Subscribers Only
Stetson Bennett,LAR,QB,Illness,NFI-R,Subscribers Only
Ja'Whaun Bentley,NE,LB,Hamstring,Questionable,Subscribers Only
Terrel Bernard,BUF,LB,Concussion,Questionable,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret,Subscribers Only
Rashod Berry,FA,DE,Suspension,Reserve-Sus,Subscribers Only
Marquise Blair,FA,S,Undisclosed,Questionable,Subscribers Only
Khari Blasingame,CHI,RB,Concussion,Inactive,Subscribers Only
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus,Subscribers Only
C.J. Board,FA,WR,Ribs,Questionable,Subscribers Only
Isaiah Bolden,NE,CB,Concussion,IR,Subscribers Only
Nick Bolton,KC,LB,Wrist,IR,Subscribers Only
